threshold,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC
0.15,0.6429710337496678,0.2099268450975832,0.5756676557863502,0.6715054477810258,0.24431818181818182,0.8113207547169812,0.5316901408450704,0.37554585152838427,0.5541237113402062,0.24999754754492126
0.16,0.6429710337496678,0.2099268450975832,0.5756676557863502,0.6715054477810258,0.24431818181818182,0.8113207547169812,0.5316901408450704,0.37554585152838427,0.5541237113402062,0.24999754754492126
0.17,0.6429710337496678,0.2099268450975832,0.5756676557863502,0.6715054477810258,0.24431818181818182,0.8113207547169812,0.5316901408450704,0.37554585152838427,0.5541237113402062,0.24999754754492126
0.18,0.6429710337496678,0.2099268450975832,0.5756676557863502,0.6715054477810258,0.24431818181818182,0.8113207547169812,0.5316901408450704,0.37554585152838427,0.5541237113402062,0.24999754754492126
0.19,0.6429710337496678,0.2099268450975832,0.5756676557863502,0.6715054477810258,0.24431818181818182,0.8113207547169812,0.5316901408450704,0.37554585152838427,0.5541237113402062,0.24999754754492126
0.2,0.6429710337496678,0.2099268450975832,0.5756676557863502,0.6715054477810258,0.24431818181818182,0.8113207547169812,0.5316901408450704,0.37554585152838427,0.5541237113402062,0.24999754754492126
0.21,0.6429710337496678,0.2099268450975832,0.5756676557863502,0.6715054477810258,0.24431818181818182,0.8113207547169812,0.5316901408450704,0.37554585152838427,0.5541237113402062,0.24999754754492126
0.22,0.6429710337496678,0.2099268450975832,0.5756676557863502,0.6715054477810258,0.24431818181818182,0.8113207547169812,0.5316901408450704,0.37554585152838427,0.5541237113402062,0.24999754754492126
0.14,0.6429710337496678,0.2099268450975832,0.4124629080118694,0.5976946585171405,0.1940928270042194,0.8679245283018868,0.3274647887323944,0.3172413793103448,0.5122494432071268,0.1557125965270878
0.23,0.6429710337496678,0.2099268450975832,0.5727002967359051,0.6390512888652671,0.23076923076923078,0.7358490566037735,0.5422535211267606,0.35135135135135137,0.5118110236220473,0.2024902543999037
0.05,0.6429710337496678,0.2099268450975832,0.1572700296735905,0.5,0.1572700296735905,1.0,0.0,0.2717948717948718,0.482695810564663,0.0
0.06,0.6429710337496678,0.2099268450975832,0.1572700296735905,0.5,0.1572700296735905,1.0,0.0,0.2717948717948718,0.482695810564663,0.0
0.07,0.6429710337496678,0.2099268450975832,0.1572700296735905,0.5,0.1572700296735905,1.0,0.0,0.2717948717948718,0.482695810564663,0.0
0.08,0.6429710337496678,0.2099268450975832,0.1572700296735905,0.5,0.1572700296735905,1.0,0.0,0.2717948717948718,0.482695810564663,0.0
0.09,0.6429710337496678,0.2099268450975832,0.1572700296735905,0.5,0.1572700296735905,1.0,0.0,0.2717948717948718,0.482695810564663,0.0
0.1,0.6429710337496678,0.2099268450975832,0.1572700296735905,0.5,0.1572700296735905,1.0,0.0,0.2717948717948718,0.482695810564663,0.0
0.11,0.6429710337496678,0.2099268450975832,0.1572700296735905,0.5,0.1572700296735905,1.0,0.0,0.2717948717948718,0.482695810564663,0.0
0.12,0.6429710337496678,0.2099268450975832,0.1572700296735905,0.5,0.1572700296735905,1.0,0.0,0.2717948717948718,0.482695810564663,0.0
0.13,0.6429710337496678,0.2099268450975832,0.1572700296735905,0.5,0.1572700296735905,1.0,0.0,0.2717948717948718,0.482695810564663,0.0
0.24,0.6429710337496678,0.2099268450975832,0.6112759643916914,0.5775312250863673,0.208955223880597,0.5283018867924528,0.6267605633802817,0.2994652406417112,0.4046242774566473,0.1153462098753423
0.25,0.6429710337496678,0.2099268450975832,0.6795252225519288,0.5643103906457614,0.21649484536082475,0.39622641509433965,0.7323943661971831,0.27999999999999997,0.33980582524271846,0.10342291163161241
0.26,0.6429710337496678,0.2099268450975832,0.798219584569733,0.4966117459473824,0.14285714285714285,0.05660377358490566,0.9366197183098591,0.0810810810810811,0.06437768240343347,-0.010205866385073842
0.27,0.6429710337496678,0.2099268450975832,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.28,0.6429710337496678,0.2099268450975832,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.29,0.6429710337496678,0.2099268450975832,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.3,0.6429710337496678,0.2099268450975832,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.31,0.6429710337496678,0.2099268450975832,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.32,0.6429710337496678,0.2099268450975832,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.33,0.6429710337496678,0.2099268450975832,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.34,0.6429710337496678,0.2099268450975832,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.35,0.6429710337496678,0.2099268450975832,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.36,0.6429710337496678,0.2099268450975832,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.37,0.6429710337496678,0.2099268450975832,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.38,0.6429710337496678,0.2099268450975832,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.39,0.6429710337496678,0.2099268450975832,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.4,0.6429710337496678,0.2099268450975832,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.41,0.6429710337496678,0.2099268450975832,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.42,0.6429710337496678,0.2099268450975832,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.43,0.6429710337496678,0.2099268450975832,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.44,0.6429710337496678,0.2099268450975832,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.45,0.6429710337496678,0.2099268450975832,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.46,0.6429710337496678,0.2099268450975832,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.47,0.6429710337496678,0.2099268450975832,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.48,0.6429710337496678,0.2099268450975832,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.49,0.6429710337496678,0.2099268450975832,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.5,0.6429710337496678,0.2099268450975832,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.51,0.6429710337496678,0.2099268450975832,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
0.52,0.6429710337496678,0.2099268450975832,0.8427299703264095,0.5,0.0,0.0,1.0,0.0,0.0,0.0
