trial,rule_index,feature,rule_type,split_value,threshold_group,threshold_other,objective,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC,threshold
29,0,体重,numeric_gt,58.0,0.26029862287739075,0.18551103553984483,0.8443654835231953,0.7123305872973691,0.3194406290447918,0.5252225519287834,0.6645960669678448,0.23115577889447236,0.8679245283018868,0.4612676056338028,0.365079365079365,0.559610705596107,0.24371399714514191,0.27
84,0,体重,numeric_gt,58.0,0.26125933612234004,0.18322408087243214,0.8443402354345162,0.7125298963592878,0.3183178432918025,0.5252225519287834,0.6645960669678448,0.23115577889447236,0.8679245283018868,0.4612676056338028,0.365079365079365,0.559610705596107,0.24371399714514191,0.27
40,0,体重,numeric_gt,58.0,0.23980620415847786,0.15294289130107602,0.8440011640406849,0.7114669146957214,0.31312631652938283,0.6142433234421365,0.6867193728408185,0.2608695652173913,0.7924528301886793,0.5809859154929577,0.3925233644859813,0.5630026809651475,0.2721743588514434,0.44
43,0,体重,numeric_gt,58.0,0.38627834153170343,0.2906839615845336,0.843875673170133,0.7119319691735317,0.31898466789866686,0.5252225519287834,0.6645960669678448,0.23115577889447236,0.8679245283018868,0.4612676056338028,0.365079365079365,0.559610705596107,0.24371399714514191,0.17
17,0,体重,numeric_gt,58.0,0.47638865163002014,0.35262990853848053,0.84346753574707,0.7119984055275046,0.3153448008056572,0.5281899109792285,0.6663566303481265,0.23232323232323232,0.8679245283018868,0.4647887323943662,0.36653386454183273,0.5609756097560976,0.24605218165648454,0.13
92,0,体重,numeric_gt,58.0,0.20826169984849147,0.1501602995387496,0.8430762775210232,0.711134732925857,0.31770687268366093,0.5281899109792285,0.6663566303481265,0.23232323232323232,0.8679245283018868,0.4647887323943662,0.36653386454183273,0.5609756097560976,0.24605218165648454,0.34
74,0,体重,numeric_gt,58.0,0.2409884757880229,0.17551253456171328,0.843030876964648,0.711134732925857,0.31747986990178456,0.5281899109792285,0.6663566303481265,0.23232323232323232,0.8679245283018868,0.4647887323943662,0.36653386454183273,0.5609756097560976,0.24605218165648454,0.3
9,0,体重,numeric_gt,58.0,0.364749916147872,0.282151774307395,0.8429371658340288,0.7107361148020197,0.3190044048678755,0.5281899109792285,0.6663566303481265,0.23232323232323232,0.8679245283018868,0.4647887323943662,0.36653386454183273,0.5609756097560976,0.24605218165648454,0.19
57,0,体重,numeric_gt,58.0,0.2624548486603212,0.1641637076684958,0.8429099695599397,0.7107361148020196,0.31132434359416594,0.6142433234421365,0.6867193728408185,0.2608695652173913,0.7924528301886793,0.5809859154929577,0.3925233644859813,0.5630026809651475,0.2721743588514434,0.41
54,0,体重,numeric_gt,58.0,0.4286867610379347,0.33871547534984914,0.8428068148417676,0.7107361148020197,0.31835264990656936,0.5281899109792285,0.6663566303481265,0.23232323232323232,0.8679245283018868,0.4647887323943662,0.36653386454183273,0.5609756097560976,0.24605218165648454,0.15
38,0,体重,numeric_gt,58.0,0.4880521070369996,0.4143088978986559,0.8401815914852683,0.7078793515811852,0.3182389623450917,0.5311572700296736,0.6681171937284082,0.233502538071066,0.8679245283018868,0.46830985915492956,0.368,0.5623471882640587,0.2483945721731777,0.12
76,0,体重,numeric_gt,58.0,0.2864210442748453,0.17308952812403883,0.8398520006813169,0.7098060058463991,0.30822912388241896,0.5281899109792285,0.6663566303481265,0.23232323232323232,0.8679245283018868,0.4647887323943662,0.36653386454183273,0.5609756097560976,0.24605218165648454,0.25
