trial,source,objective,primary_index,aux_index,threshold_primary_aux,threshold_primary_base,threshold_other,report_threshold,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC,threshold,tp,fp,tn,fn
23,bayes_ei,0.8365413227759539,26,10,0.27282329282232837,0.1894788696416787,0.20678498589544142,0.6196803987140558,0.7029630613871911,0.32255909323968784,0.6053412462908012,0.6814376826999735,0.25609756097560976,0.7924528301886793,0.5704225352112676,0.3870967741935484,0.5585106382978724,0.264307578220762,0.6196803987140558,42,122,162,11
39,bayes_ei,0.8265876799971328,100,13,0.3036896361517982,0.23194877834356914,0.15496896094235818,0.6714286279850092,0.6959872442200372,0.31344093632914394,0.5756676557863502,0.6715054477810258,0.24431818181818182,0.8113207547169812,0.5316901408450704,0.37554585152838427,0.5541237113402062,0.24999754754492126,0.6714286279850092,43,133,151,10
16,bayes_ei,0.8161771421247671,78,8,0.2164443558804759,0.16099323905785265,0.20028795649717668,0.5968676784437688,0.6886792452830188,0.29809545445574154,0.5400593471810089,0.665725484985384,0.234375,0.8490566037735849,0.4823943661971831,0.3673469387755102,0.556930693069307,0.24371473287338627,0.5968676784437688,45,147,137,8
9,initial,0.8145692174595375,31,24,0.3072041565950474,0.17588942157115917,0.23452462221627762,0.587886573832071,0.6834972096731331,0.3262697756647019,0.5341246290801187,0.6545309593409514,0.22916666666666666,0.8301886792452831,0.4788732394366197,0.35918367346938773,0.5445544554455445,0.22725214217819062,0.587886573832071,44,148,136,9
42,bayes_ei,0.8134605697877473,3,37,0.15506662918883937,0.4408438803464474,0.19090579137407138,0.5955081554539415,0.6848259367525911,0.30494827046009987,0.5727002967359051,0.6697448844007441,0.24293785310734464,0.8113207547169812,0.528169014084507,0.3739130434782609,0.5526992287917738,0.24750112127917584,0.5955081554539415,43,134,150,10
17,bayes_ei,0.8100874962419847,66,26,0.36591042557552195,0.2735788999559761,0.29156511601946666,0.5930387226098128,0.6951900079723625,0.29380917957338565,0.6617210682492581,0.6304809992027638,0.25203252032520324,0.5849056603773585,0.676056338028169,0.3522727272727273,0.4626865671641791,0.1973399127705442,0.5930387226098128,31,92,192,22
14,bayes_ei,0.8087714704671315,13,25,0.2954599066117335,0.23740954648434015,0.2237497335006947,0.6503015407043813,0.6882806271591815,0.3123566921636675,0.5905044510385756,0.6265944724953494,0.22929936305732485,0.6792452830188679,0.573943661971831,0.34285714285714286,0.4878048780487804,0.18478034140676802,0.6503015407043813,36,121,163,17
51,bayes_ei,0.8074429373655448,14,28,0.20983428618340397,0.39012925226762557,0.1446241421271247,0.6486359556299555,0.6795774647887325,0.31023709961674123,0.5341246290801187,0.6545309593409514,0.22916666666666666,0.8301886792452831,0.4788732394366197,0.35918367346938773,0.5445544554455445,0.22725214217819062,0.6486359556299555,44,148,136,9
66,bayes_ei,0.8066593923553393,72,3,0.24174588284507614,0.24800334328584442,0.28536031935305284,0.6147043610226895,0.6892771724687748,0.3071247028899984,0.6231454005934718,0.6229404730268402,0.2357142857142857,0.6226415094339622,0.6232394366197183,0.34196891191709844,0.46875,0.18164558617129634,0.6147043610226895,33,107,177,20
79,bayes_ei,0.8059700315660576,8,33,0.4204749692159411,0.31604677430608175,0.2616832617151702,0.6362087462691024,0.6925325538134469,0.3225547363994955,0.7002967359050445,0.6073279298432102,0.25510204081632654,0.4716981132075472,0.7429577464788732,0.33112582781456956,0.40322580645161293,0.1720789965510072,0.6362087462691024,25,73,211,28
