trial,source,objective,primary_index,aux_index,threshold_primary_aux,threshold_primary_base,threshold_other,report_threshold,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC,threshold,tp,fp,tn,fn
47,bayes_ei,0.8208208507214736,1,25,0.21857488711146267,0.26159026868016244,0.15022827603744443,0.5767752659289875,0.6993754982726548,0.34712020280977285,0.7299703264094956,0.6249335636460271,0.2840909090909091,0.4716981132075472,0.778169014084507,0.3546099290780142,0.41666666666666674,0.20709290440395112,0.5767752659289875,25,63,221,28
22,bayes_ei,0.8113017997059797,81,30,0.28974418700814836,0.159485820327396,0.2212548145215299,0.6122805802054225,0.7027637523252726,0.30812430016900266,0.7744807121661721,0.6129750199309062,0.31746031746031744,0.37735849056603776,0.8485915492957746,0.3448275862068966,0.36363636363636365,0.2109910196654056,0.6122805802054225,20,43,241,33
67,bayes_ei,0.7987110795771849,40,31,0.23515092069822874,0.4302611829031445,0.12235347403193012,0.6259404155621341,0.676787137921871,0.30187359851060236,0.6112759643916914,0.6465918150411905,0.24342105263157895,0.6981132075471698,0.5950704225352113,0.36097560975609755,0.5082417582417582,0.21450092258035106,0.6259404155621341,37,115,169,16
65,bayes_ei,0.7975308427125398,45,30,0.3239431350797342,0.33562765521694393,0.1337187637709392,0.6343646241541091,0.674794047302684,0.28722481776151154,0.5816023738872403,0.6596797767738507,0.2411764705882353,0.7735849056603774,0.545774647887324,0.36771300448430494,0.5366492146596858,0.2325382078316981,0.6343646241541091,41,129,155,12
16,bayes_ei,0.7962697395016217,90,9,0.2164443558804759,0.16099323905785265,0.20028795649717668,0.5968676784437688,0.6889449906989104,0.2949395909221202,0.6943620178041543,0.6038068030826469,0.25,0.4716981132075472,0.7359154929577465,0.32679738562091504,0.40064102564102566,0.1654545610836958,0.5968676784437688,25,75,209,28
63,bayes_ei,0.7942700662241909,104,15,0.2650949090110967,0.13943270369839225,0.12597123355376474,0.5915722569889137,0.6782487377092745,0.2877565305990317,0.6498516320474778,0.6387855434493754,0.25190839694656486,0.6226415094339622,0.6549295774647887,0.358695652173913,0.4810495626822156,0.20730132253777123,0.5915722569889137,33,98,186,20
39,bayes_ei,0.7906540362051876,115,14,0.3036896361517982,0.23194877834356914,0.15496896094235818,0.6714286279850092,0.6869186819027372,0.305396488227048,0.8100890207715133,0.6034081849588094,0.37209302325581395,0.3018867924528302,0.9049295774647887,0.3333333333333333,0.3137254901960784,0.22567015274865926,0.6714286279850092,16,27,257,37
42,bayes_ei,0.7898507990126218,4,42,0.15506662918883937,0.4408438803464474,0.19090579137407138,0.5955081554539415,0.6772521923996812,0.28993808746328686,0.6083086053412463,0.6141376561254318,0.22758620689655173,0.6226415094339622,0.6056338028169014,0.3333333333333333,0.4621848739495798,0.16785003450650537,0.5955081554539415,33,112,172,20
66,bayes_ei,0.7834428894319043,83,3,0.24174588284507614,0.24800334328584442,0.28536031935305284,0.6147043610226895,0.6953893170342811,0.3033400418232304,0.8397626112759644,0.5596266276906724,0.47058823529411764,0.1509433962264151,0.9683098591549296,0.22857142857142856,0.17467248908296942,0.19836630249360432,0.6147043610226895,8,9,275,45
13,bayes_ei,0.7821055019349149,48,20,0.30227613332779996,0.23089104608988162,0.19178324552088755,0.5984672238779875,0.679909646558597,0.2887649868794708,0.6735905044510386,0.5838094605368058,0.22857142857142856,0.4528301886792453,0.7147887323943662,0.3037974683544304,0.37854889589905366,0.13175936821036854,0.5984672238779875,24,81,203,29
