trial,rule_index,feature,rule_type,split_value,threshold_group,threshold_other,objective,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC,threshold
66,0,体重,numeric_gt,58.0,0.48592322885070544,0.38764399217808104,0.8406981627763699,0.7079457879351582,0.31525371632223875,0.5608308605341247,0.6780494286473558,0.24324324324324326,0.8490566037735849,0.5070422535211268,0.3781512605042017,0.5667506297229219,0.2605313720894361,0.26
58,35,bmi,numeric_le,21.09375,0.1774470573782554,0.23622318820932187,0.8399050910738736,0.708012224289131,0.30830639220513134,0.5667655786350149,0.6815705554079192,0.2459016393442623,0.8490566037735849,0.5140845070422535,0.3813559322033898,0.569620253164557,0.26539126054521206,0.52
63,21,年龄,numeric_le,68.0,0.36743268090661885,0.4741667195502846,0.8397977899265119,0.7066834972096732,0.3246683131507546,0.5786350148367952,0.6732660111613075,0.24571428571428572,0.8113207547169812,0.5352112676056338,0.3771929824561403,0.5555555555555556,0.252501490622646,0.36
75,16,胸部外伤史,numeric_gt,0.0,0.23312944144221062,0.35029544988234895,0.8356966053067767,0.6995748073345734,0.3203726855709011,0.56973293768546,0.6910045176720702,0.25,0.8679245283018868,0.5140845070422535,0.3881856540084388,0.5808080808080809,0.27932905554429976,0.39
64,21,年龄,numeric_le,68.0,0.1362557271964109,0.28302198330180006,0.8349988780305032,0.7011692798299229,0.32475037877408736,0.6201780415430267,0.6825671007175127,0.2611464968152866,0.7735849056603774,0.5915492957746479,0.3904761904761905,0.5555555555555556,0.2664793378041451,0.67
21,40,甲状腺疾病,numeric_gt,0.0,0.474936423791761,0.3572670081282731,0.8322880642375456,0.6983125166090886,0.31470443261928244,0.5756676557863502,0.6868522455487642,0.25,0.8490566037735849,0.5246478873239436,0.38626609442060084,0.5739795918367347,0.2727340384185437,0.38
29,14,bmi,numeric_gt,26.836402275999998,0.39566304886344217,0.4435864671182322,0.8309073533393229,0.6993754982726548,0.311613537356314,0.5727002967359051,0.6774182832846134,0.24581005586592178,0.8301886792452831,0.5246478873239436,0.3793103448275862,0.5626598465473146,0.2588632588134766,0.33
39,21,年龄,numeric_le,68.0,0.18321972420656898,0.4285579605523402,0.8296559223032334,0.6965851714057933,0.3232768025458051,0.6320474777448071,0.6819359553547701,0.26490066225165565,0.7547169811320755,0.6091549295774648,0.3921568627450981,0.5509641873278237,0.2663794331099324,0.6
93,12,bmi,numeric_gt,23.87543253,0.1618293069701107,0.1748300584120867,0.8292949616351245,0.696718044113739,0.31039370341208083,0.56973293768546,0.683331118788201,0.24725274725274726,0.8490566037735849,0.5176056338028169,0.3829787234042553,0.5710659898477157,0.26783155708395595,0.64
89,29,体重,numeric_le,58.0,0.23774419712762052,0.2668246815861138,0.8280675786668732,0.694857826202498,0.31355787812702923,0.56973293768546,0.683331118788201,0.24725274725274726,0.8490566037735849,0.5176056338028169,0.3829787234042553,0.5710659898477157,0.26783155708395595,0.48
15,14,bmi,numeric_gt,26.836402275999998,0.34023952992349416,0.4029733278183671,0.8280148995878817,0.6991097528567631,0.30978472563967324,0.49258160237388726,0.6529032686686155,0.22169811320754718,0.8867924528301887,0.41901408450704225,0.35471698113207545,0.554245283018868,0.2304734660259405,0.32
14,41,放化疗史,numeric_gt,0.0,0.35927819896957747,0.1920139696915665,0.8278627160289858,0.6946585171405794,0.30814263049370394,0.5816023738872403,0.6903733723093277,0.25280898876404495,0.8490566037735849,0.5316901408450704,0.38961038961038963,0.576923076923077,0.2776673019471574,0.59
1,10,bmi,numeric_gt,21.09375,0.4487513792889856,0.4066787591849539,0.8277555674337809,0.696120116927983,0.30834685745280627,0.5637982195845698,0.6798099920276375,0.24456521739130435,0.8490566037735849,0.5105633802816901,0.37974683544303794,0.5681818181818181,0.26295794394109473,0.29
50,30,体重,numeric_le,61.0,0.21163851593577432,0.28063950877518345,0.8277367317104625,0.6920674993356365,0.32851576679794714,0.5637982195845698,0.6798099920276375,0.24456521739130435,0.8490566037735849,0.5105633802816901,0.37974683544303794,0.5681818181818181,0.26295794394109473,0.47
57,20,年龄,numeric_le,65.0,0.3745916625751285,0.43144481519496497,0.826959109456897,0.6973824076534679,0.3058263708301471,0.5637982195845698,0.6721365931437683,0.24175824175824176,0.8301886792452831,0.5140845070422535,0.37446808510638296,0.5583756345177665,0.25147728371245875,0.35
76,11,bmi,numeric_gt,22.65625,0.3040981880233815,0.2620260898305369,0.8266128307054659,0.6930640446452297,0.31658598858259956,0.5667655786350149,0.6815705554079192,0.2459016393442623,0.8490566037735849,0.5140845070422535,0.3813559322033898,0.569620253164557,0.26539126054521206,0.44
20,15,甲状腺手术史,numeric_le,0.0,0.3998337336618289,0.1642409071576435,0.8264543686740159,0.6939941536008505,0.31247068028964425,0.5637982195845698,0.6798099920276375,0.24456521739130435,0.8490566037735849,0.5105633802816901,0.37974683544303794,0.5681818181818181,0.26295794394109473,0.33
88,6,身高,numeric_gt,162.6,0.37030321965937396,0.3544742887212975,0.8261571764948257,0.6924661174594738,0.31596441098191264,0.56973293768546,0.683331118788201,0.24725274725274726,0.8490566037735849,0.5176056338028169,0.3829787234042553,0.5710659898477157,0.26783155708395595,0.37
27,6,身高,numeric_gt,162.6,0.47925479033180557,0.4085387170662246,0.8255548302218749,0.6927982992293383,0.31659151057648144,0.5578635014836796,0.6762888652670742,0.24193548387096775,0.8490566037735849,0.5035211267605634,0.37656903765690375,0.5653266331658291,0.25811131121314795,0.27
51,3,体重,numeric_gt,70.0,0.1300170146367771,0.16441266408227928,0.8254788959118815,0.6955886260961999,0.30618075182099747,0.5489614243323442,0.6710071751262291,0.23809523809523808,0.8490566037735849,0.49295774647887325,0.371900826446281,0.5610972568578554,0.2508878753139311,0.66
55,15,甲状腺手术史,numeric_le,0.0,0.4203692623257591,0.2898490403591578,0.8254706598212784,0.693595535477013,0.30954522664514444,0.5637982195845698,0.6798099920276375,0.24456521739130435,0.8490566037735849,0.5105633802816901,0.37974683544303794,0.5681818181818181,0.26295794394109473,0.31
83,30,体重,numeric_le,61.0,0.27420070439388344,0.3371589805509154,0.8243820001379458,0.6884799362211003,0.32835237786564686,0.5667655786350149,0.6815705554079192,0.2459016393442623,0.8490566037735849,0.5140845070422535,0.3813559322033898,0.569620253164557,0.26539126054521206,0.4
73,36,bmi,numeric_le,22.65625,0.4777947796245699,0.49293296122020985,0.8242730770731096,0.6910709540260431,0.3135197310404858,0.56973293768546,0.683331118788201,0.24725274725274726,0.8490566037735849,0.5176056338028169,0.3829787234042553,0.5710659898477157,0.26783155708395595,0.26
2,9,身高,numeric_gt,174.0,0.4175524746128872,0.4948122796418883,0.8236394295051099,0.6934626627690673,0.3063113852778141,0.5519287833827893,0.6727677385065107,0.2393617021276596,0.8490566037735849,0.4964788732394366,0.3734439834024897,0.5625,0.25328979360959564,0.28
92,42,性别,categorical_eq,女,0.13602026983227344,0.4089487716487837,0.8231673714436137,0.6912038267339888,0.3073268393532781,0.56973293768546,0.683331118788201,0.24725274725274726,0.8490566037735849,0.5176056338028169,0.3829787234042553,0.5710659898477157,0.26783155708395595,0.33
