threshold,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC
0.08,0.6722694658517141,0.299538205379524,0.49258160237388726,0.637556470900877,0.21634615384615385,0.8490566037735849,0.426056338028169,0.3448275862068966,0.5357142857142857,0.20605426257050427
0.17,0.6722694658517141,0.299538205379524,0.6142433234421365,0.6636991761892107,0.25161290322580643,0.7358490566037735,0.5915492957746479,0.37499999999999994,0.5313351498637601,0.23915091743245787
0.12,0.6722694658517141,0.299538205379524,0.5637982195845698,0.6491163964921605,0.23295454545454544,0.7735849056603774,0.5246478873239436,0.35807860262008734,0.5283505154639176,0.21736180339514846
0.09,0.6722694658517141,0.299538205379524,0.516320474777448,0.636294180175392,0.2193877551020408,0.8113207547169812,0.4612676056338028,0.34538152610441764,0.5269607843137255,0.2011716695213516
0.18,0.6722694658517141,0.299538205379524,0.6261127596439169,0.6630680308264683,0.2550335570469799,0.7169811320754716,0.6091549295774648,0.37623762376237624,0.5263157894736842,0.2390693322110181
0.11,0.6722694658517141,0.299538205379524,0.5548961424332344,0.6438347063513155,0.22905027932960895,0.7735849056603774,0.5140845070422535,0.35344827586206895,0.5242966751918158,0.20986293028690392
0.16,0.6722694658517141,0.299538205379524,0.599406528189911,0.6548963592878023,0.24375,0.7358490566037735,0.573943661971831,0.36619718309859156,0.5241935483870968,0.22585082749996027
0.07,0.6722694658517141,0.299538205379524,0.4362017804154303,0.6117791655593942,0.20087336244541484,0.8679245283018868,0.35563380281690143,0.326241134751773,0.5215419501133787,0.17440476439232702
0.15,0.6722694658517141,0.299538205379524,0.5934718100890207,0.6513752325272388,0.24074074074074073,0.7358490566037735,0.5669014084507042,0.36279069767441857,0.5213903743315508,0.22059994109804407
0.1,0.6722694658517141,0.299538205379524,0.5370919881305638,0.6332713260696253,0.22162162162162163,0.7735849056603774,0.49295774647887325,0.3445378151260505,0.5163727959697734,0.19500967627291377
0.14,0.6722694658517141,0.299538205379524,0.5667655786350149,0.6355301621047036,0.22807017543859648,0.7358490566037735,0.5352112676056338,0.3482142857142857,0.5091383812010444,0.1973835515594181
0.13,0.6722694658517141,0.299538205379524,0.5578635014836796,0.6302484719638586,0.22413793103448276,0.7358490566037735,0.5246478873239436,0.3436123348017621,0.505181347150259,0.1897716401590759
0.19,0.6722694658517141,0.299538205379524,0.6261127596439169,0.6477212330587296,0.2482758620689655,0.6792452830188679,0.6161971830985915,0.36363636363636365,0.5042016806722689,0.21723780659209235
0.06,0.6722694658517141,0.299538205379524,0.3649851632047478,0.5695256444326335,0.18181818181818182,0.8679245283018868,0.2711267605633803,0.3006535947712418,0.49462365591397855,0.1170232674108817
0.05,0.6722694658517141,0.299538205379524,0.3086053412462908,0.5514217379750199,0.17391304347826086,0.9056603773584906,0.19718309859154928,0.2917933130699088,0.4918032786885246,0.09724211430083034
0.2,0.6722694658517141,0.299538205379524,0.629080118694362,0.6264615997874037,0.2391304347826087,0.6226415094339622,0.6302816901408451,0.34554973821989526,0.4714285714285714,0.1872490791385581
0.21,0.6722694658517141,0.299538205379524,0.6379821958456974,0.6240698910443795,0.24060150375939848,0.6037735849056604,0.6443661971830986,0.34408602150537637,0.46376811594202905,0.18482154532335407
0.23,0.6722694658517141,0.299538205379524,0.6498516320474778,0.6080919479138984,0.23577235772357724,0.5471698113207547,0.6690140845070423,0.3295454545454546,0.43283582089552247,0.16347863445910155
0.22,0.6722694658517141,0.299538205379524,0.6379821958456974,0.6010496943927717,0.2283464566929134,0.5471698113207547,0.6549295774647887,0.3222222222222222,0.42772861356932157,0.1518275545641181
0.26,0.6722694658517141,0.299538205379524,0.7032640949554896,0.6014150943396226,0.25263157894736843,0.4528301886792453,0.75,0.32432432432432434,0.3908794788273615,0.1641195108259293
0.24,0.6722694658517141,0.299538205379524,0.6706231454005934,0.5897222960403933,0.23148148148148148,0.4716981132075472,0.7077464788732394,0.3105590062111801,0.39062500000000006,0.1399902729936628
0.25,0.6722694658517141,0.299538205379524,0.6943620178041543,0.5961334041987776,0.24489795918367346,0.4528301886792453,0.7394366197183099,0.31788079470198677,0.3870967741935484,0.15413080037716337
0.27,0.6722694658517141,0.299538205379524,0.7062314540059347,0.595502258836035,0.25,0.4339622641509434,0.7570422535211268,0.31724137931034485,0.3782894736842105,0.15608594149263283
0.28,0.6722694658517141,0.299538205379524,0.7210682492581603,0.5966316768535742,0.25882352941176473,0.41509433962264153,0.778169014084507,0.3188405797101449,0.3703703703703704,0.16200815761614631
0.29,0.6722694658517141,0.299538205379524,0.7329376854599406,0.5960005314908319,0.26582278481012656,0.39622641509433965,0.795774647887324,0.3181818181818182,0.3608247422680413,0.16499749063919508
0.31,0.6722694658517141,0.299538205379524,0.7626112759643917,0.5982593675259101,0.2923076923076923,0.3584905660377358,0.8380281690140845,0.3220338983050848,0.34296028880866425,0.1813259387311889
0.3,0.6722694658517141,0.299538205379524,0.7388724035608308,0.5841748604836566,0.2602739726027397,0.3584905660377358,0.8098591549295775,0.30158730158730157,0.3333333333333333,0.14878053368910135
0.32,0.6722694658517141,0.299538205379524,0.7774480712166172,0.5917153866595801,0.30357142857142855,0.32075471698113206,0.8626760563380281,0.3119266055045871,0.31716417910447764,0.17939987180017508
0.33,0.6722694658517141,0.299538205379524,0.7893175074183977,0.5910842412968377,0.32,0.3018867924528302,0.8802816901408451,0.3106796116504854,0.3053435114503817,0.18657110988396627
0.34,0.6722694658517141,0.299538205379524,0.7922848664688428,0.5851714057932501,0.3191489361702128,0.2830188679245283,0.8873239436619719,0.3,0.28957528957528955,0.17900822577241607
0.35,0.6722694658517141,0.299538205379524,0.798219584569733,0.573345734786075,0.3170731707317073,0.24528301886792453,0.9014084507042254,0.2765957446808511,0.25691699604743085,0.16336694222740197
0.36,0.6722694658517141,0.299538205379524,0.8011869436201781,0.5597595003986181,0.3055555555555556,0.20754716981132076,0.9119718309859155,0.2471910112359551,0.22177419354838712,0.14086385203223814
0.42,0.6722694658517141,0.299538205379524,0.8367952522255193,0.5732128620781292,0.45454545454545453,0.18867924528301888,0.9577464788732394,0.2666666666666667,0.21367521367521367,0.21579822494057416
0.41,0.6722694658517141,0.299538205379524,0.8338278931750742,0.5714522986978474,0.43478260869565216,0.18867924528301888,0.954225352112676,0.26315789473684215,0.21276595744680854,0.20630728486988079
0.4,0.6722694658517141,0.299538205379524,0.8249258160237388,0.5661706085570024,0.38461538461538464,0.18867924528301888,0.9436619718309859,0.25316455696202533,0.2100840336134454,0.18056158598468328
0.39,0.6722694658517141,0.299538205379524,0.8219584569732937,0.5644100451767207,0.37037037037037035,0.18867924528301888,0.9401408450704225,0.25,0.2092050209205021,0.17274996786480357
0.38,0.6722694658517141,0.299538205379524,0.8189910979228486,0.562649481796439,0.35714285714285715,0.18867924528301888,0.9366197183098591,0.2469135802469136,0.20833333333333337,0.16526707022347364
0.37,0.6722694658517141,0.299538205379524,0.8160237388724035,0.5608889184161573,0.3448275862068966,0.18867924528301888,0.9330985915492958,0.2439024390243903,0.2074688796680498,0.1580851235325907
0.45,0.6722694658517141,0.299538205379524,0.8397626112759644,0.5673000265745416,0.47368421052631576,0.16981132075471697,0.9647887323943662,0.24999999999999994,0.1948051948051948,0.21244767164573314
0.46,0.6722694658517141,0.299538205379524,0.8397626112759644,0.5673000265745416,0.47368421052631576,0.16981132075471697,0.9647887323943662,0.24999999999999994,0.1948051948051948,0.21244767164573314
0.44,0.6722694658517141,0.299538205379524,0.8367952522255193,0.56553946319426,0.45,0.16981132075471697,0.9612676056338029,0.2465753424657534,0.19396551724137928,0.20196929591606533
0.43,0.6722694658517141,0.299538205379524,0.8338278931750742,0.5637788998139782,0.42857142857142855,0.16981132075471697,0.9577464788732394,0.24324324324324323,0.19313304721030042,0.1921104260719782
0.47,0.6722694658517141,0.299538205379524,0.8397626112759644,0.5596266276906724,0.47058823529411764,0.1509433962264151,0.9683098591549296,0.2285714285714286,0.17467248908296942,0.19836630249360432
0.49,0.6722694658517141,0.299538205379524,0.8397626112759644,0.5519532288068031,0.4666666666666667,0.1320754716981132,0.971830985915493,0.2058823529411765,0.15418502202643175,0.1834281891111513
0.5,0.6722694658517141,0.299538205379524,0.8397626112759644,0.5519532288068031,0.4666666666666667,0.1320754716981132,0.971830985915493,0.2058823529411765,0.15418502202643175,0.1834281891111513
0.51,0.6722694658517141,0.299538205379524,0.8397626112759644,0.5519532288068031,0.4666666666666667,0.1320754716981132,0.971830985915493,0.2058823529411765,0.15418502202643175,0.1834281891111513
0.48,0.6722694658517141,0.299538205379524,0.8367952522255193,0.5501926654265215,0.4375,0.1320754716981132,0.9683098591549296,0.2028985507246377,0.15350877192982457,0.17185210335676435
0.58,0.6722694658517141,0.299538205379524,0.8397626112759644,0.5442798299229339,0.46153846153846156,0.11320754716981132,0.9753521126760564,0.18181818181818182,0.13333333333333333,0.16741287834665206
0.59,0.6722694658517141,0.299538205379524,0.8397626112759644,0.5442798299229339,0.46153846153846156,0.11320754716981132,0.9753521126760564,0.18181818181818182,0.13333333333333333,0.16741287834665206
0.6,0.6722694658517141,0.299538205379524,0.8397626112759644,0.5442798299229339,0.46153846153846156,0.11320754716981132,0.9753521126760564,0.18181818181818182,0.13333333333333333,0.16741287834665206
0.61,0.6722694658517141,0.299538205379524,0.8397626112759644,0.5442798299229339,0.46153846153846156,0.11320754716981132,0.9753521126760564,0.18181818181818182,0.13333333333333333,0.16741287834665206
0.52,0.6722694658517141,0.299538205379524,0.8367952522255193,0.5425192665426521,0.42857142857142855,0.11320754716981132,0.971830985915493,0.1791044776119403,0.13274336283185842,0.15514850168114105
0.53,0.6722694658517141,0.299538205379524,0.8367952522255193,0.5425192665426521,0.42857142857142855,0.11320754716981132,0.971830985915493,0.1791044776119403,0.13274336283185842,0.15514850168114105
0.54,0.6722694658517141,0.299538205379524,0.8367952522255193,0.5425192665426521,0.42857142857142855,0.11320754716981132,0.971830985915493,0.1791044776119403,0.13274336283185842,0.15514850168114105
0.55,0.6722694658517141,0.299538205379524,0.8367952522255193,0.5425192665426521,0.42857142857142855,0.11320754716981132,0.971830985915493,0.1791044776119403,0.13274336283185842,0.15514850168114105
0.56,0.6722694658517141,0.299538205379524,0.8367952522255193,0.5425192665426521,0.42857142857142855,0.11320754716981132,0.971830985915493,0.1791044776119403,0.13274336283185842,0.15514850168114105
