comparison,feature,category,group_a_share,group_b_share,abs_share_diff,group_a_count,group_b_count
FN_vs_TP,性别,女,0.0,0.9772727272727273,0.9772727272727273,9,44
FN_vs_TP,性别,男,1.0,0.022727272727272728,0.9772727272727273,9,44
FP_vs_TN,性别,女,0.9562043795620438,0.013605442176870748,0.9425989373851731,137,147
FP_vs_TN,性别,男,0.043795620437956206,0.9863945578231292,0.9425989373851731,137,147
