comparison,feature,group_a_mean,group_b_mean,mean_diff,abs_std_diff,group_a_count,group_b_count
FN_vs_TP,体重,81.44444444444444,61.23863636363637,20.205808080808076,1.6723485891215073,9,44
FN_vs_TP,身高,172.66666666666666,160.5,12.166666666666657,1.5843324471932845,9,44
FN_vs_TP,bmi,27.297963273333337,23.704621669545453,3.5933416037878843,1.0303951658229078,9,44
FN_vs_TP,甲状腺手术史,0.0,0.20454545454545456,-0.20454545454545456,0.8868075325439955,9,44
FN_vs_TP,胸部外伤史,0.1111111111111111,0.022727272727272728,0.08838383838383837,0.66836413498296,9,44
FN_vs_TP,年龄,54.0,59.52272727272727,-5.522727272727273,0.5518156009363017,9,44
FN_vs_TP,右肺中叶,0.0,0.18181818181818182,-0.18181818181818182,0.5157900113849919,9,44
FN_vs_TP,右肺下叶,0.5555555555555556,0.38636363636363635,0.16919191919191923,0.3526874101003805,9,44
FN_vs_TP,左肺上叶,0.0,0.045454545454545456,-0.045454545454545456,0.3187140654321289,9,44
FN_vs_TP,结核病史,0.1111111111111111,0.045454545454545456,0.06565656565656565,0.31837173013953096,9,44
FN_vs_TP,纵隔肿物,0.0,0.06818181818181818,-0.06818181818181818,0.28206246074873786,9,44
FN_vs_TP,肺部手术史,0.0,0.045454545454545456,-0.045454545454545456,0.24528721741961146,9,44
FN_vs_TP,高血压,0.2222222222222222,0.3181818181818182,-0.09595959595959597,0.21260534258167305,9,44
FN_vs_TP,右肺上叶,0.6666666666666666,0.5681818181818182,0.0984848484848484,0.19908540429482496,9,44
FN_vs_TP,左肺下叶,0.0,0.022727272727272728,-0.022727272727272728,0.14096751623948212,9,44
FN_vs_TP,冠心病,0.0,0.022727272727272728,-0.022727272727272728,0.11389691090806846,9,44
FN_vs_TP,糖尿病,0.1111111111111111,0.09090909090909091,0.020202020202020193,0.05549164472385725,9,44
FN_vs_TP,甲状腺疾病,0.0,0.0,0.0,0.0,9,44
FN_vs_TP,放化疗史,0.0,0.0,0.0,0.0,9,44
FP_vs_TN,身高,161.83941605839416,171.75510204081633,-9.915685982422161,1.2912117565587176,137,147
FP_vs_TN,体重,62.167883211678834,72.6938775510204,-10.525994339341572,0.8711916747946693,137,147
FP_vs_TN,冠心病,0.0072992700729927005,0.08163265306122448,-0.07433338298823178,0.3725190787870625,137,147
FP_vs_TN,bmi,23.725048185985404,24.62758480204082,-0.9025366160554142,0.2588034951036514,137,147
FP_vs_TN,甲状腺手术史,0.06569343065693431,0.006802721088435374,0.058890709568498935,0.2553208770063385,137,147
FP_vs_TN,甲状腺疾病,0.0364963503649635,0.006802721088435374,0.029693629276528126,0.2245450888851694,137,147
FP_vs_TN,放化疗史,0.0364963503649635,0.006802721088435374,0.029693629276528126,0.22454508888516922,137,147
FP_vs_TN,右肺下叶,0.40145985401459855,0.29931972789115646,0.10214012612344209,0.21291523095107445,137,147
FP_vs_TN,糖尿病,0.13138686131386862,0.20408163265306123,-0.07269477133919261,0.19968064500960767,137,147
FP_vs_TN,高血压,0.24087591240875914,0.3197278911564626,-0.07885197874770347,0.17470219405630857,137,147
FP_vs_TN,肺部手术史,0.021897810218978103,0.047619047619047616,-0.025721237400069513,0.13879999650995042,137,147
FP_vs_TN,结核病史,0.029197080291970802,0.05442176870748299,-0.02522468841551219,0.12231568332532966,137,147
FP_vs_TN,年龄,59.058394160583944,60.16326530612245,-1.1048711455385032,0.11039566232852016,137,147
FP_vs_TN,胸部外伤史,0.0072992700729927005,0.02040816326530612,-0.01310889319231342,0.09913027335398775,137,147
FP_vs_TN,右肺中叶,0.15328467153284672,0.1360544217687075,0.017230249764139227,0.04887954897106394,137,147
FP_vs_TN,左肺上叶,0.014598540145985401,0.02040816326530612,-0.00580962311932072,0.040735389265718236,137,147
FP_vs_TN,纵隔肿物,0.058394160583941604,0.06802721088435375,-0.009633050300412144,0.039851120793009065,137,147
FP_vs_TN,右肺上叶,0.5766423357664233,0.564625850340136,0.012016485426287304,0.024291115802075172,137,147
FP_vs_TN,左肺下叶,0.029197080291970802,0.027210884353741496,0.0019861959382293064,0.01231952075979386,137,147
