trial,source,objective,xgb,lr,cat,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC,threshold
22,bayes_ei,0.8041814556067297,0.5536180767491298,0.4463819232508702,0.0,0.677385065107627,0.2892711478127874,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.17
23,bayes_ei,0.8041814556067297,0.5534582634326565,0.44654173656734353,0.0,0.677385065107627,0.2892711478127874,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.17
30,bayes_ei,0.8041814556067297,0.554328371900411,0.44567162809958905,0.0,0.677385065107627,0.2892711478127874,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.17
31,bayes_ei,0.8041814556067297,0.5553379472171842,0.4446620527828158,0.0,0.677385065107627,0.2892711478127874,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.17
34,bayes_ei,0.8041814556067297,0.5550957507586596,0.4449042492413404,0.0,0.677385065107627,0.2892711478127874,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.17
35,bayes_ei,0.8041814556067297,0.5551144654318236,0.44488553456817637,0.0,0.677385065107627,0.2892711478127874,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.17
36,bayes_ei,0.8041814556067297,0.554795390001021,0.44520460999897904,0.0,0.677385065107627,0.2892711478127874,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.17
39,bayes_ei,0.8041814556067297,0.5541513028542815,0.4458486971457185,0.0,0.677385065107627,0.2892711478127874,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.17
40,bayes_ei,0.8041814556067297,0.5539518820927731,0.44604811790722687,0.0,0.677385065107627,0.2892711478127874,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.17
41,bayes_ei,0.8041814556067297,0.5552489723339266,0.44475102766607344,0.0,0.677385065107627,0.2892711478127874,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.17
44,bayes_ei,0.8041814556067297,0.5543753220968325,0.4456246779031675,0.0,0.677385065107627,0.2892711478127874,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.17
45,bayes_ei,0.8041814556067297,0.5554384670227103,0.44456153297728973,0.0,0.677385065107627,0.2892711478127874,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.17
46,bayes_ei,0.8041814556067297,0.5550151718100462,0.4449848281899538,0.0,0.677385065107627,0.2892711478127874,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.17
47,bayes_ei,0.8041814556067297,0.5543803786429025,0.44561962135709754,0.0,0.677385065107627,0.2892711478127874,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.17
48,bayes_ei,0.8041814556067297,0.5542893397486295,0.4457106602513705,0.0,0.677385065107627,0.2892711478127874,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.17
49,bayes_ei,0.8041814556067297,0.5548333106425902,0.4451666893574098,0.0,0.677385065107627,0.2892711478127874,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.17
51,bayes_ei,0.8041814556067297,0.5553817238206779,0.44461827617932215,0.0,0.677385065107627,0.2892711478127874,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.17
52,bayes_ei,0.8041814556067297,0.5535794372618413,0.44642056273815867,0.0,0.677385065107627,0.2892711478127874,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.17
53,bayes_ei,0.8041814556067297,0.5537107311160321,0.4462892688839679,0.0,0.677385065107627,0.2892711478127874,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.17
54,bayes_ei,0.8041814556067297,0.5554336656587137,0.44456633434128634,0.0,0.677385065107627,0.2892711478127874,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.17
55,bayes_ei,0.8041814556067297,0.554681297428625,0.44531870257137496,0.0,0.677385065107627,0.2892711478127874,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.17
57,bayes_ei,0.8041814556067297,0.5550223259491799,0.4449776740508201,0.0,0.677385065107627,0.2892711478127874,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.17
58,bayes_ei,0.8041814556067297,0.5539680455038679,0.4460319544961321,0.0,0.677385065107627,0.2892711478127874,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.17
