trial,rule_index,feature,rule_type,split_value,threshold_group,threshold_other,objective,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC,threshold
84,10,bmi,numeric_gt,21.09375,0.2547838497627297,0.1920395199045763,0.839570753602708,0.707414297103375,0.30962434077808393,0.5667655786350149,0.6815705554079192,0.2459016393442623,0.8490566037735849,0.5140845070422535,0.3813559322033898,0.569620253164557,0.26539126054521206,0.51
7,21,年龄,numeric_le,68.0,0.13600793415189683,0.21032774249927694,0.8394380759058658,0.7064177517937815,0.3255403780040875,0.5756676557863502,0.6715054477810258,0.24431818181818182,0.8113207547169812,0.5316901408450704,0.37554585152838427,0.5541237113402062,0.24999754754492126,0.67
41,0,体重,numeric_gt,58.0,0.49803191439153927,0.2852341098941602,0.8342623971662384,0.7048897156524051,0.3023153152902726,0.5341246290801187,0.6698777571086899,0.23469387755102042,0.8679245283018868,0.47183098591549294,0.3694779116465864,0.5637254901960785,0.25074138872341994,0.26
46,35,bmi,numeric_le,21.09375,0.16861073580505265,0.31426638426691267,0.8339312667404126,0.7072149880414562,0.2914391601067603,0.5103857566765578,0.6634666489503056,0.22815533980582525,0.8867924528301887,0.44014084507042256,0.36293436293436293,0.562200956937799,0.24416701967648927,0.44
48,4,体重,numeric_gt,76.0,0.4676294282754557,0.49948265851464135,0.8299288420784675,0.6944592080786607,0.3235188604490583,0.5727002967359051,0.6850916821684826,0.24861878453038674,0.8490566037735849,0.5211267605633803,0.38461538461538464,0.5725190839694657,0.2702790702609713,0.28
55,12,bmi,numeric_gt,23.87543253,0.453673022219085,0.4784241434274773,0.8294761908249203,0.6967844804677119,0.3109676675911955,0.56973293768546,0.683331118788201,0.24725274725274726,0.8490566037735849,0.5176056338028169,0.3829787234042553,0.5710659898477157,0.26783155708395595,0.3
70,37,bmi,numeric_le,23.87543253,0.448437917616381,0.40357823821121214,0.829342917727324,0.6975817167153866,0.3089756099835047,0.5637982195845698,0.6798099920276375,0.24456521739130435,0.8490566037735849,0.5105633802816901,0.37974683544303794,0.5681818181818181,0.26295794394109473,0.33
96,24,身高,numeric_le,160.0,0.24792030429984302,0.34573768971737445,0.8284152577740419,0.6945920807866065,0.3219247405509754,0.5578635014836796,0.6762888652670742,0.24193548387096775,0.8490566037735849,0.5035211267605634,0.37656903765690375,0.5653266331658291,0.25811131121314795,0.4
35,36,bmi,numeric_le,22.65625,0.2131470006742433,0.2692654401592447,0.8281424949160605,0.6934626627690672,0.32224121901638536,0.5667655786350149,0.6815705554079192,0.2459016393442623,0.8490566037735849,0.5140845070422535,0.3813559322033898,0.569620253164557,0.26539126054521206,0.49
83,25,身高,numeric_le,162.6,0.12892757327222457,0.15241170349167119,0.8278177350101139,0.6935290991230402,0.3216127843591858,0.5637982195845698,0.6798099920276375,0.24456521739130435,0.8490566037735849,0.5105633802816901,0.37974683544303794,0.5681818181818181,0.26295794394109473,0.66
