trial,source,objective,delta,t_lr,t_mid,t_xgb,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC,threshold
49,bayes_ei,0.8042980582542805,0.16438665919633735,0.28887109992860655,0.29196206849740947,0.3081406830018695,0.6772521923996812,0.2891835912959703,0.5727002967359051,0.6774182832846134,0.24581005586592178,0.8301886792452831,0.5246478873239436,0.3793103448275862,0.5626598465473146,0.2588632588134766,0.33
30,bayes_ei,0.8039580421331848,0.16651686040928051,0.2953400167785527,0.29916339529475144,0.33834725010669453,0.6771857560457082,0.2891506257546568,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.31
12,initial,0.8031487947753128,0.1736308890218162,0.2478957509069189,0.28416181620602693,0.5290796048332052,0.6766542652139251,0.2877618431242116,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.34
60,bayes_ei,0.8026489543578152,0.17628345064989567,0.270390236894078,0.2904782356665638,0.32334241062266617,0.6762556470900878,0.28858523545527126,0.5667655786350149,0.6738971565240499,0.2430939226519337,0.8301886792452831,0.5176056338028169,0.376068376068376,0.5597964376590332,0.2539323282153957,0.33
58,bayes_ei,0.8023638974004343,0.043072417721468984,0.26642854402727395,0.29480933220175143,0.2953057542793184,0.6759899016741961,0.28848867774782505,0.5667655786350149,0.6738971565240499,0.2430939226519337,0.8301886792452831,0.5176056338028169,0.376068376068376,0.5597964376590332,0.2539323282153957,0.33
8,initial,0.8021985342578448,0.03722926418568076,0.16907337129840638,0.3567801943919584,0.3998820273179007,0.6759899016741961,0.2890695304927893,0.5459940652818991,0.6692466117459475,0.23684210526315788,0.8490566037735849,0.4894366197183099,0.3703703703703703,0.5597014925373135,0.24849154462718992,0.17
46,bayes_ei,0.8019928885354703,0.046976125667214604,0.20867935292115342,0.3367708130556716,0.3607463567349687,0.6756577199043317,0.28829454227232754,0.5667655786350149,0.6738971565240499,0.2430939226519337,0.8301886792452831,0.5176056338028169,0.376068376068376,0.5597964376590332,0.2539323282153957,0.27
32,bayes_ei,0.8014416400015315,0.04850868199604827,0.24590447292299575,0.2678602147504786,0.4007628753505067,0.6753919744884401,0.2882746951400029,0.5459940652818991,0.6692466117459475,0.23684210526315788,0.8490566037735849,0.4894366197183099,0.3703703703703703,0.5597014925373135,0.24849154462718992,0.17
10,initial,0.8013817201315175,0.1506834733581966,0.22157641053951133,0.24009355667579338,0.3375701284530145,0.6755912835503588,0.28827071209515814,0.543026706231454,0.6674860483656657,0.2356020942408377,0.8490566037735849,0.4859154929577465,0.3688524590163934,0.5583126550868488,0.24610057306884298,0.29
51,bayes_ei,0.8011366931636176,0.0285965328684731,0.19352721804310669,0.24143691036368034,0.5328759103407135,0.6764549561520063,0.2891892293708289,0.5459940652818991,0.6615732128620782,0.23404255319148937,0.8301886792452831,0.49295774647887325,0.36514522821576767,0.55,0.2368778227489085,0.12
