trial,rule_index,feature,rule_type,split_value,threshold_group,threshold_other,objective,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC,threshold
22,0,体重,numeric_gt,58.0,0.36673658953968813,0.2494698969484524,0.8273665876247107,0.6975817167153867,0.3017332101604186,0.5578635014836796,0.6762888652670742,0.24193548387096775,0.8490566037735849,0.5035211267605634,0.37656903765690375,0.5653266331658291,0.25811131121314795,0.26
34,0,体重,numeric_gt,58.0,0.49858476719744294,0.35138393122612854,0.827195058089021,0.6975152803614137,0.30120774425183505,0.5578635014836796,0.6762888652670742,0.24193548387096775,0.8490566037735849,0.5035211267605634,0.37656903765690375,0.5653266331658291,0.25811131121314795,0.17
57,0,体重,numeric_gt,58.0,0.3622112015928809,0.24673360869322786,0.8266520081759885,0.6975152803614139,0.30111119067047454,0.5519287833827893,0.6727677385065107,0.2393617021276596,0.8490566037735849,0.4964788732394366,0.3734439834024897,0.5625,0.25328979360959564,0.26
95,0,体重,numeric_gt,58.0,0.38173493442626305,0.2319037503711098,0.8262771388472082,0.6981132075471699,0.29884602407473754,0.5459940652818991,0.6692466117459475,0.23684210526315788,0.8490566037735849,0.4894366197183099,0.3703703703703703,0.5597014925373135,0.24849154462718992,0.25
43,0,体重,numeric_gt,58.0,0.2716869648548066,0.1655765787663475,0.8261961884757191,0.6977810257773054,0.3013943426814329,0.543026706231454,0.6674860483656657,0.2356020942408377,0.8490566037735849,0.4859154929577465,0.3688524590163934,0.5583126550868488,0.24610057306884298,0.35
64,0,体重,numeric_gt,58.0,0.49337641546559896,0.34896347838952924,0.8261706670220138,0.6974488440074409,0.3016354826474106,0.5459940652818991,0.6692466117459475,0.23684210526315788,0.8490566037735849,0.4894366197183099,0.3703703703703703,0.5597014925373135,0.24849154462718992,0.17
65,0,体重,numeric_gt,58.0,0.2625448943149671,0.18313790557440326,0.8260743850269484,0.6963858623438746,0.3012514690291677,0.5578635014836796,0.6762888652670742,0.24193548387096775,0.8490566037735849,0.5035211267605634,0.37656903765690375,0.5653266331658291,0.25811131121314795,0.35
44,0,体重,numeric_gt,58.0,0.44460119359268274,0.32338221445553217,0.8260286144041842,0.6969837895296307,0.30065167597036857,0.5519287833827893,0.6727677385065107,0.2393617021276596,0.8490566037735849,0.4964788732394366,0.3734439834024897,0.5625,0.25328979360959564,0.19
31,0,体重,numeric_gt,58.0,0.21358500764775729,0.14172384463045826,0.8257319668116043,0.696718044113739,0.3004971650869276,0.5519287833827893,0.6727677385065107,0.2393617021276596,0.8490566037735849,0.4964788732394366,0.3734439834024897,0.5625,0.25328979360959564,0.41
13,0,体重,numeric_gt,58.0,0.3455705725747371,0.20066695788561928,0.8256722709222087,0.6978474621312782,0.2971504115291984,0.5459940652818991,0.6692466117459475,0.23684210526315788,0.8490566037735849,0.4894366197183099,0.3703703703703703,0.5597014925373135,0.24849154462718992,0.28
73,0,体重,numeric_gt,58.0,0.4564371097493621,0.29294506751156835,0.8255263077411303,0.6980467711931969,0.29918497801787397,0.5192878338278932,0.6610749402072814,0.22885572139303484,0.8679245283018868,0.45422535211267606,0.36220472440944884,0.5569007263922519,0.23904936610266816,0.14
24,0,体重,numeric_gt,58.0,0.2854418460957858,0.19949302948662587,0.8254715262796652,0.6963858623438746,0.30085587127655455,0.5519287833827893,0.6727677385065107,0.2393617021276596,0.8490566037735849,0.4964788732394366,0.3734439834024897,0.5625,0.25328979360959564,0.32
8,0,体重,numeric_gt,58.0,0.1954102346441098,0.13075866320171034,0.8254382461174811,0.6964522986978474,0.3003572886957693,0.5519287833827893,0.6727677385065107,0.2393617021276596,0.8490566037735849,0.4964788732394366,0.3734439834024897,0.5625,0.25328979360959564,0.44
80,0,体重,numeric_gt,58.0,0.23041872538095387,0.15564543703687464,0.8254280899166735,0.6964522986978475,0.30030650769173106,0.5519287833827893,0.6727677385065107,0.2393617021276596,0.8490566037735849,0.4964788732394366,0.3734439834024897,0.5625,0.25328979360959564,0.39
