comparison,feature,category,group_a_share,group_b_share,abs_share_diff,group_a_count,group_b_count
FN_vs_TP,性别,女,0.0,0.9555555555555556,0.9555555555555556,8,45
FN_vs_TP,性别,男,1.0,0.044444444444444446,0.9555555555555556,8,45
FP_vs_TN,性别,女,0.9708029197080292,0.0,0.9708029197080292,137,147
FP_vs_TN,性别,男,0.029197080291970802,1.0,0.9708029197080292,137,147
