comparison,feature,group_a_mean,group_b_mean,mean_diff,abs_std_diff,group_a_count,group_b_count
FN_vs_TP,身高,172.375,160.82222222222222,11.552777777777777,1.5043923853600172,8,45
FN_vs_TP,体重,76.625,62.544444444444444,14.080555555555556,1.165387552094309,8,45
FN_vs_TP,甲状腺手术史,0.0,0.2,-0.2,0.8671006984874622,8,45
FN_vs_TP,胸部外伤史,0.125,0.022222222222222223,0.10277777777777777,0.7772120083944708,8,45
FN_vs_TP,右肺下叶,0.625,0.37777777777777777,0.24722222222222223,0.5153447380421977,8,45
FN_vs_TP,bmi,25.81224949875,24.04860059844444,1.763648900305558,0.5057285116361031,8,45
FN_vs_TP,右肺中叶,0.0,0.17777777777777778,-0.17777777777777778,0.5043280111319921,8,45
FN_vs_TP,结核病史,0.125,0.044444444444444446,0.08055555555555555,0.39061762274811684,8,45
FN_vs_TP,左肺上叶,0.0,0.044444444444444446,-0.044444444444444446,0.31163153064474824,8,45
FN_vs_TP,年龄,56.0,59.044444444444444,-3.0444444444444443,0.30419245015491775,8,45
FN_vs_TP,纵隔肿物,0.0,0.06666666666666667,-0.06666666666666667,0.2757944060654326,8,45
FN_vs_TP,肺部手术史,0.0,0.044444444444444446,-0.044444444444444446,0.2398363903658423,8,45
FN_vs_TP,左肺下叶,0.0,0.022222222222222223,-0.022222222222222223,0.13783490476749363,8,45
FN_vs_TP,高血压,0.25,0.3111111111111111,-0.061111111111111116,0.13539603395990757,8,45
FN_vs_TP,冠心病,0.0,0.022222222222222223,-0.022222222222222223,0.1113658684434447,8,45
FN_vs_TP,糖尿病,0.125,0.08888888888888889,0.03611111111111111,0.09919131494389487,8,45
FN_vs_TP,右肺上叶,0.625,0.5777777777777777,0.047222222222222276,0.09545889898239061,8,45
FN_vs_TP,甲状腺疾病,0.0,0.0,0.0,0.0,8,45
FN_vs_TP,放化疗史,0.0,0.0,0.0,0.0,8,45
FP_vs_TN,身高,161.6934306569343,171.89115646258503,-10.19772580565072,1.3279387299840597,137,147
FP_vs_TN,体重,62.175182481751825,72.68707482993197,-10.511892348180147,0.8700245131088661,137,147
FP_vs_TN,冠心病,0.0072992700729927005,0.08163265306122448,-0.07433338298823178,0.3725190787870625,137,147
FP_vs_TN,bmi,23.76995524956204,24.5857326407483,-0.8157773911862591,0.23392517966559678,137,147
FP_vs_TN,甲状腺疾病,0.0364963503649635,0.006802721088435374,0.029693629276528126,0.2245450888851694,137,147
FP_vs_TN,右肺下叶,0.40145985401459855,0.29931972789115646,0.10214012612344209,0.21291523095107445,137,147
FP_vs_TN,糖尿病,0.13138686131386862,0.20408163265306123,-0.07269477133919261,0.19968064500960767,137,147
FP_vs_TN,甲状腺手术史,0.058394160583941604,0.013605442176870748,0.044788718407070854,0.19418164507564695,137,147
FP_vs_TN,结核病史,0.029197080291970802,0.05442176870748299,-0.02522468841551219,0.12231568332532966,137,147
FP_vs_TN,放化疗史,0.029197080291970802,0.013605442176870748,0.015591638115100054,0.11790494633769756,137,147
FP_vs_TN,高血压,0.25547445255474455,0.30612244897959184,-0.0506479964248473,0.11221425562810748,137,147
FP_vs_TN,胸部外伤史,0.0072992700729927005,0.02040816326530612,-0.01310889319231342,0.09913027335398775,137,147
FP_vs_TN,年龄,59.175182481751825,60.054421768707485,-0.8792392869556593,0.08785115243589575,137,147
FP_vs_TN,左肺上叶,0.014598540145985401,0.02040816326530612,-0.00580962311932072,0.040735389265718236,137,147
FP_vs_TN,纵隔肿物,0.058394160583941604,0.06802721088435375,-0.009633050300412144,0.039851120793009065,137,147
FP_vs_TN,右肺上叶,0.5766423357664233,0.564625850340136,0.012016485426287304,0.024291115802075172,137,147
FP_vs_TN,肺部手术史,0.0364963503649635,0.034013605442176874,0.002482744922786627,0.013397683060805994,137,147
FP_vs_TN,左肺下叶,0.029197080291970802,0.027210884353741496,0.0019861959382293064,0.01231952075979386,137,147
FP_vs_TN,右肺中叶,0.145985401459854,0.14285714285714285,0.0031282586027111536,0.008874384971691716,137,147
