dataset,y_true,xgb_mean_prob,lr_mean_prob,cat_mean_prob,bias,ensemble_prob,selected_threshold,y_pred_threshold_opt
train,1,0.24871884286403656,0.26233803215246637,0.0,0.013619189288429812,0.2555284375082515,0.16,1
train,0,0.25955432653427124,0.24543715053528092,0.0,-0.014117175998990317,0.2524957385347761,0.16,1
train,0,0.24632032215595245,0.28941511228844874,0.0,0.043094790132496286,0.2678677172222006,0.16,1
train,0,0.1392768919467926,0.21557644631741749,0.0,0.07629955437062488,0.17742666913210503,0.16,1
train,0,0.14101730287075043,0.017861867974884715,0.0,-0.12315543489586571,0.07943958542281757,0.16,0
train,0,0.1392768919467926,0.0476734037257167,0.0,-0.0916034882210759,0.09347514783625466,0.16,0
train,1,0.2634499967098236,0.6810445886464528,0.0,0.4175945919366292,0.4722472926781382,0.16,1
train,0,0.1392768919467926,0.03503449504565408,0.0,-0.10424239690113853,0.08715569349622335,0.16,0
train,0,0.2634499967098236,0.7175050409807417,0.0,0.45405504427091814,0.4904775188452827,0.16,1
train,1,0.25032296776771545,0.4951066664325395,0.0,0.24478369866482402,0.37271481710012744,0.16,1
train,0,0.14101730287075043,0.04227854358301425,0.0,-0.09873875928773618,0.09164792322688234,0.16,0
train,0,0.22699563205242157,0.5695167657968099,0.0,0.3425211337443883,0.3982561989246157,0.16,1
train,0,0.14347858726978302,0.06836768597170176,0.0,-0.07511090129808126,0.10592313662074239,0.16,0
train,0,0.23605938255786896,0.23441832302644028,0.0,-0.001641059531428679,0.23523885279215462,0.16,1
train,0,0.23698480427265167,0.3147166798796872,0.0,0.07773187560703554,0.27585074207616944,0.16,1
train,0,0.1392768919467926,0.04688420035670524,0.0,-0.09239269159008737,0.09308054615174892,0.16,0
train,0,0.2571200728416443,0.35669117284734114,0.0,0.09957110000569686,0.30690562284449274,0.16,1
train,0,0.1392768919467926,0.050291046469550675,0.0,-0.08898584547724192,0.09478396920817164,0.16,0
train,1,0.2634499967098236,0.32862874894667077,0.0,0.06517875223684716,0.2960393728282472,0.16,1
train,0,0.14347858726978302,0.07565718357293452,0.0,-0.0678214036968485,0.10956788542135877,0.16,0
train,1,0.25654336810112,0.31186066827955194,0.0,0.05531730017843195,0.28420201819033597,0.16,1
train,0,0.14101730287075043,0.20482240379217917,0.0,0.06380510092142874,0.1729198533314648,0.16,1
train,0,0.1392768919467926,0.06695763993162998,0.0,-0.07231925201516262,0.10311726593921129,0.16,0
train,0,0.23698480427265167,0.3169529735512059,0.0,0.07996816927855421,0.2769688889119288,0.16,1
train,0,0.25955432653427124,0.2716693457148087,0.0,0.012115019180537479,0.26561183612454,0.16,1
train,0,0.2571200728416443,0.3493555544526691,0.0,0.0922354816110248,0.3032378136471567,0.16,1
train,0,0.2634499967098236,0.3414144969701668,0.0,0.07796450026034318,0.3024322468399952,0.16,1
train,0,0.2571200728416443,0.35095962214979876,0.0,0.09383954930815447,0.30403984749572155,0.16,1
train,0,0.23928982019424438,0.25994283609347857,0.0,0.020653015899234184,0.24961632814386148,0.16,1
train,1,0.25271478295326233,0.7303496236709361,0.0,0.4776348407176738,0.49153220331209924,0.16,1
train,0,0.24655646085739136,0.276693505448887,0.0,0.030137044591495632,0.2616249831531392,0.16,1
train,0,0.14347858726978302,0.06798117412767707,0.0,-0.07549741314210595,0.10572988069873004,0.16,0
train,0,0.2634499967098236,0.33660904990644147,0.0,0.07315905319661786,0.30002952330813254,0.16,1
train,0,0.2519374489784241,0.2663463169588753,0.0,0.014408867980451212,0.2591418829686497,0.16,1
train,0,0.25876328349113464,0.3241890827255192,0.0,0.06542579923438457,0.2914761831083269,0.16,1
train,0,0.22699563205242157,0.23834511675855705,0.0,0.011349484706135476,0.23267037440548932,0.16,1
train,0,0.23281635344028473,0.18616842691029134,0.0,-0.04664792652999339,0.20949239017528803,0.16,1
train,0,0.2634499967098236,0.32952122199489975,0.0,0.06607122528507614,0.2964856093523617,0.16,1
train,0,0.14347858726978302,0.026515442457529202,0.0,-0.11696314481225381,0.08499701486365611,0.16,0
train,1,0.25328582525253296,0.6631371204379899,0.0,0.40985129518545693,0.4582114728452614,0.16,1
train,0,0.1392768919467926,0.06750221204658753,0.0,-0.07177467990020507,0.10338955199669006,0.16,0
train,0,0.1392768919467926,0.06584166410922397,0.0,-0.07343522783756863,0.1025592780280083,0.16,0
train,0,0.1392768919467926,0.07592774690206888,0.0,-0.06334914504472372,0.10760231942443074,0.16,0
train,0,0.1392768919467926,0.06746085064390815,0.0,-0.07181604130288445,0.10336887129535038,0.16,0
train,1,0.25271478295326233,0.6232188798936489,0.0,0.37050409694038655,0.4379668314234556,0.16,1
train,0,0.14347858726978302,0.07278148804699389,0.0,-0.07069709922278913,0.10813003765838845,0.16,0
train,0,0.23281635344028473,0.2253079889274993,0.0,-0.007508364512785443,0.229062171183892,0.16,1
train,0,0.2364388406276703,0.448197315666064,0.0,0.21175847503839373,0.34231807814686716,0.16,1
train,0,0.24871884286403656,0.07340513892196986,0.0,-0.1753137039420667,0.16106199089300322,0.16,1
train,0,0.14347858726978302,0.07449459350084207,0.0,-0.06898399376894095,0.10898659038531255,0.16,0
train,0,0.2570870518684387,0.3296668631634798,0.0,0.0725798112950411,0.29337695751595927,0.16,1
train,0,0.1392768919467926,0.06733346508208722,0.0,-0.07194342686470538,0.1033051785144399,0.16,0
train,0,0.2634499967098236,0.330595976085898,0.0,0.06714597937607442,0.29702298639786084,0.16,1
