dataset_role,n,positive,negative,positive_rate,split_seed
train,337,53,284,0.1572700296735905,20260419.0
tuning,337,53,284,0.1572700296735905,20260419.0
validation,85,13,72,0.15294117647058825,20260418.0
test,85,13,72,0.15294117647058825,20260417.0
external,21,2,19,0.09523809523809523,
