trial,generation,rule_index,feature,rule_type,split_value,threshold_group,threshold_other,objective,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC,threshold
55,4,10,bmi,numeric_gt,21.09375,0.33791540878812343,0.2530891088789956,0.8219473357885925,0.6943927717246877,0.2945005831441999,0.5311572700296736,0.6681171937284082,0.233502538071066,0.8679245283018868,0.46830985915492956,0.368,0.5623471882640587,0.2483945721731777,0.25
33,2,10,bmi,numeric_gt,21.09375,0.3909973144434521,0.304779933090333,0.8217415678561167,0.694193462662769,0.29319243368784453,0.5341246290801187,0.6698777571086899,0.23469387755102042,0.8679245283018868,0.47183098591549294,0.3694779116465864,0.5637254901960785,0.25074138872341994,0.21
40,3,10,bmi,numeric_gt,21.09375,0.3636930229692807,0.2909770404574411,0.8192287902578603,0.6921339356896095,0.2922020356659303,0.5311572700296736,0.6681171937284082,0.233502538071066,0.8679245283018868,0.46830985915492956,0.368,0.5623471882640587,0.2483945721731777,0.22
19,1,10,bmi,numeric_gt,21.09375,0.38709979176724235,0.31859430892024715,0.8191671458565419,0.6921339356896093,0.2918938136593391,0.5311572700296736,0.6681171937284082,0.233502538071066,0.8679245283018868,0.46830985915492956,0.368,0.5623471882640587,0.2483945721731777,0.2
60,4,35,bmi,numeric_le,21.09375,0.3244997603147709,0.3871002633492455,0.8181353950071947,0.6910045176720703,0.29108193827322354,0.5519287833827893,0.6727677385065107,0.2393617021276596,0.8490566037735849,0.4964788732394366,0.3734439834024897,0.5625,0.25328979360959564,0.2
28,2,10,bmi,numeric_gt,21.09375,0.3790655344432606,0.31778049368273,0.8174670395651276,0.6906058995482327,0.289594895401748,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.25
2,0,4,体重,numeric_gt,76.0,0.21141725718644316,0.23516840228857694,0.8173916128129582,0.6875498272654796,0.30449812305466684,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.4
52,4,24,身高,numeric_le,160.0,0.26910085755477076,0.36341739222217423,0.8165712180334213,0.684228009566835,0.322291556470681,0.5578635014836796,0.6686154663832049,0.2391304347826087,0.8301886792452831,0.5070422535211268,0.3713080168776372,0.5555555555555556,0.24658683233788967,0.26
53,4,2,体重,numeric_gt,65.0,0.2689780950206884,0.3594149773511959,0.8136087546495717,0.6864868456019134,0.29103709683589296,0.5519287833827893,0.6727677385065107,0.2393617021276596,0.8490566037735849,0.4964788732394366,0.3734439834024897,0.5625,0.25328979360959564,0.27
49,4,2,体重,numeric_gt,65.0,0.3112653661988348,0.40810562715322823,0.8135371133509014,0.6864204092479405,0.2910110721124057,0.5519287833827893,0.6727677385065107,0.2393617021276596,0.8490566037735849,0.4964788732394366,0.3734439834024897,0.5625,0.25328979360959564,0.23
43,3,2,体重,numeric_gt,65.0,0.2635314060099121,0.34947983913292135,0.8134746659521082,0.6864204092479406,0.29329765109538414,0.5459940652818991,0.6692466117459475,0.23684210526315788,0.8490566037735849,0.4894366197183099,0.3703703703703703,0.5597014925373135,0.24849154462718992,0.27
42,3,2,体重,numeric_gt,65.0,0.3327785378707811,0.4064624968096619,0.8134602775352004,0.6862211001860218,0.29422225432043914,0.5459940652818991,0.6692466117459475,0.23684210526315788,0.8490566037735849,0.4894366197183099,0.3703703703703703,0.5597014925373135,0.24849154462718992,0.21
