trial,source,objective,rule_index,threshold_group,threshold_other,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC,threshold
29,bayes_ei,0.8390286829001006,112,0.3036611374366181,0.22819551332861193,0.7064841881477544,0.31801166907900463,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.39
50,bayes_ei,0.830071654648723,215,0.28743192777159876,0.22544000601376807,0.7003720435822482,0.3039256069299751,0.5519287833827893,0.6727677385065107,0.2393617021276596,0.8490566037735849,0.4964788732394366,0.3734439834024897,0.5625,0.25328979360959564,0.31
41,bayes_ei,0.8275097701771,127,0.13276268168379907,0.35367513648666205,0.6937948445389318,0.32651749000384334,0.5637982195845698,0.6721365931437683,0.24175824175824176,0.8301886792452831,0.5140845070422535,0.37446808510638296,0.5583756345177665,0.25147728371245875,0.27
20,bayes_ei,0.8218045186426908,197,0.44173925995247443,0.3871203913142866,0.6938612808929047,0.299034717938295,0.543026706231454,0.6674860483656657,0.2356020942408377,0.8490566037735849,0.4859154929577465,0.3688524590163934,0.5583126550868488,0.24610057306884298,0.17
1,initial,0.8200979075743563,18,0.17063644425305913,0.22949992550799364,0.6920010629816636,0.2972136257060527,0.5489614243323442,0.6710071751262291,0.23809523809523808,0.8490566037735849,0.49295774647887325,0.371900826446281,0.5610972568578554,0.2508878753139311,0.39
21,bayes_ei,0.8191318337171472,184,0.3755599940450653,0.45621756110430073,0.6920010629816635,0.292381616502094,0.5311572700296736,0.6681171937284082,0.233502538071066,0.8679245283018868,0.46830985915492956,0.368,0.5623471882640587,0.2483945721731777,0.16
13,bayes_ei,0.8182712855964718,93,0.32574487007354125,0.40025973297894507,0.6894100451767208,0.2957980442149349,0.5608308605341247,0.6780494286473558,0.24324324324324326,0.8490566037735849,0.5070422535211268,0.3781512605042017,0.5667506297229219,0.2605313720894361,0.22
26,bayes_ei,0.8180759096778607,118,0.260717920746106,0.38597788557814067,0.6897422269465852,0.3035525909802339,0.5548961424332344,0.6668549030029232,0.23783783783783785,0.8301886792452831,0.5035211267605634,0.3697478991596639,0.5541561712846348,0.24415094813530555,0.27
24,bayes_ei,0.8175323454274148,120,0.1398868867162506,0.15222527672534075,0.6877491363273984,0.3028703075230557,0.5727002967359051,0.6774182832846134,0.24581005586592178,0.8301886792452831,0.5246478873239436,0.3793103448275862,0.5626598465473146,0.2588632588134766,0.56
47,bayes_ei,0.8141990503217093,16,0.2850648563330863,0.3864114119049307,0.6888121179909648,0.29122649854445193,0.5133531157270029,0.657553813446718,0.22660098522167488,0.8679245283018868,0.4471830985915493,0.35937500000000006,0.5542168674698795,0.23439891749732158,0.24
14,bayes_ei,0.8128474737319061,147,0.3236092679596947,0.48773890276454746,0.6854238639383471,0.2910723109907687,0.5727002967359051,0.6774182832846134,0.24581005586592178,0.8301886792452831,0.5246478873239436,0.3793103448275862,0.5626598465473146,0.2588632588134766,0.3
