round,stage,candidate_member_id,added_member_id,selected_member_ids,selected_member_count,xgb_count,lr_count,xgb_weight,lr_weight,threshold,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC,delta_auc,delta_ap,delta_f2,delta_mcc,guardrail_passed,guardrail_reason
0,seed_pair,,,xgb_member_01|lr_member_01,2,1,1,0.5,0.5,0.19,0.7777777777777779,0.39777578093441845,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169491,0.6122448979591837,0.32565916668073464,0.7777777777777779,0.39777578093441845,0.6122448979591837,0.32565916668073464,1,seed_search
0,seed_pair,,,xgb_member_01|lr_member_02,2,1,1,0.7,0.30000000000000004,0.23,0.7660256410256411,0.39948780655302396,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169491,0.6122448979591837,0.32565916668073464,0.7660256410256411,0.39948780655302396,0.6122448979591837,0.32565916668073464,1,seed_search
0,seed_pair,,,xgb_member_01|lr_member_03,2,1,1,0.8,0.19999999999999996,0.17,0.7665598290598291,0.41264175256925717,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169491,0.6122448979591837,0.32565916668073464,0.7665598290598291,0.41264175256925717,0.6122448979591837,0.32565916668073464,1,seed_search
0,seed_pair,,,xgb_member_01|lr_member_04,2,1,1,0.8,0.19999999999999996,0.17,0.75,0.3526635093270728,0.5411764705882353,0.6976495726495726,0.24,0.9230769230769231,0.4722222222222222,0.38095238095238093,0.5882352941176471,0.2890977924120722,0.75,0.3526635093270728,0.5882352941176471,0.2890977924120722,1,seed_search
0,seed_pair,,,xgb_member_02|lr_member_01,2,1,1,0.1,0.9,0.13,0.7777777777777778,0.38952427656155875,0.5764705882352941,0.718482905982906,0.2553191489361702,0.9230769230769231,0.5138888888888888,0.4,0.6060606060606061,0.31633311383796653,0.7777777777777778,0.38952427656155875,0.6060606060606061,0.31633311383796653,1,seed_search
0,seed_pair,,,xgb_member_02|lr_member_02,2,1,1,0.3,0.7,0.3,0.7660256410256411,0.3952637249324569,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169491,0.6122448979591837,0.32565916668073464,0.7660256410256411,0.3952637249324569,0.6122448979591837,0.32565916668073464,1,seed_search
0,seed_pair,,,xgb_member_02|lr_member_03,2,1,1,0.1,0.9,0.1,0.7622863247863249,0.3610302314712175,0.5411764705882353,0.6976495726495726,0.24,0.9230769230769231,0.4722222222222222,0.38095238095238093,0.5882352941176471,0.2890977924120722,0.7622863247863249,0.3610302314712175,0.5882352941176471,0.2890977924120722,1,seed_search
0,seed_pair,,,xgb_member_02|lr_member_04,2,1,1,0.7,0.30000000000000004,0.16,0.735042735042735,0.3358925489195269,0.5764705882352941,0.718482905982906,0.2553191489361702,0.9230769230769231,0.5138888888888888,0.4,0.6060606060606061,0.31633311383796653,0.735042735042735,0.3358925489195269,0.6060606060606061,0.31633311383796653,1,seed_search
0,seed_pair,,,xgb_member_03|lr_member_01,2,1,1,0.3,0.7,0.19,0.77991452991453,0.39792018264377105,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169491,0.6122448979591837,0.32565916668073464,0.77991452991453,0.39792018264377105,0.6122448979591837,0.32565916668073464,1,seed_search
0,seed_pair,,,xgb_member_03|lr_member_02,2,1,1,0.2,0.8,0.32,0.7617521367521368,0.38433631649373623,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169491,0.6122448979591837,0.32565916668073464,0.7617521367521368,0.38433631649373623,0.6122448979591837,0.32565916668073464,1,seed_search
0,seed_pair,,,xgb_member_03|lr_member_03,2,1,1,0.2,0.8,0.12,0.7617521367521368,0.357044994042493,0.5764705882352941,0.718482905982906,0.2553191489361702,0.9230769230769231,0.5138888888888888,0.4,0.6060606060606061,0.31633311383796653,0.7617521367521368,0.357044994042493,0.6060606060606061,0.31633311383796653,1,seed_search
0,seed_pair,,,xgb_member_03|lr_member_04,2,1,1,0.5,0.5,0.16,0.7435897435897436,0.32915735572618166,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169491,0.6122448979591837,0.32565916668073464,0.7435897435897436,0.32915735572618166,0.6122448979591837,0.32565916668073464,1,seed_search
0,seed_pair,,,xgb_member_04|lr_member_01,2,1,1,0.6,0.4,0.17,0.7857905982905984,0.41358033307002995,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169491,0.6122448979591837,0.32565916668073464,0.7857905982905984,0.41358033307002995,0.6122448979591837,0.32565916668073464,1,seed_search
0,seed_pair,,,xgb_member_04|lr_member_02,2,1,1,0.8,0.19999999999999996,0.24,0.7697649572649573,0.3972365530709987,0.6,0.7323717948717949,0.26666666666666666,0.9230769230769231,0.5416666666666666,0.4137931034482759,0.6185567010309279,0.3351313685527426,0.7697649572649573,0.3972365530709987,0.6185567010309279,0.3351313685527426,1,seed_search
0,seed_pair,,,xgb_member_04|lr_member_03,2,1,1,0.8,0.19999999999999996,0.15,0.7729700854700855,0.3921348009442044,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169491,0.6122448979591837,0.32565916668073464,0.7729700854700855,0.3921348009442044,0.6122448979591837,0.32565916668073464,1,seed_search
0,seed_pair,,,xgb_member_04|lr_member_04,2,1,1,0.8,0.19999999999999996,0.16,0.7564102564102564,0.34862049863279454,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169491,0.6122448979591837,0.32565916668073464,0.7564102564102564,0.34862049863279454,0.6122448979591837,0.32565916668073464,1,seed_search
0,seed_pair,,,xgb_member_05|lr_member_01,2,1,1,0.3,0.7,0.13,0.7772435897435899,0.3938495950786014,0.5764705882352941,0.718482905982906,0.2553191489361702,0.9230769230769231,0.5138888888888888,0.4,0.6060606060606061,0.31633311383796653,0.7772435897435899,0.3938495950786014,0.6060606060606061,0.31633311383796653,1,seed_search
0,seed_pair,,,xgb_member_05|lr_member_02,2,1,1,0.5,0.5,0.25,0.7622863247863249,0.3768662758506186,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169491,0.6122448979591837,0.32565916668073464,0.7622863247863249,0.3768662758506186,0.6122448979591837,0.32565916668073464,1,seed_search
0,seed_pair,,,xgb_member_05|lr_member_03,2,1,1,0.1,0.9,0.23,0.7601495726495727,0.3580644001682821,0.7176470588235294,0.7387820512820513,0.3225806451612903,0.7692307692307693,0.7083333333333334,0.45454545454545453,0.6024096385542168,0.357101662387144,0.7601495726495727,0.3580644001682821,0.6024096385542168,0.357101662387144,1,seed_search
0,seed_pair,,,xgb_member_05|lr_member_04,2,1,1,0.6,0.4,0.15,0.7361111111111112,0.3303659451688181,0.5411764705882353,0.6976495726495726,0.24,0.9230769230769231,0.4722222222222222,0.38095238095238093,0.5882352941176471,0.2890977924120722,0.7361111111111112,0.3303659451688181,0.5882352941176471,0.2890977924120722,1,seed_search
1,candidate_eval,xgb_member_01,,xgb_member_04|lr_member_01|xgb_member_01,3,2,1,0.6,0.4,0.18,0.7825854700854702,0.4094198558137875,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169491,0.6122448979591837,0.32565916668073464,-0.0032051282051281937,-0.0041604772562424674,0.0,0.0,0,auc_gain_too_small|ap_drop_too_large
1,candidate_eval,xgb_member_02,,xgb_member_04|lr_member_01|xgb_member_02,3,2,1,0.4,0.6,0.18,0.779380341880342,0.404836735799012,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169491,0.6122448979591837,0.32565916668073464,-0.0064102564102563875,-0.008743597271017922,0.0,0.0,0,auc_gain_too_small|ap_drop_too_large
1,candidate_eval,xgb_member_03,,xgb_member_04|lr_member_01|xgb_member_03,3,2,1,0.4,0.6,0.18,0.782051282051282,0.41071943117978915,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169491,0.6122448979591837,0.32565916668073464,-0.003739316239316337,-0.0028609018902407968,0.0,0.0,0,auc_gain_too_small|ap_drop_too_large
1,candidate_eval,xgb_member_05,,xgb_member_04|lr_member_01|xgb_member_05,3,2,1,0.4,0.6,0.18,0.7836538461538463,0.4103671530941352,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169491,0.6122448979591837,0.32565916668073464,-0.002136752136752129,-0.0032131799758947643,0.0,0.0,0,auc_gain_too_small|ap_drop_too_large
1,candidate_eval,lr_member_02,,xgb_member_04|lr_member_01|lr_member_02,3,1,2,0.7,0.30000000000000004,0.19,0.7740384615384617,0.40051966934038497,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169491,0.6122448979591837,0.32565916668073464,-0.01175213675213671,-0.013060663729644983,0.0,0.0,0,auc_gain_too_small|ap_drop_too_large
1,candidate_eval,lr_member_03,,xgb_member_04|lr_member_01|lr_member_03,3,1,2,0.8,0.19999999999999996,0.21,0.7815170940170939,0.39774724952852547,0.6,0.7323717948717949,0.26666666666666666,0.9230769230769231,0.5416666666666666,0.4137931034482759,0.6185567010309279,0.3351313685527426,-0.00427350427350448,-0.015833083541504478,0.006311803071744171,0.00947220187200798,0,auc_gain_too_small|ap_drop_too_large
1,candidate_eval,lr_member_04,,xgb_member_04|lr_member_01|lr_member_04,3,1,2,0.9,0.09999999999999998,0.18,0.766025641025641,0.37044582053771846,0.6,0.7323717948717949,0.26666666666666666,0.9230769230769231,0.5416666666666666,0.4137931034482759,0.6185567010309279,0.3351313685527426,-0.019764957264957417,-0.043134512532311486,0.006311803071744171,0.00947220187200798,0,auc_gain_too_small|ap_drop_too_large
