trial,source,objective,threshold_primary,threshold_other,report_threshold,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC,threshold,tp,fp,tn,fn
55,bayes_ei,0.8056839854694325,0.12204982556386976,0.12507419001061454,0.5912346137757031,0.6785144831251662,0.29246621083796587,0.5667655786350149,0.6738971565240499,0.2430939226519337,0.8301886792452831,0.5176056338028169,0.37606837606837606,0.5597964376590332,0.2539323282153957,0.5912346137757031,44,137,147,9
75,bayes_ei,0.7971391616857378,0.155076600312896,0.13975339794763197,0.6069375667690711,0.6750597927185756,0.2866071293097159,0.5756676557863502,0.6561586500132872,0.23837209302325582,0.7735849056603774,0.5387323943661971,0.36444444444444446,0.5338541666666669,0.2274505287710463,0.6069375667690711,41,131,153,12
54,bayes_ei,0.7904654766649867,0.23679653133806702,0.15621829575130813,0.6030522123296052,0.6749269200106297,0.2895987621009566,0.6409495548961425,0.6335038533085304,0.2462686567164179,0.6226415094339622,0.6443661971830986,0.35294117647058826,0.476878612716763,0.1986188592497861,0.6030522123296052,33,101,183,20
71,bayes_ei,0.7861545925726308,0.294917003442056,0.1972837515259519,0.5635441964778295,0.6745283018867925,0.2895128264091538,0.6735905044510386,0.6221764549561519,0.25217391304347825,0.5471698113207547,0.6971830985915493,0.34523809523809523,0.4434250764525993,0.18762435517495074,0.5635441964778295,29,86,198,24
56,bayes_ei,0.7844824512897958,0.2220739776559463,0.18913749333345825,0.5691994093437905,0.6731331384533616,0.28550674155959954,0.6231454005934718,0.6152670741429711,0.2318840579710145,0.6037735849056604,0.6267605633802817,0.33507853403141363,0.4571428571428572,0.17067357620456963,0.5691994093437905,32,106,178,21
73,bayes_ei,0.7834369636422778,0.25049898630022366,0.1289674606015277,0.6244356004643101,0.6705421206484189,0.27917880226914227,0.6350148367952523,0.629982726547967,0.2426470588235294,0.6226415094339622,0.6373239436619719,0.3492063492063492,0.47413793103448276,0.19290578873164374,0.6244356004643101,33,103,181,20
62,bayes_ei,0.7798004893468977,0.3550643575597546,0.17277847317167688,0.5737681036259841,0.6666888121179909,0.276053564979281,0.6439169139465876,0.6352644166888122,0.24812030075187969,0.6226415094339622,0.647887323943662,0.3548387096774194,0.47826086956521746,0.20149754553057503,0.5737681036259841,33,100,184,20
59,bayes_ei,0.7795625451169552,0.18284996485138416,0.17003332182273073,0.6235938970178762,0.6771193196917353,0.28328418061895205,0.6676557863501483,0.5879617326601116,0.22935779816513763,0.4716981132075472,0.704225352112676,0.30864197530864196,0.38940809968847356,0.1369115866516421,0.6235938970178762,25,84,200,28
57,bayes_ei,0.778151633812481,0.32030805749338387,0.15325492020767595,0.6103326494051312,0.6667552484719638,0.27610070689255395,0.6439169139465876,0.6275910178049429,0.24427480916030533,0.6037735849056604,0.6514084507042254,0.34782608695652173,0.46647230320699706,0.19058027282613194,0.6103326494051312,32,99,185,21
16,bayes_ei,0.7758261585306033,0.23967754478595513,0.2981334993371457,0.5780190807768384,0.6872840818495881,0.29523530080537036,0.8367952522255193,0.56553946319426,0.45,0.16981132075471697,0.9612676056338029,0.2465753424657534,0.19396551724137928,0.20196929591606533,0.5780190807768384,9,11,273,44
37,bayes_ei,0.7752069129202365,0.21505461398544434,0.27266711337491023,0.6131784317824509,0.686752591017805,0.2947965269124522,0.8367952522255193,0.56553946319426,0.45,0.16981132075471697,0.9612676056338029,0.2465753424657534,0.19396551724137928,0.20196929591606533,0.6131784317824509,9,11,273,44
45,bayes_ei,0.7748003613990753,0.24170894006688526,0.21763980288187035,0.5704931245523386,0.6743954291788467,0.28603808430925964,0.7418397626112759,0.5936088227478076,0.2702702702702703,0.37735849056603776,0.8098591549295775,0.31496062992125984,0.34965034965034963,0.16464560786683272,0.5704931245523386,20,54,230,33
39,bayes_ei,0.7740602262767091,0.20014332548563762,0.22917207715904195,0.6884945543512534,0.6861546638320489,0.2956840758401371,0.8456973293768546,0.5631477544512358,0.5333333333333333,0.1509433962264151,0.9753521126760564,0.23529411764705882,0.17621145374449337,0.2229520380436692,0.6884945543512534,8,7,277,45
15,bayes_ei,0.7736804100051232,0.3257684132265918,0.16206320404378705,0.6086642134854998,0.6676853574275844,0.2767990594094326,0.6409495548961425,0.6028102577730534,0.23015873015873015,0.5471698113207547,0.6584507042253521,0.3240223463687151,0.42899408284023666,0.15471664823257386,0.6086642134854998,29,97,187,24
84,bayes_ei,0.7726047819566972,0.20324807507881243,0.16745876630158435,0.632186109958075,0.6731995748073346,0.2873680674687032,0.7091988130563798,0.5819160244485783,0.2413793103448276,0.39622641509433965,0.7676056338028169,0.3,0.3511705685618729,0.1362907359886932,0.632186109958075,21,66,218,32
31,bayes_ei,0.7721976196650105,0.21387907111425247,0.2234800250994707,0.6103493595990842,0.6799760829125697,0.29278436515453676,0.8308605341246291,0.577365134201435,0.4230769230769231,0.20754716981132076,0.9471830985915493,0.27848101265822783,0.23109243697478993,0.21110840048108803,0.6103493595990842,11,15,269,42
