5.641025641025639858e-01,5.388471177944861301e-01,4.826958105646629860e-01,5.291005291005290712e-01,5.541561712846347909e-01,5.038759689922480689e-01,5.527638190954774489e-01,5.722070844686648616e-01,5.612244897959183243e-01,5.314533622559652892e-01,5.722070844686648616e-01,5.826558265582655327e-01,5.384615384615385469e-01
5.641025641025639858e-01,5.388471177944861301e-01,4.878048780487804215e-01,5.291005291005290712e-01,5.541561712846347909e-01,5.038759689922480689e-01,5.527638190954774489e-01,5.699481865284973248e-01,5.612244897959183243e-01,5.051813471502589747e-01,5.737704918032786594e-01,5.844155844155842772e-01,5.384615384615385469e-01
5.842391304347825942e-01,5.388471177944861301e-01,5.057803468208091902e-01,5.291005291005290712e-01,5.541561712846347909e-01,5.213903743315507766e-01,5.527638190954774489e-01,5.945945945945946276e-01,5.612244897959183243e-01,5.051813471502589747e-01,5.722070844686648616e-01,5.849582172701949245e-01,5.384615384615385469e-01
5.641025641025639858e-01,5.388471177944861301e-01,4.826958105646629860e-01,5.291005291005290712e-01,5.541561712846347909e-01,5.038759689922480689e-01,5.527638190954774489e-01,5.699481865284973248e-01,5.612244897959183243e-01,5.051813471502589747e-01,5.722070844686648616e-01,5.813953488372093359e-01,5.384615384615385469e-01
5.641025641025639858e-01,5.388471177944861301e-01,4.826958105646629860e-01,5.291005291005290712e-01,5.541561712846347909e-01,5.038759689922480689e-01,5.527638190954774489e-01,5.699481865284973248e-01,5.612244897959183243e-01,5.051813471502589747e-01,5.722070844686648616e-01,5.865921787709497126e-01,5.384615384615385469e-01
5.837563451776649481e-01,5.514705882352941568e-01,5.000000000000000000e-01,5.338541666666668517e-01,5.555555555555555802e-01,5.076142131979696215e-01,5.555555555555555802e-01,5.769230769230769829e-01,5.639097744360902498e-01,5.242966751918157753e-01,5.851063829787234161e-01,5.778894472361809642e-01,5.513784461152883010e-01
5.936675461741425242e-01,5.314533622559652892e-01,5.052631578947368585e-01,5.414012738853503093e-01,5.314009661835749077e-01,5.353319057815845161e-01,5.581395348837209225e-01,5.528255528255529017e-01,5.696202531645570000e-01,5.231143552311435796e-01,5.939226519337016397e-01,5.635491606714628787e-01,5.357142857142858094e-01
5.597014925373134941e-01,5.263157894736842923e-01,5.056179775280899014e-01,5.503512880562061449e-01,5.119047619047618625e-01,5.357142857142856984e-01,5.200945626477541106e-01,5.446927374301676616e-01,5.660377358490565891e-01,5.109489051094890932e-01,5.693069306930693685e-01,5.420054200542004930e-01,5.241935483870967527e-01
5.298913043478260532e-01,5.353075170842824804e-01,5.188679245283018826e-01,5.773672055427251371e-01,4.853273137697516892e-01,5.304740406320540558e-01,4.680851063829786773e-01,5.298913043478260532e-01,5.246252676659528547e-01,4.834905660377358250e-01,5.489260143198091413e-01,5.092592592592593004e-01,5.034324942791762458e-01
5.754475703324808400e-01,5.388471177944861301e-01,5.026455026455026731e-01,5.380577427821522374e-01,5.653266331658290955e-01,5.323590814196241805e-01,5.639097744360902498e-01,5.729166666666667407e-01,5.710659898477157270e-01,5.334728033472803110e-01,5.810810810810811411e-01,5.912596401028278326e-01,5.498721227621483632e-01
5.693069306930693685e-01,5.555555555555555802e-01,5.051813471502589747e-01,5.411255411255411207e-01,5.569620253164557777e-01,5.402542372881355970e-01,5.555555555555555802e-01,5.769230769230769829e-01,5.639097744360902498e-01,5.483870967741935054e-01,5.733333333333333615e-01,5.829015544041450392e-01,5.555555555555555802e-01
5.714285714285715079e-01,5.470737913486005688e-01,5.048543689320387218e-01,5.555555555555555802e-01,5.655526992287918109e-01,5.330490405117270791e-01,5.555555555555555802e-01,5.804749340369392829e-01,5.684754521963825136e-01,5.309734513274335654e-01,5.737704918032786594e-01,5.905511811023622659e-01,5.497382198952879273e-01
5.744125326370758122e-01,5.415617128463476870e-01,4.949494949494949725e-01,5.319148936170212671e-01,5.626598465473146016e-01,5.279503105590062084e-01,5.597964376590331970e-01,5.866666666666666696e-01,5.641025641025639858e-01,5.290456431535269788e-01,5.737704918032786594e-01,5.874673629242820327e-01,5.412371134020619312e-01
