stage,candidate_cat_ids,selected_cat_ids,cat_count,xgb_weight,lr_weight,cat_weight,threshold,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC,delta_auc,delta_ap,delta_f2,delta_mcc,guardrail_passed,guardrail_reason
baseline,,,0,0.6,0.4,0.0,0.17,0.7857905982905984,0.41358033307002995,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169491,0.6122448979591837,0.32565916668073464,0.0,0.0,0.0,0.0,1,baseline
candidate_eval,cat_member_03,cat_member_03,1,0.45,0.5,0.05,0.19,0.7804487179487181,0.4103111845988543,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169491,0.6122448979591837,0.32565916668073464,-0.005341880341880323,-0.0032691484711756535,0.0,0.0,0,auc_gain_too_small|ap_drop_too_large
candidate_eval,cat_member_01,cat_member_01,1,0.3,0.65,0.05,0.2,0.7804487179487181,0.40460108587404975,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169491,0.6122448979591837,0.32565916668073464,-0.005341880341880323,-0.0089792471959802,0.0,0.0,0,auc_gain_too_small|ap_drop_too_large
candidate_eval,cat_member_01,cat_member_01,1,0.45,0.5,0.05,0.19,0.7804487179487181,0.40460108587404975,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169491,0.6122448979591837,0.32565916668073464,-0.005341880341880323,-0.0089792471959802,0.0,0.0,0,auc_gain_too_small|ap_drop_too_large
candidate_eval,cat_member_01|cat_member_03,cat_member_01|cat_member_03,2,0.3,0.65,0.05,0.2,0.780448717948718,0.4075819889119121,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169491,0.6122448979591837,0.32565916668073464,-0.005341880341880434,-0.005998344158117841,0.0,0.0,0,auc_gain_too_small|ap_drop_too_large
candidate_eval,cat_member_01|cat_member_03,cat_member_01|cat_member_03,2,0.35,0.6,0.05,0.2,0.780448717948718,0.4075819889119121,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169491,0.6122448979591837,0.32565916668073464,-0.005341880341880434,-0.005998344158117841,0.0,0.0,0,auc_gain_too_small|ap_drop_too_large
candidate_eval,cat_member_01|cat_member_04,cat_member_01|cat_member_04,2,0.55,0.4,0.05,0.19,0.77991452991453,0.4085263468415642,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169491,0.6122448979591837,0.32565916668073464,-0.005876068376068355,-0.005053986228465757,0.0,0.0,0,auc_gain_too_small|ap_drop_too_large
candidate_eval,cat_member_04,cat_member_04,1,0.5,0.45,0.05,0.19,0.77991452991453,0.40460108587404975,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169491,0.6122448979591837,0.32565916668073464,-0.005876068376068355,-0.0089792471959802,0.0,0.0,0,auc_gain_too_small|ap_drop_too_large
candidate_eval,cat_member_01|cat_member_02,cat_member_01|cat_member_02,2,0.25,0.7,0.05,0.2,0.77991452991453,0.40460108587404975,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169491,0.6122448979591837,0.32565916668073464,-0.005876068376068355,-0.0089792471959802,0.0,0.0,0,auc_gain_too_small|ap_drop_too_large
candidate_eval,cat_member_01|cat_member_04,cat_member_01|cat_member_04,2,0.5,0.45,0.05,0.19,0.77991452991453,0.40460108587404975,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169491,0.6122448979591837,0.32565916668073464,-0.005876068376068355,-0.0089792471959802,0.0,0.0,0,auc_gain_too_small|ap_drop_too_large
candidate_eval,cat_member_03,cat_member_03,1,0.5,0.45,0.05,0.18,0.779380341880342,0.4061903054779752,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169491,0.6122448979591837,0.32565916668073464,-0.0064102564102563875,-0.00739002759205476,0.0,0.0,0,auc_gain_too_small|ap_drop_too_large
candidate_eval,cat_member_01,cat_member_01,1,0.35,0.6,0.05,0.2,0.779380341880342,0.40391549695316664,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169491,0.6122448979591837,0.32565916668073464,-0.0064102564102563875,-0.009664836116863307,0.0,0.0,0,auc_gain_too_small|ap_drop_too_large
candidate_eval,cat_member_01,cat_member_01,1,0.25,0.7,0.05,0.21,0.779380341880342,0.4027061859022266,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169491,0.6122448979591837,0.32565916668073464,-0.0064102564102563875,-0.010874147167803327,0.0,0.0,0,auc_gain_too_small|ap_drop_too_large
candidate_eval,cat_member_01,cat_member_01,1,0.55,0.4,0.05,0.19,0.7793803418803419,0.40781481449146495,0.5882352941176471,0.7254273504273505,0.2608695652173913,0.9230769230769231,0.5277777777777778,0.4067796610169491,0.6122448979591837,0.32565916668073464,-0.0064102564102564985,-0.005765518578564999,0.0,0.0,0,auc_gain_too_small|ap_drop_too_large
