trial,source,objective,primary_index,aux_index,threshold_primary_aux,threshold_primary_base,threshold_other,report_threshold,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC,threshold,tp,fp,tn,fn
49,bayes_ei,0.8315666672935016,111,26,0.24403989455352038,0.16906452789631315,0.13580573090705536,0.5803946348331048,0.7076800425192665,0.29334753949423226,0.7151335311572701,0.6775179378155727,0.30275229357798167,0.6226415094339622,0.7323943661971831,0.4074074074074074,0.5140186915887851,0.2763049543302022,0.5803946348331048,33,76,208,20
44,bayes_ei,0.8122358759601891,72,0,0.1669252430940531,0.15310029566238886,0.18250449570374677,0.5874333337295047,0.6900079723624768,0.30201647489203204,0.6142433234421365,0.6483523784214722,0.24503311258278146,0.6981132075471698,0.5985915492957746,0.3627450980392157,0.509641873278237,0.21720842582964364,0.5874333337295047,37,114,170,16
29,bayes_ei,0.8066766170479496,29,43,0.20696039371251235,0.4268201716062114,0.15271501729548653,0.6455209733304869,0.6965187350518204,0.36689899541420223,0.8189910979228486,0.5856696784480467,0.38235294117647056,0.24528301886792453,0.926056338028169,0.2988505747126437,0.26422764227642276,0.20710637371293142,0.6455209733304869,13,21,263,40
72,bayes_ei,0.8027420693277212,16,17,0.14661763513101636,0.1504235445472384,0.15613033812163302,0.6127872406964275,0.68044113739038,0.3010172000635759,0.5816023738872403,0.6443329790061121,0.23493975903614459,0.7358490566037735,0.5528169014084507,0.3561643835616438,0.5158730158730158,0.21020380674648817,0.6127872406964275,39,127,157,14
55,bayes_ei,0.7906671639387323,42,34,0.32396248850616083,0.2755583502274954,0.12549425435988737,0.6132612828115731,0.6718044113739038,0.2892315429807474,0.5875370919881305,0.6401807068828063,0.2345679012345679,0.7169811320754716,0.5633802816901409,0.35348837209302325,0.5080213903743315,0.20428609862491684,0.6132612828115731,38,124,160,15
69,bayes_ei,0.7896841640823357,94,34,0.19955766691516572,0.1621177775387256,0.17628641988474913,0.5776813653945522,0.6702763752325273,0.28522066761582965,0.5845697329376854,0.6460935423863938,0.23636363636363636,0.7358490566037735,0.5563380281690141,0.3577981651376147,0.5172413793103449,0.21279034791215948,0.5776813653945522,39,126,158,14
14,bayes_ei,0.785895212731435,97,39,0.4399112887694661,0.3178787561903585,0.14512657353503158,0.6714021992913852,0.6968509168216849,0.3049570643270784,0.8427299703264095,0.561387191070954,0.5,0.1509433962264151,0.971830985915493,0.2318840579710145,0.17543859649122806,0.21018046790423592,0.6714021992913852,8,8,276,45
82,bayes_ei,0.7850544796741328,98,6,0.3820667334806207,0.4278668495513137,0.1828087228441972,0.5915931459330968,0.6677517937815574,0.2870616585022603,0.629080118694362,0.6418083975551421,0.24647887323943662,0.660377358490566,0.6232394366197183,0.358974358974359,0.4943502824858756,0.20910651887071602,0.5915931459330968,35,107,177,18
39,bayes_ei,0.7804594752170003,11,22,0.282500976216569,0.20161331538125402,0.17367164951095154,0.6100762420176302,0.6741961201169279,0.2879674308970768,0.658753709198813,0.598026840287005,0.23275862068965517,0.5094339622641509,0.6866197183098591,0.31952662721893493,0.4115853658536585,0.1502266467058252,0.6100762420176302,27,89,195,26
66,bayes_ei,0.7737152006610566,54,4,0.16966529209746195,0.38073711160317514,0.3107909337432635,0.6196320742856645,0.690406590486314,0.32007030686936405,0.827893175074184,0.5372375764018071,0.35294117647058826,0.11320754716981132,0.9612676056338029,0.17142857142857143,0.1310043668122271,0.12388224239294175,0.6196320742856645,6,11,273,47
