trial,rule_index,feature,rule_type,split_value,threshold_group,threshold_other,objective,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC,threshold
85,21,年龄,numeric_le,68.0,0.23090578801181905,0.2843259359616507,0.8575464530582328,0.7191070954026043,0.34686457457401626,0.6053412462908012,0.6814376826999735,0.25609756097560976,0.7924528301886793,0.5704225352112676,0.3870967741935484,0.5585106382978724,0.264307578220762,0.75
6,16,胸部外伤史,numeric_gt,0.0,0.1753016096801572,0.35948486948271674,0.8563261545128165,0.7155859686420408,0.35121004515903176,0.56973293768546,0.683331118788201,0.24725274725274726,0.8490566037735849,0.5176056338028169,0.3829787234042553,0.5710659898477157,0.26783155708395595,0.55
43,29,体重,numeric_le,58.0,0.3146653879368875,0.42453333866903575,0.8501436092316712,0.7153202232261494,0.3280711920505827,0.5727002967359051,0.6774182832846134,0.24581005586592178,0.8301886792452831,0.5246478873239436,0.3793103448275862,0.5626598465473146,0.2588632588134766,0.49
5,10,bmi,numeric_gt,21.09375,0.37414375987962295,0.26056289841503544,0.8492111039636708,0.7185091682168483,0.30381188249543245,0.5459940652818991,0.6769200106298167,0.23958333333333334,0.8679245283018868,0.4859154929577465,0.3755102040816327,0.5693069306930694,0.2601773235685819,0.52
9,0,体重,numeric_gt,58.0,0.4596751902711624,0.43981406674668866,0.8476798578339101,0.708012224289131,0.35095197785971116,0.5756676557863502,0.679178846664895,0.24719101123595505,0.8301886792452831,0.528169014084507,0.380952380952381,0.564102564102564,0.26133963125160825,0.44
60,33,体重,numeric_le,76.0,0.25748932249571,0.1690191980882359,0.8475311129262416,0.7141908052086102,0.34225830846971633,0.44807121661721067,0.6341682168482594,0.2096069868995633,0.9056603773584906,0.3626760563380282,0.3404255319148936,0.54421768707483,0.20933754632410367,0.69
92,35,bmi,numeric_le,21.09375,0.3569906410425222,0.37797593796556844,0.845999535357415,0.7102710603242094,0.3312561853018434,0.5756676557863502,0.679178846664895,0.24719101123595505,0.8301886792452831,0.528169014084507,0.380952380952381,0.564102564102564,0.26133963125160825,0.53
16,8,身高,numeric_gt,170.0,0.3265791261164979,0.40610045011187407,0.8451191774072006,0.7086765878288599,0.3348267580275187,0.5756676557863502,0.679178846664895,0.24719101123595505,0.8301886792452831,0.528169014084507,0.380952380952381,0.564102564102564,0.26133963125160825,0.58
61,10,bmi,numeric_gt,21.09375,0.43508369585956874,0.42770972893759374,0.8441426996923365,0.7076800425192665,0.334927096001165,0.5756676557863502,0.679178846664895,0.24719101123595505,0.8301886792452831,0.528169014084507,0.380952380952381,0.564102564102564,0.26133963125160825,0.47
66,41,放化疗史,numeric_gt,0.0,0.2660908626726666,0.20212992339317482,0.8431073275309391,0.7063513154398087,0.3363938705914678,0.5756676557863502,0.679178846664895,0.24719101123595505,0.8301886792452831,0.528169014084507,0.380952380952381,0.564102564102564,0.26133963125160825,0.73
41,5,身高,numeric_gt,160.0,0.3755602466615418,0.37392468368313353,0.8419648436266329,0.7051554610682966,0.3366607229274968,0.5756676557863502,0.679178846664895,0.24719101123595505,0.8301886792452831,0.528169014084507,0.380952380952381,0.564102564102564,0.26133963125160825,0.53
47,23,性别,categorical_eq,男,0.306991901853285,0.14549158625222444,0.8417271993428459,0.7050225883603508,0.33613686504829093,0.5756676557863502,0.679178846664895,0.24719101123595505,0.8301886792452831,0.528169014084507,0.380952380952381,0.564102564102564,0.26133963125160825,0.61
