trial,source,objective,primary_index,aux_index,threshold_primary_aux,threshold_primary_base,threshold_other,report_threshold,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC,threshold,tp,fp,tn,fn
47,bayes_ei,0.8227810189844228,1,25,0.21857488711146267,0.26159026868016244,0.15022827603744443,0.5767752659289875,0.7013021525378688,0.34566625267479445,0.7329376854599406,0.6266941270263088,0.28735632183908044,0.4716981132075472,0.7816901408450704,0.35714285714285715,0.41806020066889626,0.21079191689411028,0.5767752659289875,25,62,222,28
22,bayes_ei,0.8118337349912828,81,30,0.28974418700814836,0.159485820327396,0.2212548145215299,0.6122805802054225,0.7034281158650013,0.3074621588968738,0.7744807121661721,0.6129750199309062,0.31746031746031744,0.37735849056603776,0.8485915492957746,0.3448275862068966,0.36363636363636365,0.2109910196654056,0.6122805802054225,20,43,241,33
67,bayes_ei,0.7994874036692586,40,31,0.23515092069822874,0.4302611829031445,0.12235347403193012,0.6259404155621341,0.6775179378155727,0.3034715985962203,0.6083086053412463,0.6448312516609088,0.24183006535947713,0.6981132075471698,0.5915492957746479,0.3592233009708738,0.5068493150684931,0.21180429255185165,0.6259404155621341,37,116,168,16
65,bayes_ei,0.7992560961278881,45,30,0.3239431350797342,0.33562765521694393,0.1337187637709392,0.6343646241541091,0.6759234653202233,0.28886083326934947,0.5845697329376854,0.6614403401541324,0.24260355029585798,0.7735849056603774,0.5492957746478874,0.36936936936936937,0.5380577427821522,0.2350937975115939,0.6343646241541091,41,128,156,12
16,bayes_ei,0.7968879128477792,90,9,0.2164443558804759,0.16099323905785265,0.20028795649717668,0.5968676784437688,0.6902072814243954,0.2969335399967561,0.7032640949554896,0.6014150943396226,0.25263157894736843,0.4528301886792453,0.75,0.32432432432432434,0.3908794788273615,0.1641195108259293,0.5968676784437688,24,71,213,29
63,bayes_ei,0.796805801235802,104,15,0.2650949090110967,0.13943270369839225,0.12597123355376474,0.5915722569889137,0.6789131012490034,0.28854330190534105,0.6498516320474778,0.6464589423332447,0.2556390977443609,0.6415094339622641,0.6514084507042254,0.3655913978494624,0.4927536231884058,0.218173545737796,0.5915722569889137,34,99,185,19
42,bayes_ei,0.7893038808427573,4,42,0.15506662918883937,0.4408438803464474,0.19090579137407138,0.5955081554539415,0.6768535742758437,0.2891965872331522,0.6083086053412463,0.6141376561254318,0.22758620689655173,0.6226415094339622,0.6056338028169014,0.3333333333333333,0.4621848739495798,0.16785003450650537,0.5955081554539415,33,112,172,20
39,bayes_ei,0.7851278937317129,115,14,0.3036896361517982,0.23194877834356914,0.15496896094235818,0.6714286279850092,0.6859885729471168,0.30181091225972057,0.8160237388724035,0.5915825139516343,0.3783783783783784,0.2641509433962264,0.9190140845070423,0.3111111111111111,0.2811244979919679,0.21329377066910393,0.6714286279850092,14,23,261,39
66,bayes_ei,0.7851244149807809,83,3,0.24174588284507614,0.24800334328584442,0.28536031935305284,0.6147043610226895,0.6964522986978474,0.3030961661929943,0.8427299703264095,0.561387191070954,0.5,0.1509433962264151,0.971830985915493,0.2318840579710145,0.17543859649122806,0.21018046790423592,0.6147043610226895,8,8,276,45
13,bayes_ei,0.782397756737435,48,20,0.30227613332779996,0.23089104608988162,0.19178324552088755,0.5984672238779875,0.6812383736380547,0.29044072278472727,0.6795252225519288,0.5796571884134999,0.22772277227722773,0.4339622641509434,0.7253521126760564,0.2987012987012987,0.3674121405750799,0.12660048969853593,0.5984672238779875,23,78,206,30
