trial,source,objective,rule_index,threshold_group,threshold_other,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC,threshold
20,bayes_ei,0.819408802813388,10,0.27594193593477645,0.1484086547291253,0.6950571352644167,0.28729641508825626,0.5103857566765578,0.6557932500664364,0.22549019607843138,0.8679245283018868,0.44366197183098594,0.357976653696498,0.5528846153846153,0.23207845985717016,0.35
56,bayes_ei,0.8165377430646312,33,0.3429989442090936,0.20852946036731662,0.6870847727876694,0.30770360882847536,0.5756676557863502,0.6715054477810258,0.24431818181818182,0.8113207547169812,0.5316901408450704,0.37554585152838427,0.5541237113402062,0.24999754754492126,0.34
15,bayes_ei,0.8151102460921007,6,0.4904774126135387,0.35580692146831105,0.6850252458145097,0.31220010667227355,0.5727002967359051,0.6697448844007441,0.24293785310734464,0.8113207547169812,0.528169014084507,0.3739130434782609,0.5526992287917738,0.24750112127917584,0.22
46,bayes_ei,0.8137700485946476,2,0.1324320148195449,0.17048592385343742,0.6863539728939677,0.293809781245989,0.5489614243323442,0.6710071751262291,0.23809523809523808,0.8490566037735849,0.49295774647887325,0.371900826446281,0.5610972568578554,0.2508878753139311,0.47
2,initial,0.8131520940134287,31,0.3250046625384594,0.25314890198889617,0.6858889184161574,0.2943422455609025,0.5459940652818991,0.6692466117459475,0.23684210526315788,0.8490566037735849,0.4894366197183099,0.3703703703703703,0.5597014925373135,0.24849154462718992,0.28
60,bayes_ei,0.8127774151448822,17,0.24766712565209562,0.26850906560621957,0.6840951368588892,0.2987005867472386,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.36
23,bayes_ei,0.8110829908997297,25,0.18522820970085452,0.33652264619429406,0.6823013553016211,0.303005027557104,0.5786350148367952,0.6732660111613075,0.24571428571428572,0.8113207547169812,0.5352112676056338,0.3771929824561403,0.5555555555555556,0.252501490622646,0.38
44,bayes_ei,0.8105006909074876,40,0.226633996888376,0.17911881371068958,0.6832314642572416,0.2942889950642319,0.5637982195845698,0.6721365931437683,0.24175824175824176,0.8301886792452831,0.5140845070422535,0.37446808510638296,0.5583756345177665,0.25147728371245875,0.48
7,initial,0.8100185354672497,6,0.3583550021818981,0.19467688961437635,0.6814376826999735,0.3020011134029418,0.5786350148367952,0.6732660111613075,0.24571428571428572,0.8113207547169812,0.5352112676056338,0.3771929824561403,0.5555555555555556,0.252501490622646,0.36
49,bayes_ei,0.8096900383355896,16,0.36226901028967706,0.40849923369981295,0.6825671007175126,0.2909038834076589,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.23
8,initial,0.8077030099284588,30,0.17953829021751183,0.2138529229499907,0.6784480467711933,0.3030025786110033,0.5311572700296736,0.6681171937284082,0.233502538071066,0.8679245283018868,0.46830985915492956,0.368,0.5623471882640587,0.2483945721731777,0.35
28,bayes_ei,0.8062495255946738,36,0.4218557481602494,0.3705884321243359,0.6799760829125697,0.2919731836575201,0.5400593471810089,0.665725484985384,0.234375,0.8490566037735849,0.4823943661971831,0.3673469387755102,0.556930693069307,0.24371473287338627,0.18
38,bayes_ei,0.8048721941964392,25,0.4870113476886272,0.4375472062166183,0.680507573744353,0.2810848733866711,0.5608308605341247,0.6703760297634866,0.24043715846994534,0.8301886792452831,0.5105633802816901,0.37288135593220334,0.5569620253164558,0.24902886486212816,0.18
1,initial,0.804773736521842,8,0.3984639264115095,0.3620852423892995,0.678647355833112,0.28989367456989035,0.5608308605341247,0.6703760297634866,0.24043715846994534,0.8301886792452831,0.5105633802816901,0.37288135593220334,0.5569620253164558,0.24902886486212816,0.23
19,bayes_ei,0.8047556369346057,28,0.3260463798254051,0.34553500145805904,0.678647355833112,0.2898031766337088,0.5608308605341247,0.6703760297634866,0.24043715846994534,0.8301886792452831,0.5105633802816901,0.37288135593220334,0.5569620253164558,0.24902886486212816,0.28
3,initial,0.8047144341186819,6,0.24287744123402666,0.2885682607519893,0.6801089556205155,0.2810537600653781,0.5459940652818991,0.6692466117459475,0.23684210526315788,0.8490566037735849,0.4894366197183099,0.3703703703703703,0.5597014925373135,0.24849154462718992,0.29
5,initial,0.8046231943908603,43,0.4054665827792683,0.40959421158559156,0.6777836832314643,0.2894867511142536,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.23
16,bayes_ei,0.8044331676331742,8,0.21054176591470183,0.18039211531199495,0.6783151740632474,0.2898517389758741,0.5608308605341247,0.6703760297634866,0.24043715846994534,0.8301886792452831,0.5105633802816901,0.37288135593220334,0.5569620253164558,0.24902886486212816,0.43
55,bayes_ei,0.8042671143820438,5,0.22505163743463108,0.279777456901833,0.681105500930109,0.2751265964490385,0.543026706231454,0.6674860483656657,0.2356020942408377,0.8490566037735849,0.4859154929577465,0.3688524590163934,0.5583126550868488,0.24610057306884298,0.31
54,bayes_ei,0.8039288448826253,41,0.4777290655437292,0.4755394577309339,0.6776508105235185,0.28941653937008,0.5459940652818991,0.6692466117459475,0.23684210526315788,0.8490566037735849,0.4894366197183099,0.3703703703703703,0.5597014925373135,0.24849154462718992,0.13
48,bayes_ei,0.8031840193370187,22,0.18716848725233912,0.19392233866493963,0.676720701567898,0.2889352879622373,0.5667655786350149,0.6738971565240499,0.2430939226519337,0.8301886792452831,0.5176056338028169,0.376068376068376,0.5597964376590332,0.2539323282153957,0.46
51,bayes_ei,0.8030243734445036,27,0.34831932484536776,0.47068339370732476,0.6771857560457083,0.2896318444376425,0.5756676557863502,0.6715054477810258,0.24431818181818182,0.8113207547169812,0.5316901408450704,0.37554585152838427,0.5541237113402062,0.24999754754492126,0.27
10,initial,0.802975955806162,31,0.40017069442052233,0.44179498700535774,0.6770528833377624,0.28887713346823846,0.5608308605341247,0.6703760297634866,0.24043715846994534,0.8301886792452831,0.5105633802816901,0.37288135593220334,0.5569620253164558,0.24902886486212816,0.2
