trial,source,objective,xgb,lr,cat,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC,threshold
22,bayes_ei,0.8244217823688229,0.24068629694246998,0.3123316411992448,0.4469820618582852,0.6914695721498805,0.31227016689986564,0.56973293768546,0.683331118788201,0.24725274725274726,0.8490566037735849,0.5176056338028169,0.3829787234042553,0.5710659898477157,0.26783155708395595,0.29
20,bayes_ei,0.8241876100079498,0.4157194219652133,0.20764693030285475,0.376633647731932,0.6914695721498805,0.30976087974037125,0.5727002967359051,0.6850916821684826,0.24861878453038674,0.8490566037735849,0.5211267605633803,0.38461538461538464,0.5725190839694657,0.2702790702609713,0.26
45,bayes_ei,0.8241443065769826,0.4116147787669529,0.1941102258774154,0.39427499535563176,0.6914695721498805,0.30954436258553497,0.5727002967359051,0.6850916821684826,0.24861878453038674,0.8490566037735849,0.5211267605633803,0.38461538461538464,0.5725190839694657,0.2702790702609713,0.26
21,bayes_ei,0.8239347580965302,0.4459408363959346,0.20016829094885424,0.35389087265521113,0.6916024448578262,0.3091706819986736,0.56973293768546,0.683331118788201,0.24725274725274726,0.8490566037735849,0.5176056338028169,0.3829787234042553,0.5710659898477157,0.26783155708395595,0.25
49,bayes_ei,0.823813747954801,0.24880485612497794,0.37416889529422326,0.3770262485807988,0.6910045176720702,0.31155526721880755,0.56973293768546,0.683331118788201,0.24725274725274726,0.8490566037735849,0.5176056338028169,0.3829787234042553,0.5710659898477157,0.26783155708395595,0.28
48,bayes_ei,0.8237432765255898,0.3364496794519848,0.2639327543151499,0.3996175662328653,0.6913366994419347,0.30954200122342923,0.56973293768546,0.683331118788201,0.24725274725274726,0.8490566037735849,0.5176056338028169,0.3829787234042553,0.5710659898477157,0.26783155708395595,0.27
17,bayes_ei,0.8236680322371654,0.4853892549907676,0.15379305083883946,0.3608176941703929,0.6915360085038533,0.306830809116585,0.5727002967359051,0.6850916821684826,0.24861878453038674,0.8490566037735849,0.5211267605633803,0.38461538461538464,0.5725190839694657,0.2702790702609713,0.25
41,bayes_ei,0.8233104596396107,0.2609364029120687,0.36433976829059356,0.3747238287973378,0.6908052086101515,0.3113683134287149,0.5667655786350149,0.6815705554079192,0.2459016393442623,0.8490566037735849,0.5140845070422535,0.3813559322033898,0.569620253164557,0.26539126054521206,0.27
1,initial,0.8230012747761913,0.4929138669032232,0.21787539735478478,0.2892107357419921,0.6909380813180973,0.3078250830956236,0.56973293768546,0.683331118788201,0.24725274725274726,0.8490566037735849,0.5176056338028169,0.3829787234042553,0.5710659898477157,0.26783155708395595,0.24
50,bayes_ei,0.8229570657422878,0.49246119649788844,0.22224055963574008,0.28529824386637154,0.6908716449641243,0.3079362196959706,0.56973293768546,0.683331118788201,0.24725274725274726,0.8490566037735849,0.5176056338028169,0.3829787234042553,0.5710659898477157,0.26783155708395595,0.24
56,bayes_ei,0.8229419107562146,0.5336177872065019,0.17102307306697884,0.2953591397265193,0.6914695721498804,0.3075312979554883,0.5637982195845698,0.6798099920276375,0.24456521739130435,0.8490566037735849,0.5105633802816901,0.37974683544303794,0.5681818181818181,0.26295794394109473,0.23
33,bayes_ei,0.8227543324673956,0.3735942550087541,0.26886249805734513,0.35754324693390077,0.6905394631942599,0.3085834621708323,0.56973293768546,0.683331118788201,0.24725274725274726,0.8490566037735849,0.5176056338028169,0.3829787234042553,0.5710659898477157,0.26783155708395595,0.26
14,bayes_ei,0.8226400359294164,0.5805751860221307,0.20577437987059571,0.21365043410727363,0.6908052086101515,0.3066832524014781,0.56973293768546,0.683331118788201,0.24725274725274726,0.8490566037735849,0.5176056338028169,0.3829787234042553,0.5710659898477157,0.26783155708395595,0.22
54,bayes_ei,0.8225776795000741,0.3700354171836653,0.2794396553660058,0.3505249274503289,0.6904065904863141,0.3083645608739532,0.56973293768546,0.683331118788201,0.24725274725274726,0.8490566037735849,0.5176056338028169,0.3829787234042553,0.5710659898477157,0.26783155708395595,0.26
