trial,source,objective,primary_index,aux_index,threshold_primary_aux,threshold_primary_base,threshold_other,report_threshold,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC,threshold,tp,fp,tn,fn
70,bayes_ei,0.8047043039945573,50,22,0.36177460224600877,0.44481340736869496,0.18872207655272313,0.5767549908457905,0.6841615732128621,0.28941934430635213,0.6231454005934718,0.6536340685623172,0.25,0.6981132075471698,0.6091549295774648,0.3681592039800995,0.5138888888888888,0.22539946063071703,0.5767549908457905,37,111,173,16
76,bayes_ei,0.7992676247590795,110,42,0.39983610577614487,0.24584612773482478,0.2797875140138006,0.6128889834035716,0.7213659314376828,0.31159307698586014,0.8397626112759644,0.5289330321551954,0.4444444444444444,0.07547169811320754,0.9823943661971831,0.12903225806451613,0.0904977375565611,0.13066608337137292,0.6128889834035716,4,5,279,49
11,initial,0.7962594146952446,54,6,0.3923060602558862,0.3041989057448935,0.16099438406359062,0.6210443240656868,0.7034281158650012,0.30087370467965746,0.8249258160237388,0.5738440074408716,0.39285714285714285,0.20754716981132076,0.9401408450704225,0.2716049382716049,0.22916666666666666,0.19479782455290665,0.6210443240656868,11,17,267,42
45,bayes_ei,0.7934681917456058,114,32,0.32128706313365696,0.4465349357683108,0.16757661214012978,0.561463762923004,0.683331118788201,0.2782307664764058,0.7685459940652819,0.6401474887058198,0.3287671232876712,0.4528301886792453,0.8274647887323944,0.38095238095238093,0.4210526315789474,0.24771313008457718,0.561463762923004,24,49,235,29
32,bayes_ei,0.7925166411832719,3,13,0.23558079918697722,0.2985532773942873,0.24400015947303266,0.6888768065950357,0.705554079192134,0.31858179320742036,0.8456973293768546,0.5478009566834973,0.5454545454545454,0.11320754716981132,0.9823943661971831,0.1875,0.13452914798206278,0.19586577102895103,0.6888768065950357,6,5,279,47
25,bayes_ei,0.7879875852698548,31,41,0.24772885096926484,0.38843171387555814,0.1260387835348975,0.6181438531424366,0.6863539728939676,0.31252999420868094,0.7833827893175074,0.5875631145362742,0.3076923076923077,0.3018867924528302,0.8732394366197183,0.3047619047619048,0.30303030303030304,0.1764916646224125,0.6181438531424366,16,36,248,37
61,bayes_ei,0.7878929992193844,14,40,0.2792488387888781,0.14079870626083965,0.15141736585366355,0.6371430953214771,0.6700106298166356,0.28166573724777644,0.6112759643916914,0.6465918150411905,0.24342105263157895,0.6981132075471698,0.5950704225352113,0.36097560975609755,0.5082417582417582,0.21450092258035106,0.6371430953214771,37,115,169,16
84,bayes_ei,0.7843335778593524,83,42,0.17049529173438152,0.12145083367328215,0.12811760106072087,0.6676859128463929,0.6777836832314643,0.28277779688411964,0.6142433234421365,0.5946385862343875,0.21897810218978103,0.5660377358490566,0.6232394366197183,0.3157894736842105,0.4297994269340974,0.1402878511530884,0.6676859128463929,30,107,177,23
16,bayes_ei,0.7791254269433024,15,28,0.4028120109667738,0.26776963592391556,0.23605189682014768,0.5632649982734872,0.6809726282221632,0.281888096714918,0.7863501483679525,0.5969970768004251,0.32075471698113206,0.32075471698113206,0.8732394366197183,0.32075471698113206,0.320754716981132,0.19399415360085037,0.5632649982734872,17,36,248,36
75,bayes_ei,0.7777631506309265,67,4,0.2353693293986332,0.335616214154969,0.3583912962040346,0.5718270009208236,0.6856231730002658,0.31018537283927367,0.8397626112759644,0.5673000265745416,0.47368421052631576,0.16981132075471697,0.9647887323943662,0.25,0.1948051948051948,0.21244767164573314,0.5718270009208236,9,10,274,44
