id,y_true,0,1,2,3,cluster,pca_1,pca_2
797,0,0.2634499967098236,0.33852379237618513,0.29696157482496904,0.07507379566636152,0,1.9745263818929062,0.27453370914109093
617,0,0.14347858726978302,0.07693644813197605,0.11377537816142333,-0.06654213913780697,1,-1.694061449634111,-0.29306258473528324
531,0,0.25955432653427124,0.2724909421866321,0.2653289994953894,0.012936615652360872,0,1.226973251960445,0.6608728275282526
840,0,0.25654336810112,0.3193284475251986,0.2845694968117419,0.06278507942407863,0,1.718156578454874,0.2709537486463453
2,0,0.2571200728416443,0.35320496730829193,0.30001063514530457,0.09608489446664764,0,2.0920516538700036,0.04421539967629998
107,0,0.2571200728416443,0.33918467682427733,0.2937522309145143,0.08206460398263304,0,1.9389243220609702,0.14284456376054214
700,0,0.14101730287075043,0.04106213834155527,0.09639912042824816,-0.09995516452919516,1,-2.1025247502047346,-0.09009334657879205
781,0,0.14347858726978302,0.07587016086188689,0.113299406799063,-0.06760842640789613,1,-1.7057072657316346,-0.28556152602023954
521,0,0.2634499967098236,0.3325691459663662,0.2943035283082752,0.06911914925654261,0,1.9094907025222516,0.31642312637444225
369,0,0.2481546550989151,0.24142640809845559,0.24515127912494789,-0.006728247000459514,0,0.8105757800027903,0.6506152974709621
446,0,0.14101730287075043,0.05146734043467739,0.10104381455039,-0.08954996243607304,1,-1.988880825689033,-0.16329128678854304
110,0,0.14347858726978302,0.06622236046045567,0.10899280310073162,-0.07725622680932735,1,-1.8110789721867677,-0.2176917133419855
205,1,0.2634499967098236,0.3365331068548781,0.2960729687933803,0.07308311014505448,0,1.952784438479096,0.2885376735486027
724,0,0.1392768919467926,0.06617444003769417,0.10664528142325194,-0.07310245190909843,1,-1.8400256388826495,-0.30168158536790385
507,0,0.14347858726978302,0.2718587286687271,0.20078516063186394,0.1283801413989441,0,0.43484798792398394,-1.6642910633929506
772,1,0.2333565056324005,0.20838602655774355,0.22221014065509676,-0.024970479074656965,0,0.34960879211472407,0.5860507686243664
164,1,0.25032296776771545,0.28869624441794456,0.2674521022176104,0.038373276650229105,0,1.3415173104170228,0.36160157316135694
62,0,0.25271478295326233,0.2525193153217726,0.2526275220163584,-0.0001954676314897541,0,0.9625787158813934,0.6641001648119593
382,0,0.1392768919467926,0.06486042251818018,0.10605872775570596,-0.07441646942861242,1,-1.8543771244629883,-0.2924378075952907
750,0,0.2571200728416443,0.3344317365563634,0.29163060429662635,0.07731166371471909,0,1.8870134816755164,0.17628028508893892
156,0,0.23698480427265167,0.3250334281646388,0.2762881235566912,0.08804862389198714,0,1.648157172485627,-0.16171486584315556
220,1,0.2634499967098236,0.34654330173096076,0.30054133883428213,0.08309330502113715,0,2.062114158431096,0.21811850826282797
47,0,0.25876328349113464,0.32471232530943944,0.28820173580108155,0.0659490418183048,0,1.7919754614085601,0.2776326790213806
142,0,0.14347858726978302,0.07156337135436303,0.11137693381565783,-0.07191521591542,1,-1.7527453200930754,-0.2552643613860133
408,0,0.14347858726978302,0.0623378520899745,0.10725882878343213,-0.08114073517980852,1,-1.853504940667224,-0.19036518869575048
293,0,0.14101730287075043,0.0413803796799339,0.09654117760893155,-0.09963692319081652,1,-2.099048970079293,-0.09233209314521457
260,0,0.14347858726978302,0.07422791880381496,0.1125663396307374,-0.06925066846596806,1,-1.7236435663256806,-0.2740087724167179
639,0,0.25032296776771545,0.27649993993946465,0.2620078923679533,0.02617697217174919,0,1.2083112570296446,0.4473994613720817
351,0,0.1392768919467926,0.06955654118925013,0.10815499023991249,-0.06972035075754247,1,-1.8030868803143796,-0.32547380349681115
87,0,0.2571200728416443,0.3302065612497888,0.2897445624172055,0.07308648840814452,0,1.8408668043396326,0.20600331465612
297,0,0.14101730287075043,0.28534998628140024,0.2054447998184523,0.1443326834106498,0,0.5655473836108671,-1.8085959885687228
270,0,0.25654336810112,0.42752123891049126,0.332864803112189,0.17097787080937127,0,2.899820644879934,-0.49015491643009085
508,0,0.14347858726978302,0.06544859517575606,0.10864740826480265,-0.07802999209402696,1,-1.819529910748105,-0.21224847211140316
497,0,0.1392768919467926,0.11737871338011399,0.12950194343650456,-0.02189817856667861,1,-1.2807808954812963,-0.661890575549812
717,1,0.22699563205242157,0.23035342898630806,0.22849448998201038,0.003357796933886492,0,0.5465035923680545,0.30385453308342975
90,0,0.14347858726978302,0.05078593459945491,0.10210226163677863,-0.09269265267032811,1,-1.9796731042026525,-0.1091003984291626
381,0,0.24655646085739136,0.2528095498203267,0.24934772157118684,0.00625308896293536,0,0.9240892764578672,0.5384624429236654
607,1,0.2634499967098236,0.15767064809374903,0.2162320004542081,-0.10577934861607458,0,-0.0007222382992913049,1.546789406191094
79,0,0.1392768919467926,0.04415322904382365,0.09681541090749482,-0.09512366290296895,1,-2.080537722889741,-0.14676798818355669
76,0,0.1392768919467926,0.037314725563198405,0.09376282657165555,-0.1019621663835942,1,-2.155226745399572,-0.09866086211150701
678,0,0.2571200728416443,0.3296678840197466,0.28950410663924786,0.07254781117810233,0,1.834983459266527,0.20979277144168754
761,0,0.1392768919467926,0.05648202426109698,0.10231876222794742,-0.08279486768569562,1,-1.9458846272072001,-0.23349791491595104
233,0,0.1392768919467926,0.07270383952577678,0.10955988732441552,-0.06657305242101583,1,-1.7687125998935265,-0.3476142437686638
555,0,0.2634499967098236,0.3276535077318249,0.2921092762591351,0.06420351102200128,0,1.8558029014134225,0.3510033863602201
171,0,0.1392768919467926,0.043494847953086904,0.09652152148997975,-0.0957820439937057,1,-2.0877284540556174,-0.14213644529917255
30,0,0.1392768919467926,0.042049434293970525,0.0958763149609303,-0.09722745765282208,1,-2.1035150268968272,-0.13196832923074045
200,0,0.25955432653427124,0.28353001477694384,0.27025664194915877,0.0239756882426726,0,1.3475402069267481,0.5832157702020085
633,0,0.1392768919467926,0.0448984397228128,0.09714805948360908,-0.09437845222397981,1,-2.072398653086636,-0.1520103550531413
279,1,0.25876328349113464,0.32239696766239195,0.2871682020015789,0.06363368417125731,0,1.76668750185592,0.2939206289425838
93,1,0.2429811656475067,0.3096746268444324,0.27275191297531487,0.06669346119692571,0,1.520974495074628,0.06667585039446805
125,0,0.22699563205242157,0.19346531077340462,0.2120283008290291,-0.03353032127901695,0,0.14361756630187433,0.5633530269361472
424,0,0.25876328349113464,0.3237909332148229,0.28779044302581847,0.06502764972368824,0,1.781912166845624,0.28411443716964957
337,1,0.24999701976776123,0.2671613516524466,0.25765886230588864,0.017164331884685358,0,1.10411175329804,0.5065523469332115
447,0,0.14347858726978302,0.06401587212028147,0.10800786659181404,-0.07946271514950155,1,-1.8351778788808804,-0.20216963119959797
771,0,0.2571200728416443,0.35390911497392974,0.3003249539345446,0.09678904213228545,0,2.099742240121524,0.03926190062198922
285,0,0.25247472524642944,0.32602393233836335,0.28530576577251615,0.07354920709193391,0,1.7637603280873662,0.1421960673781787
354,1,0.25271478295326233,0.2525193153217726,0.2526275220163584,-0.0001954676314897541,0,0.9625787158813934,0.6641001648119593
438,0,0.1392768919467926,0.06969042075045763,0.10821475165592827,-0.06958647119633497,1,-1.801624669526747,-0.3264156120295884
578,0,0.2634499967098236,0.29229446120741637,0.27632563706725266,0.02884446449759276,0,1.4696171475756192,0.5997452512662631
328,0,0.24871884286403656,0.260544937040695,0.2539978029848575,0.01182609417665842,0,1.023201895091312,0.5274444545351087
492,0,0.14101730287075043,0.054640950041005186,0.10246045651011003,-0.08637635282974523,1,-1.9542191778597975,-0.18561682012600947
255,1,0.2429811656475067,0.3177417058677251,0.276352911224749,0.07476054022021839,0,1.609081819793603,0.009926009043031522
487,0,0.1392768919467926,0.12423350519332765,0.1325617985895712,-0.015043386753464949,1,-1.205913974452763,-0.7101122858831046
721,0,0.14347858726978302,0.0480515201923569,0.10088166847477333,-0.09542706707742613,1,-2.0095379335153196,-0.0898644911889039
819,0,0.1392768919467926,0.06671227846920465,0.10688536277670782,-0.07256461347758796,1,-1.8341514550306488,-0.30546514141995146
696,0,0.23698480427265167,0.3170393839897737,0.2727197267433625,0.08005457971712204,0,1.560847522499678,-0.1054788060041382
451,0,0.24655646085739136,0.2912420408311349,0.2665032908239132,0.04468557997374356,0,1.343842690980174,0.2680996807260474
347,0,0.14347858726978302,0.07260032221353138,0.11183980993449005,-0.07087826505625164,1,-1.7414199115031053,-0.2625590459400047
661,0,0.2571200728416443,0.042312219172627855,0.16123373230775848,-0.21480785366901645,1,-1.3034683644256881,2.2312665098822033
533,1,0.1392768919467926,0.06999628995266646,0.10835128613867345,-0.06928060199412614,1,-1.7982840158598208,-0.32856732377674275
149,0,0.1392768919467926,0.07207360481728149,0.10927856194313793,-0.06720328712951111,1,-1.7755959208514882,-0.3431807034973949
366,0,0.25271478295326233,0.2518561755295943,0.2523315084005417,-0.0008586074236680563,0,0.9553360109525308,0.6687651839460576
833,0,0.1392768919467926,0.07092441689824559,0.10876558522966202,-0.06835247504854701,1,-1.7881471643503142,-0.3350964598820825
459,0,0.1392768919467926,0.04504849235651476,0.09721504026682982,-0.09422839959027784,1,-2.0707598026322964,-0.1530659370218271
433,1,0.2549129128456116,0.25890696455138296,0.2566957862957418,0.003994051705771384,0,1.0472133729364117,0.663280617710567
515,0,0.14347858726978302,0.05901094979338555,0.10577375973781301,-0.08446763747639746,1,-1.8898408263214372,-0.1669612804189118
711,0,0.2571200728416443,0.3405202096719513,0.29434838863562374,0.083400136830307,0,1.9535107945553032,0.13344943114732596
782,0,0.2634499967098236,0.34192604962474016,0.2984802809589733,0.07847605291491655,0,2.0116852820735533,0.25059969801577725
241,0,0.1392768919467926,0.054094105689394975,0.1012528385433446,-0.08518278625739763,1,-1.9719650853745165,-0.21669951741507648
491,0,0.2364388406276703,0.2915770926765765,0.2610515650229476,0.05513825204890621,0,1.2790592268717942,0.06268455777148361
182,0,0.1392768919467926,0.05727326493239455,0.10267195776055554,-0.08200362701439806,1,-1.9372428253163814,-0.23906409102967063
133,0,0.25654336810112,0.4850596107526332,0.358548892195808,0.2285162426515132,0,3.52824538164761,-0.8949226724212478
582,0,0.25678831338882446,0.8091167266169563,0.5033377313853187,0.5523284132281319,2,7.069201437978485,-3.1696657648837654
181,0,0.14101730287075043,0.010625891244849514,0.08281292991268194,-0.1303914116259009,1,-2.4349444895470014,0.12401788117588138
488,0,0.1392768919467926,0.029250776205857042,0.0901632253485279,-0.11002611574093556,1,-2.2432998884161695,-0.041933037161014236
