id,y_true,0,1,2,3,4,5,cluster,pca_1,pca_2
797,0,0.29696157482496904,0.506015954663753,0.07507379566636152,0.0,1.0,0.0,1,1.2658904885847433,-0.9424313925981326
617,0,0.11377537816142333,0.23742111681189138,-0.06654213913780697,0.0,1.0,0.0,0,-1.3616870360894173,0.31916560172186054
531,0,0.2653289994953894,0.46690385331497564,0.012936615652360872,0.0,1.0,0.0,1,0.6528535705009645,-0.660765683661957
840,0,0.2845694968117419,0.4909926778872805,0.06278507942407863,0.0,1.0,0.0,1,1.0859888687696553,-0.8575208443662751
2,0,0.30001063514530457,0.5096554392910116,0.09608489446664764,0.0,1.0,0.0,1,1.39829211243411,-1.000313386277462
107,0,0.2937522309145143,0.5021610647421934,0.08206460398263304,0.0,1.0,0.0,1,1.2693889882925704,-0.9414920539747945
700,0,0.09639912042824816,0.20554082825278974,-0.09995516452919516,0.0,1.0,0.0,0,-1.7317410613819457,0.49229329269235134
781,0,0.113299406799063,0.2365659587361162,-0.06760842640789613,0.0,1.0,0.0,0,-1.3725011611541489,0.3241847872389216
521,0,0.2943035283082752,0.5028250204683655,0.06911914925654261,0.0,1.0,0.0,1,1.211115049860744,-0.9174337997012664
369,0,0.24515127912494789,0.44058995609291696,-0.006728247000459514,0.0,1.0,0.0,1,0.35505373151544495,-0.5196754447163363
446,0,0.10104381455039,0.21419761989030028,-0.08954996243607304,0.0,1.0,0.0,0,-1.625107903251481,0.4427176615492294
110,0,0.10899280310073162,0.2287828157358962,-0.07725622680932735,0.0,1.0,0.0,0,-1.47050946031908,0.3696858669525442
205,1,0.2960729687933803,0.5049510918192017,0.07308311014505448,0.0,1.0,0.0,1,1.2475853289591885,-0.9340781184759586
724,0,0.10664528142325194,0.22450531512732658,-0.07310245190909843,0.0,1.0,0.0,0,-1.4778299600884643,0.3751415601965928
507,0,0.20078516063186394,0.37859393578651984,0.1283801413989441,0.0,1.0,0.0,1,0.5614829951952759,-0.5693712114324685
772,1,0.22221014065509676,0.40927601552682974,-0.024970479074656965,0.0,1.0,0.0,1,0.03173435292046557,-0.36507973598453297
164,1,0.2674521022176104,0.46960889493542796,0.038373276650229105,0.0,1.0,0.0,1,0.798723402340662,-0.7236844272931257
62,0,0.2526275220163584,0.4504695365692021,-0.0001954676314897541,0.0,1.0,0.0,1,0.46215404429166684,-0.5706464725442214
382,0,0.10605872775570596,0.2234326531806053,-0.07441646942861242,0.0,1.0,0.0,0,-1.4912232401767207,0.38136286936096836
750,0,0.29163060429662635,0.4995990053512275,0.07731166371471909,0.0,1.0,0.0,1,1.2256143062138212,-0.921510355395253
156,0,0.2762881235566912,0.4807407011506649,0.08804862389198714,0.0,1.0,0.0,1,1.1294166021961793,-0.8694141487240412
220,1,0.30054133883428213,0.5102866465923294,0.08309330502113715,0.0,1.0,0.0,1,1.3395653486942387,-0.9760461025705068
47,0,0.28820173580108155,0.49543511393568257,0.0659490418183048,0.0,1.0,0.0,1,1.136706898597499,-0.8815801821468723
142,0,0.11137693381565783,0.233101742209636,-0.07191521591542,0.0,1.0,0.0,0,-1.416216078950277,0.34447703126923496
408,0,0.10725882878343213,0.22562567734483738,-0.08114073517980852,0.0,1.0,0.0,0,-1.5100536125309019,0.38805080503598127
293,0,0.09654117760893155,0.20580708821476962,-0.09963692319081652,0.0,1.0,0.0,0,-1.7284744118849027,0.4907741730554924
260,0,0.1125663396307374,0.23524693164706642,-0.06925066846596806,0.0,1.0,0.0,0,-1.389163463221375,0.33191882607237383
639,0,0.2620078923679533,0.4626485321288115,0.02617697217174919,0.0,1.0,0.0,1,0.6850273596352029,-0.6716718191165345
351,0,0.10815499023991249,0.22725905373087038,-0.06972035075754247,0.0,1.0,0.0,0,-1.4433828162323714,0.35914243521022365
87,0,0.2897445624172055,0.4973122297411515,0.07308648840814452,0.0,1.0,0.0,1,1.1866677252205373,-0.9037298038231276
297,0,0.2054447998184523,0.3853901919827462,0.1443326834106498,0.0,1.0,0.0,1,0.6888465660859345,-0.6268656146415289
270,0,0.332864803112189,0.5512238634643376,0.17097787080937127,1.0,0.0,0.0,2,5.9191381570688195,3.2318850344850465
508,0,0.10864740826480265,0.22815501477795833,-0.07802999209402696,0.0,1.0,0.0,0,-1.4783825436150928,0.37334196477970777
497,0,0.12950194343650456,0.26512561213796626,-0.02189817856667861,0.0,1.0,0.0,0,-0.9601020432693114,0.13496683717686034
717,1,0.22849448998201038,0.4180075595914812,0.003357796933886492,0.0,1.0,0.0,1,0.23542900399968195,-0.45584259751796175
90,0,0.10210226163677863,0.21615635911844247,-0.09269265267032811,0.0,1.0,0.0,0,-1.627936926280306,0.44281923345965135
381,0,0.24934772157118684,0.44615452474708894,0.00625308896293536,0.0,1.0,0.0,1,0.4609818897802219,-0.5675331747918826
607,1,0.2162320004542081,0.4008589626427762,-0.10577934861607458,0.0,1.0,0.0,1,-0.42694657064078345,-0.16743988414903677
79,0,0.09681541090749482,0.20632081994808474,-0.09512366290296895,0.0,1.0,0.0,0,-1.7030211879875028,0.47980067105294744
76,0,0.09376282657165555,0.20058232362689057,-0.1019621663835942,0.0,1.0,0.0,0,-1.773276534000129,0.5124766587844892
678,0,0.28950410663924786,0.4970200580349954,0.07254781117810233,0.0,1.0,0.0,1,1.18170012031776,-0.9014617240863992
761,0,0.10231876222794742,0.21655637510095713,-0.08279486768569562,0.0,1.0,0.0,0,-1.5767514864968843,0.4211014056417303
233,0,0.10955988732441552,0.22981240723069318,-0.06657305242101583,0.0,1.0,0.0,0,-1.411359795296224,0.3442716658987755
555,0,0.2921092762591351,0.5001780014037444,0.06420351102200128,0.0,1.0,0.0,1,1.1658516337835785,-0.896773353891013
171,0,0.09652152148997975,0.2057702520976092,-0.0957820439937057,0.0,1.0,0.0,0,-1.7097782978530223,0.4829429185438504
30,0,0.0958763149609303,0.2045601090658978,-0.09722745765282208,0.0,1.0,0.0,0,-1.7246179394101824,0.48984414980563407
200,0,0.27025664194915877,0.4731640386091104,0.0239756882426726,0.0,1.0,0.0,1,0.7556208282403482,-0.7077670817105594
633,0,0.09714805948360908,0.20694350984393436,-0.09437845222397981,0.0,1.0,0.0,0,-1.6953746590120227,0.4762449481548683
279,1,0.2871682020015789,0.49417436489421723,0.06363368417125731,0.0,1.0,0.0,1,1.115337534223415,-0.8718220286364745
93,1,0.27275191297531487,0.4763099379509584,0.06669346119692571,0.0,1.0,0.0,1,0.9899143447256002,-0.8080969563849886
125,0,0.2120283008290291,0.39487431931278194,-0.03353032127901695,0.0,1.0,0.0,1,-0.11582434262921586,-0.2945465206896602
424,0,0.28779044302581847,0.4949337167953417,0.06502764972368824,0.0,1.0,0.0,1,1.1282041194619916,-0.8776975474782386
337,1,0.25765886230588864,0.45703158594706944,0.017164331884685358,0.0,1.0,0.0,1,0.597587880041962,-0.6315197233348689
447,0,0.10800786659181404,0.22699114889120067,-0.07946271514950155,0.0,1.0,0.0,0,-1.492965551479593,0.38011439186721446
771,0,0.3003249539345446,0.5100293638797003,0.09678904213228545,0.0,1.0,0.0,1,1.4047573255988366,-1.0032628741176823
285,0,0.28530576577251615,0.49189581908144425,0.07354920709193391,0.0,1.0,0.0,1,1.1459933191347857,-0.883280877367917
354,1,0.2526275220163584,0.4504695365692021,-0.0001954676314897541,0.0,1.0,0.0,1,0.46215404429166684,-0.5706464725442214
438,0,0.10821475165592827,0.2273678484970728,-0.06958647119633497,0.0,1.0,0.0,0,-1.4420199839009349,0.35850951831028105
578,0,0.27632563706725266,0.4807875326765383,0.02884446449759276,0.0,1.0,0.0,1,0.8390236495018526,-0.7474895136192475
328,0,0.2539978029848575,0.4522635509745561,0.01182609417665842,0.0,1.0,0.0,1,0.534883623653737,-0.6022813424382033
492,0,0.10246045651011003,0.2168180590553268,-0.08637635282974523,0.0,1.0,0.0,0,-1.5926550804772897,0.4276350611895025
255,1,0.276352911224749,0.48082157923160834,0.07476054022021839,0.0,1.0,0.0,1,1.0647903198052835,-0.8423235913264425
487,0,0.1325617985895712,0.27039458270302336,-0.015043386753464949,0.0,1.0,0.0,0,-0.8913916845393786,0.10313749648956021
721,0,0.10088166847477333,0.2138970995333252,-0.09542706707742613,0.0,1.0,0.0,0,-1.6559037920526989,0.4558173538619499
819,0,0.10688536277670782,0.2249439158432046,-0.07256461347758796,0.0,1.0,0.0,0,-1.4723495684215568,0.3725959847513494
696,0,0.2727197267433625,0.4762694619064954,0.08005457971712204,0.0,1.0,0.0,1,1.0552169396477111,-0.835496533495035
451,0,0.2665032908239132,0.4684014821191532,0.04468557997374356,0.0,1.0,0.0,1,0.820368018510467,-0.7320334426647037
347,0,0.11183980993449005,0.2339373222125317,-0.07087826505625164,0.0,1.0,0.0,0,-1.4056854828671992,0.33958838031547983
661,0,0.16123373230775848,0.3014819603087093,-0.21480785366901645,0.0,0.0,1.0,3,0.06649400120116565,8.920678794362102
533,1,0.10835128613867345,0.2276163472539517,-0.06928060199412614,0.0,1.0,0.0,0,-1.438906589608629,0.3570636339846674
149,0,0.10927856194313793,0.22930181612938202,-0.06720328712951111,0.0,1.0,0.0,0,-1.4177697750235556,0.34724812646653175
