id,y_true,0,1,2,cluster,pca_1,pca_2
797,0,0.29696157482496904,0.4697122567665439,1.0,1,1.0497631334471906,0.9387261732284412
617,0,0.11377537816142333,0.2121130895297151,1.0,0,-1.4555564701296695,0.017291516408478792
531,0,0.2653289994953894,0.4309581725012583,1.0,1,0.6446432580686132,0.7811714493500997
840,0,0.2845694968117419,0.45477453192826356,1.0,1,0.8922295581461587,0.8770704723420832
2,0,0.30001063514530457,0.4733408297301714,1.0,1,1.0882992679656456,0.953883761480432
107,0,0.2937522309145143,0.46587310526322384,1.0,1,1.009106022905937,0.9227663822628043
700,0,0.09639912042824816,0.287128186043789,0.0,3,-0.3900470631583802,-2.3022969520512
781,0,0.113299406799063,0.21132382656027296,1.0,0,-1.4626418332644435,0.01486472438997991
521,0,0.2943035283082752,0.46653404394310694,1.0,1,1.0160970329255348,0.9255083322576345
369,0,0.24515127912494789,0.4051305616220666,1.0,1,0.38091082649265545,0.6803695135182238
446,0,0.10104381455039,0.19074590467895852,1.0,0,-1.646306569991492,-0.047691272951616924
110,0,0.10899280310073162,0.20414908525034833,1.0,0,-1.5269110739091039,-0.007102070700557152
205,1,0.2960729687933803,0.4686513117869358,1.0,1,1.038515762507585,0.9343077677334224
724,0,0.10664528142325194,0.2002125888749349,1.0,0,-1.5620668127627424,-0.019083083877827055
507,0,0.20078516063186394,0.3450465117800157,1.0,1,-0.21479418304315379,0.457832927191631
772,1,0.22221014065509676,0.5189122099508493,0.0,2,1.5939830622153723,-1.6545336380406481
164,1,0.2674521022176104,0.4336243554812322,1.0,1,0.6721464620377842,0.7917638582910459
62,0,0.2526275220163584,0.414804605297201,1.0,1,0.4791300962900152,0.7177470234129247
382,0,0.10605872775570596,0.19922617682108482,1.0,0,-1.570864468119815,-0.022077441130406238
750,0,0.29163060429662635,0.4633238818334422,1.0,1,0.9821745197191202,0.9122126562021039
156,0,0.2762881235566912,0.5903877907480231,0.0,2,2.311635489391371,-1.3837623335478701
220,1,0.30054133883428213,0.4739705351667161,1.0,1,1.0949977142264444,0.9565215054943272
47,0,0.28820173580108155,0.459184892489868,1.0,1,0.9385576506723042,0.8951510577906444
142,0,0.11137693381565783,0.2081284781584906,1.0,0,-1.4912958635993538,0.005060752082596908
408,0,0.10725882878343213,0.31205401965387536,0.0,3,-0.19517709150470017,-2.2450452402381282
293,0,0.09654117760893155,0.18306001387633625,1.0,0,-1.7143873020337042,-0.07070819542069898
260,0,0.1125663396307374,0.21010680836186943,1.0,0,-1.4735612425233957,0.011126710850139809
639,0,0.2620078923679533,0.4267681934788325,1.0,1,0.6015279256928241,0.7645967915509652
351,0,0.10815499023991249,0.20274625921308845,1.0,0,-1.5394479080457348,-0.011377438422770636
87,0,0.2897445624172055,0.6063255744477852,0.0,2,2.4813413627430294,-1.3168879840122099
297,0,0.2054447998184523,0.35158127403710215,1.0,1,-0.15115223209960055,0.4812663043179267
270,0,0.332864803112189,0.5113113208927591,1.0,1,1.4981177485480968,1.1169025561886767
508,0,0.10864740826480265,0.20357103849317834,1.0,0,-1.5320781407951525,-0.008864548184579291
497,0,0.12950194343650456,0.2377852607546702,1.0,0,-1.2233974271146542,0.09736470089161356
717,1,0.22849448998201038,0.5278925372822301,0.0,2,1.680617418371548,-1.6228841261596767
90,0,0.10210226163677863,0.19254273599996866,1.0,0,-1.6303502307030495,-0.04228331937993753
