member_id,family,display_name,seed,model_path,tuning_ROC AUC,tuning_AP,tuning_F2,tuning_MCC,tuning_Recall,tuning_threshold,validation_ROC AUC,validation_AP,validation_F2,validation_MCC,validation_Recall,validation_threshold
xgb_member_01,xgb,xgb_auc_seed42_base,42,D:\deep\DF\Cascade learning\test\auto\4411\result_4411\base_models\xgb\xgb_member_01\model.joblib,0.65576003188945,0.22435862920732838,0.5541237113402062,0.24999754754492126,0.8113207547169812,0.18,0.7318376068376069,0.3289003528915971,0.6185567010309279,0.3351313685527426,0.9230769230769231,0.18
xgb_member_02,xgb,xgb_auc_seed52_low_alpha,52,D:\deep\DF\Cascade learning\test\auto\4411\result_4411\base_models\xgb\xgb_member_02\model.joblib,0.6608091947913899,0.21951195131404794,0.5541237113402062,0.24999754754492126,0.8113207547169812,0.15,0.7152777777777778,0.2621964963141434,0.625,0.34476393030979247,0.9230769230769231,0.19
xgb_member_03,xgb,xgb_auc_seed62_high_colsample,62,D:\deep\DF\Cascade learning\test\auto\4411\result_4411\base_models\xgb\xgb_member_03\model.joblib,0.6584507042253521,0.2610568925876323,0.5541237113402062,0.24999754754492126,0.8113207547169812,0.16,0.7067307692307693,0.24576312289458277,0.6521739130434783,0.3852084696008536,0.9230769230769231,0.21
xgb_member_04,xgb,xgb_auc_seed72_strong_reg,72,D:\deep\DF\Cascade learning\test\auto\4411\result_4411\base_models\xgb\xgb_member_04\model.joblib,0.6429710337496678,0.2099268450975832,0.5541237113402062,0.24999754754492126,0.8113207547169812,0.15,0.7222222222222222,0.3348320277214585,0.631578947368421,0.3545717477008509,0.9230769230769231,0.23
xgb_member_05,xgb,xgb_auc_seed82_high_mcw,82,D:\deep\DF\Cascade learning\test\auto\4411\result_4411\base_models\xgb\xgb_member_05\model.joblib,0.6532354504384799,0.2603077342232321,0.5541237113402062,0.24999754754492126,0.8113207547169812,0.15,0.7216880341880342,0.25570586556125074,0.6185567010309279,0.3351313685527426,0.9230769230769231,0.15
lr_member_01,lr,lr_auc_seed42_base,42,D:\deep\DF\Cascade learning\test\auto\4411\result_4411\base_models\lr\lr_member_01\model.joblib,0.6735649747541854,0.2896244263645147,0.5639097744360902,0.2556975288244511,0.8490566037735849,0.09,0.7799145299145299,0.3906693945718306,0.6060606060606061,0.31633311383796653,0.9230769230769231,0.12
lr_member_02,lr,lr_auc_seed52_balanced,52,D:\deep\DF\Cascade learning\test\auto\4411\result_4411\base_models\lr\lr_member_02\model.joblib,0.6830985915492958,0.3005962006524965,0.5569948186528498,0.2550132037740808,0.8113207547169812,0.37,0.7606837606837608,0.38201719575356285,0.6122448979591837,0.32565916668073464,0.9230769230769231,0.36
lr_member_03,lr,lr_auc_seed62_high_c,62,D:\deep\DF\Cascade learning\test\auto\4411\result_4411\base_models\lr\lr_member_03\model.joblib,0.6722694658517141,0.299538205379524,0.5357142857142857,0.20605426257050427,0.8490566037735849,0.08,0.7601495726495727,0.3580644001682821,0.6024096385542168,0.357101662387144,0.7692307692307693,0.23
lr_member_04,lr,lr_auc_seed72_l2_variant,72,D:\deep\DF\Cascade learning\test\auto\4411\result_4411\base_models\lr\lr_member_04\model.joblib,0.6612410310922137,0.3028025859761244,0.5116279069767443,0.1656837222118254,0.8301886792452831,0.11,0.719017094017094,0.3288191161679779,0.5952380952380953,0.3444600665704222,0.7692307692307693,0.21
cat_member_01,cat,cat_seed42_base,42,D:\deep\DF\Cascade learning\test\auto\4411\result_4411\base_models\cat\cat_member_01\model.cbm,0.7050225883603508,0.33613686504829093,0.564102564102564,0.26133963125160825,0.8301886792452831,0.4,0.7216880341880343,0.2933234858172856,0.625,0.34476393030979247,0.9230769230769231,0.51
cat_member_02,cat,cat_seed52_depth4,52,D:\deep\DF\Cascade learning\test\auto\4411\result_4411\base_models\cat\cat_member_02\model.cbm,0.6735649747541854,0.27283334353605665,0.5639097744360902,0.2556975288244511,0.8490566037735849,0.37,0.6442307692307694,0.20826902162805122,0.6185567010309279,0.3351313685527426,0.9230769230769231,0.43
cat_member_03,cat,cat_seed62_lr005,62,D:\deep\DF\Cascade learning\test\auto\4411\result_4411\base_models\cat\cat_member_03\model.cbm,0.6739635928780228,0.25568016054091036,0.5598958333333333,0.2600609640809134,0.8113207547169812,0.46,0.6907051282051282,0.2367194908241819,0.625,0.34476393030979247,0.9230769230769231,0.45
cat_member_04,cat,cat_seed72_strong_reg,72,D:\deep\DF\Cascade learning\test\auto\4411\result_4411\base_models\cat\cat_member_04\model.cbm,0.6964522986978473,0.33024891945342455,0.5569948186528498,0.2550132037740808,0.8113207547169812,0.46,0.6570512820512822,0.2436884119889002,0.6185567010309279,0.3351313685527426,0.9230769230769231,0.45
