trial,source,objective,delta,t_lr,t_mid,t_xgb,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC,threshold
9,initial,0.827792173603298,0.16242972593723345,0.21068106534067996,0.21775285134522598,0.38072470466884567,0.6938612808929046,0.31448115802896387,0.5756676557863502,0.6868522455487642,0.25,0.8490566037735849,0.5246478873239436,0.38626609442060084,0.5739795918367347,0.2727340384185437,0.59
19,bayes_ei,0.827107103051087,0.1754232411511333,0.32198483596943894,0.36446848940815113,0.5588367450745921,0.6930640446452299,0.3177244078344391,0.56973293768546,0.683331118788201,0.24725274725274726,0.8490566037735849,0.5176056338028169,0.3829787234042553,0.5710659898477157,0.26783155708395595,0.41
56,bayes_ei,0.8268257263197534,0.15649575976149327,0.2906814348400772,0.2907626790172461,0.42742030632289785,0.6929976082912571,0.31261762956232375,0.5786350148367952,0.688612808929046,0.25139664804469275,0.8490566037735849,0.528169014084507,0.3879310344827586,0.5754475703324808,0.2751967016556675,0.5
51,bayes_ei,0.8262793728379342,0.03506767715912142,0.33993780338828117,0.3685514676572843,0.37547463330597497,0.692931171937284,0.312911694953275,0.5727002967359051,0.6850916821684826,0.24861878453038674,0.8490566037735849,0.5211267605633803,0.38461538461538464,0.5725190839694657,0.2702790702609713,0.44
7,initial,0.8262673438381108,0.14347633899705445,0.24573161906816146,0.3217471339200667,0.32654350884823957,0.6927318628753654,0.31651946309514606,0.5667655786350149,0.6815705554079192,0.2459016393442623,0.8490566037735849,0.5140845070422535,0.3813559322033898,0.569620253164557,0.26539126054521206,0.46
25,bayes_ei,0.8259666638146492,0.16552400377064677,0.19905757827776596,0.20199532927570593,0.4416324284873474,0.6927982992293382,0.3133509387317086,0.56973293768546,0.683331118788201,0.24725274725274726,0.8490566037735849,0.5176056338028169,0.3829787234042553,0.5710659898477157,0.26783155708395595,0.61
39,bayes_ei,0.8255012439596513,0.04265574009110441,0.2449460546942826,0.3248031706865451,0.3346327060251135,0.6938612808929047,0.3136273669313342,0.5519287833827893,0.6727677385065107,0.2393617021276596,0.8490566037735849,0.4964788732394366,0.3734439834024897,0.5625,0.25328979360959564,0.48
54,bayes_ei,0.8252884966899977,0.101874796288431,0.1982897358272073,0.3022281059466234,0.30517120156835453,0.692333244751528,0.3122853754975022,0.56973293768546,0.683331118788201,0.24725274725274726,0.8490566037735849,0.5176056338028169,0.3829787234042553,0.5710659898477157,0.26783155708395595,0.51
1,initial,0.8248532791961259,0.14037934832200386,0.24574342958941692,0.3298569787989277,0.36391078024483814,0.6914695721498804,0.31442765103638115,0.56973293768546,0.683331118788201,0.24725274725274726,0.8490566037735849,0.5176056338028169,0.3829787234042553,0.5710659898477157,0.26783155708395595,0.45
35,bayes_ei,0.8246337961261219,0.04728445377910902,0.3694478988097061,0.3835337954804576,0.41022709921681066,0.6916024448578262,0.31266587214663205,0.56973293768546,0.683331118788201,0.24725274725274726,0.8490566037735849,0.5176056338028169,0.3829787234042553,0.5710659898477157,0.26783155708395595,0.4
