representation,clusters,silhouette,feature_dimension,normalized_mean_within_cluster_distance,normalized_mean_between_cluster_distance
base_learner_probabilities,2,0.7102426477411713,13,0.373407517754253,1.7920363182297065
upstream_fusion,3,0.7757361391365856,4,0.23852913641581955,3.2240273166545053
regional_adjustment_candidate_rejected,4,0.8012066505073824,6,0.16418651220796326,3.6618398469852376
clinical_error_structure,6,0.19965987454814027,24,0.70015115514074,1.4541579304144612
error_pattern_correction_terminal,5,0.8391973892745385,3,0.13394640563704566,2.034446917518053
local_adjustment_candidate_rejected,5,0.8133820506734742,4,0.12027226905561204,1.6724615786297712
