trial,source,objective,delta,t_lr,t_mid,t_xgb,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC,threshold
44,bayes_ei,0.8041759020318202,0.023773341853725986,0.28629982693042594,0.29405595354020075,0.3332496793692841,0.678049428647356,0.28865873449686696,0.5459940652818991,0.6692466117459475,0.23684210526315788,0.8490566037735849,0.4894366197183099,0.3703703703703703,0.5597014925373135,0.24849154462718992,0.21
25,bayes_ei,0.8040392309501225,0.16552400377064677,0.19905757827776596,0.20199532927570593,0.4416324284873474,0.677318628753654,0.28772374155818503,0.5548961424332344,0.6745283018867925,0.24064171122994651,0.8490566037735849,0.5,0.37499999999999994,0.5639097744360902,0.2556975288244511,0.34
5,initial,0.8037713246833322,0.025855835241088594,0.2903716920886744,0.4037074848052955,0.5565153652491452,0.6787802285410577,0.28939627151893144,0.5311572700296736,0.660443794844539,0.23076923076923078,0.8490566037735849,0.47183098591549294,0.36290322580645157,0.5528255528255529,0.23658573111865971,0.09
9,initial,0.8036593515593681,0.16242972593723345,0.21068106534067996,0.21775285134522598,0.38072470466884567,0.6769864469837895,0.28748525345373527,0.5548961424332344,0.6745283018867925,0.24064171122994651,0.8490566037735849,0.5,0.37499999999999994,0.5639097744360902,0.2556975288244511,0.32
56,bayes_ei,0.8035956877324525,0.15649575976149327,0.2906814348400772,0.2907626790172461,0.42742030632289785,0.6771193196917353,0.28780939180118714,0.5519287833827893,0.6727677385065107,0.2393617021276596,0.8490566037735849,0.4964788732394366,0.3734439834024897,0.5625,0.25328979360959564,0.24
42,bayes_ei,0.8033349138588431,0.025654870968832472,0.15933882501625424,0.20940053059614339,0.3258666536810202,0.6774515014615998,0.2887355911755812,0.543026706231454,0.6674860483656657,0.2356020942408377,0.8490566037735849,0.4859154929577465,0.3688524590163934,0.5583126550868488,0.24610057306884298,0.21
60,bayes_ei,0.8029653681054546,0.02362195551277406,0.2740950924317498,0.38671932099741946,0.577924774029221,0.6783151740632475,0.28903151452380843,0.5459940652818991,0.6615732128620782,0.23404255319148937,0.8301886792452831,0.49295774647887325,0.36514522821576767,0.55,0.2368778227489085,0.1
51,bayes_ei,0.802121489684358,0.03506767715912142,0.33993780338828117,0.3685514676572843,0.37547463330597497,0.676122774382142,0.288019944085626,0.5459940652818991,0.6692466117459475,0.23684210526315788,0.8490566037735849,0.4894366197183099,0.3703703703703703,0.5597014925373135,0.24849154462718992,0.18
28,bayes_ei,0.8015637432655359,0.026527788649715466,0.1336470784345637,0.2422429808619504,0.4881088599836453,0.6758570289662504,0.2878521006857922,0.543026706231454,0.6674860483656657,0.2356020942408377,0.8490566037735849,0.4859154929577465,0.3688524590163934,0.5583126550868488,0.24610057306884298,0.12
12,initial,0.8014887552834437,0.04253889386145158,0.3413531251488192,0.34202561223508515,0.3823683696833612,0.6755912835503588,0.287430220478426,0.5637982195845698,0.6721365931437683,0.24175824175824176,0.8301886792452831,0.5140845070422535,0.37446808510638296,0.5583756345177665,0.25147728371245875,0.24
