threshold,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC
0.4,0.7050225883603508,0.33613686504829093,0.5756676557863502,0.679178846664895,0.24719101123595505,0.8301886792452831,0.528169014084507,0.380952380952381,0.564102564102564,0.26133963125160825
0.41,0.7050225883603508,0.33613686504829093,0.5756676557863502,0.679178846664895,0.24719101123595505,0.8301886792452831,0.528169014084507,0.380952380952381,0.564102564102564,0.26133963125160825
0.39,0.7050225883603508,0.33613686504829093,0.5578635014836796,0.6686154663832049,0.2391304347826087,0.8301886792452831,0.5070422535211268,0.3713080168776372,0.5555555555555556,0.24658683233788967
0.43,0.7050225883603508,0.33613686504829093,0.5756676557863502,0.6715054477810258,0.24431818181818182,0.8113207547169812,0.5316901408450704,0.37554585152838427,0.5541237113402062,0.24999754754492126
0.44,0.7050225883603508,0.33613686504829093,0.5756676557863502,0.6715054477810258,0.24431818181818182,0.8113207547169812,0.5316901408450704,0.37554585152838427,0.5541237113402062,0.24999754754492126
0.45,0.7050225883603508,0.33613686504829093,0.5756676557863502,0.6715054477810258,0.24431818181818182,0.8113207547169812,0.5316901408450704,0.37554585152838427,0.5541237113402062,0.24999754754492126
0.46,0.7050225883603508,0.33613686504829093,0.5756676557863502,0.6715054477810258,0.24431818181818182,0.8113207547169812,0.5316901408450704,0.37554585152838427,0.5541237113402062,0.24999754754492126
0.47,0.7050225883603508,0.33613686504829093,0.5756676557863502,0.6715054477810258,0.24431818181818182,0.8113207547169812,0.5316901408450704,0.37554585152838427,0.5541237113402062,0.24999754754492126
0.48,0.7050225883603508,0.33613686504829093,0.5756676557863502,0.6715054477810258,0.24431818181818182,0.8113207547169812,0.5316901408450704,0.37554585152838427,0.5541237113402062,0.24999754754492126
0.49,0.7050225883603508,0.33613686504829093,0.5756676557863502,0.6715054477810258,0.24431818181818182,0.8113207547169812,0.5316901408450704,0.37554585152838427,0.5541237113402062,0.24999754754492126
0.42,0.7050225883603508,0.33613686504829093,0.5727002967359051,0.6697448844007441,0.24293785310734464,0.8113207547169812,0.528169014084507,0.3739130434782609,0.5526992287917738,0.24750112127917584
0.38,0.7050225883603508,0.33613686504829093,0.5370919881305638,0.6562915227212331,0.23036649214659685,0.8301886792452831,0.4823943661971831,0.360655737704918,0.5459057071960297,0.22965156610252008
0.5,0.7050225883603508,0.33613686504829093,0.5756676557863502,0.6638320488971565,0.2413793103448276,0.7924528301886793,0.5352112676056338,0.3700440528634361,0.5440414507772021,0.2387028128703296
0.37,0.7050225883603508,0.33613686504829093,0.4896142433234421,0.6434693064044645,0.21800947867298578,0.8679245283018868,0.41901408450704225,0.3484848484848485,0.5437352245862884,0.21590345838981792
0.51,0.7050225883603508,0.33613686504829093,0.5727002967359051,0.6467246877491364,0.23391812865497075,0.7547169811320755,0.5387323943661971,0.35714285714285715,0.5221932114882506,0.21368704589165438
0.32,0.7050225883603508,0.33613686504829093,0.32047477744807124,0.5814841881477545,0.18345323741007194,0.9622641509433962,0.2007042253521127,0.30815709969788524,0.5204081632653061,0.15611766231930044
0.34,0.7050225883603508,0.33613686504829093,0.34124629080118696,0.586134732925857,0.18587360594795538,0.9433962264150944,0.22887323943661972,0.31055900621118016,0.5197505197505198,0.1562697133776353
