dataset,old_ROC AUC,new_ROC AUC,delta_ROC AUC,old_AP,new_AP,delta_AP,old_Recall,new_Recall,delta_Recall,old_Specificity,new_Specificity,delta_Specificity,old_F2,new_F2,delta_F2,old_MCC,new_MCC,delta_MCC
validation,0.8317307692307693,0.7473290598290598,-0.08440170940170943,0.4840589415083342,0.35362027810243696,-0.13043866340589721,0.9230769230769231,0.9230769230769231,0.0,0.5694444444444444,0.5,-0.06944444444444442,0.631578947368421,0.6000000000000001,-0.03157894736842093,0.3545717477008509,0.3071395763081003,-0.04743217139275063
test,0.7724358974358975,0.7761752136752137,0.003739316239316226,0.41091264853410603,0.33232828958400956,-0.07858435895009647,0.9230769230769231,0.9230769230769231,0.0,0.5277777777777778,0.5,-0.02777777777777779,0.6122448979591837,0.6000000000000001,-0.012244897959183598,0.32565916668073464,0.3071395763081003,-0.018519590372634342
external,0.7105263157894738,0.7105263157894737,-1.1102230246251565e-16,0.25757575757575757,0.3333333333333333,0.07575757575757575,0.5,0.5,0.0,0.6842105263157895,0.6842105263157895,0.0,0.3333333333333333,0.3333333333333333,0.0,0.11470786693528089,0.11470786693528089,0.0
