trial,source,objective,delta,t_lr,t_mid,t_xgb,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC,threshold
25,bayes_ei,0.8060610237813383,0.16552400377064677,0.19905757827776596,0.20199532927570593,0.4416324284873474,0.6789795376029764,0.2895281614676522,0.5548961424332344,0.6745283018867925,0.24064171122994651,0.8490566037735849,0.5,0.37499999999999994,0.5639097744360902,0.2556975288244511,0.35
56,bayes_ei,0.8059132164045284,0.15649575976149327,0.2906814348400772,0.2907626790172461,0.42742030632289785,0.6787802285410578,0.28961920134032626,0.5727002967359051,0.6774182832846134,0.24581005586592178,0.8301886792452831,0.5246478873239436,0.3793103448275862,0.5626598465473146,0.2588632588134766,0.33
60,bayes_ei,0.8057376295300117,0.02362195551277406,0.2740950924317498,0.38671932099741946,0.577924774029221,0.679245283018868,0.2904881001302646,0.5459940652818991,0.6692466117459475,0.23684210526315788,0.8490566037735849,0.4894366197183099,0.3703703703703703,0.5597014925373135,0.24849154462718992,0.09
9,initial,0.8056610392393873,0.16242972593723345,0.21068106534067996,0.21775285134522598,0.38072470466884567,0.678580919479139,0.2893548608242146,0.5727002967359051,0.6774182832846134,0.24581005586592178,0.8301886792452831,0.5246478873239436,0.3793103448275862,0.5626598465473146,0.2588632588134766,0.42
44,bayes_ei,0.805338289931475,0.023773341853725986,0.28629982693042594,0.29405595354020075,0.3332496793692841,0.6789131012490035,0.29006880522536044,0.5637982195845698,0.6721365931437683,0.24175824175824176,0.8301886792452831,0.5140845070422535,0.37446808510638296,0.5583756345177665,0.25147728371245875,0.29
42,bayes_ei,0.8053291316969687,0.025654870968832472,0.15933882501625424,0.20940053059614339,0.3258666536810202,0.6788466648950306,0.29043870158423657,0.5459940652818991,0.6692466117459475,0.23684210526315788,0.8490566037735849,0.4894366197183099,0.3703703703703703,0.5597014925373135,0.24849154462718992,0.22
5,initial,0.8050262284688492,0.025855835241088594,0.2903716920886744,0.4037074848052955,0.5565153652491452,0.6795110284347596,0.29076384675944567,0.5519287833827893,0.6650943396226415,0.23655913978494625,0.8301886792452831,0.5,0.3682008368200837,0.5527638190954774,0.24172097545305168,0.14
57,bayes_ei,0.8034336017306131,0.13888295463488579,0.2688085428274165,0.2704172558144642,0.31479174088781225,0.6771857560457082,0.2891820902375266,0.5637982195845698,0.6721365931437683,0.24175824175824176,0.8301886792452831,0.5140845070422535,0.37446808510638296,0.5583756345177665,0.25147728371245875,0.31
51,bayes_ei,0.803384608711458,0.03506767715912142,0.33993780338828117,0.3685514676572843,0.37547463330597497,0.6773186287536541,0.28964842897838394,0.543026706231454,0.6674860483656657,0.2356020942408377,0.8490566037735849,0.4859154929577465,0.3688524590163934,0.5583126550868488,0.24610057306884298,0.18
12,initial,0.8033500564757224,0.04253889386145158,0.3413531251488192,0.34202561223508515,0.3823683696833612,0.6771193196917354,0.289180051494481,0.5459940652818991,0.6692466117459475,0.23684210526315788,0.8490566037735849,0.4894366197183099,0.3703703703703703,0.5597014925373135,0.24849154462718992,0.18
48,bayes_ei,0.8030062961205678,0.03870975738596801,0.26884111002410244,0.3060942459017008,0.3566504036436393,0.6767207015678981,0.28937083457635054,0.5637982195845698,0.6721365931437683,0.24175824175824176,0.8301886792452831,0.5140845070422535,0.37446808510638296,0.5583756345177665,0.25147728371245875,0.27
35,bayes_ei,0.8028148919702985,0.04728445377910902,0.3694478988097061,0.3835337954804576,0.41022709921681066,0.6766542652139251,0.28882950135641305,0.5459940652818991,0.6692466117459475,0.23684210526315788,0.8490566037735849,0.4894366197183099,0.3703703703703703,0.5597014925373135,0.24849154462718992,0.17
28,bayes_ei,0.8025347244553631,0.026527788649715466,0.1336470784345637,0.2422429808619504,0.4881088599836453,0.676787137921871,0.28934390291446066,0.5400593471810089,0.665725484985384,0.234375,0.8490566037735849,0.4823943661971831,0.3673469387755102,0.556930693069307,0.24371473287338627,0.12
15,bayes_ei,0.8022310835362876,0.030541417274867692,0.16522463905673884,0.1876676170716745,0.41359496932640194,0.6760563380281691,0.28890009511513814,0.5459940652818991,0.6692466117459475,0.23684210526315788,0.8490566037735849,0.4894366197183099,0.3703703703703703,0.5597014925373135,0.24849154462718992,0.16
19,bayes_ei,0.802139014600584,0.1754232411511333,0.32198483596943894,0.36446848940815113,0.5588367450745921,0.6759899016741961,0.2874749673745285,0.5489614243323442,0.6710071751262291,0.23809523809523808,0.8490566037735849,0.49295774647887325,0.371900826446281,0.5610972568578554,0.2508878753139311,0.19
20,bayes_ei,0.8020840093647305,0.049717387698799236,0.375503940289943,0.3785339913835623,0.5279794290943144,0.675989901674196,0.2884969060272181,0.5459940652818991,0.6692466117459475,0.23684210526315788,0.8490566037735849,0.4894366197183099,0.3703703703703703,0.5597014925373135,0.24849154462718992,0.11
24,bayes_ei,0.8020717518321906,0.0792966687996974,0.18642236858191305,0.35730801652594957,0.39517894106180307,0.674860483656657,0.29399920269067,0.5637982195845698,0.6721365931437683,0.24175824175824176,0.8301886792452831,0.5140845070422535,0.37446808510638296,0.5583756345177665,0.25147728371245875,0.24
39,bayes_ei,0.8017959917294157,0.04265574009110441,0.2449460546942826,0.3248031706865451,0.3346327060251135,0.6753919744884401,0.288638785321512,0.5667655786350149,0.6738971565240499,0.2430939226519337,0.8301886792452831,0.5176056338028169,0.376068376068376,0.5597964376590332,0.2539323282153957,0.29
