trial,source,objective,primary_index,aux_index,threshold_primary_aux,threshold_primary_base,threshold_other,report_threshold,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC,threshold,tp,fp,tn,fn
25,bayes_ei,0.8369490841813746,27,37,0.24772885096926484,0.38843171387555814,0.1260387835348975,0.6181438531424366,0.7074807334573479,0.31161680894977073,0.5845697329376854,0.6691137390380016,0.24561403508771928,0.7924528301886793,0.545774647887324,0.375,0.5483028720626631,0.24629403455612686,0.6181438531424366,42,129,155,11
63,bayes_ei,0.8355009146836463,44,12,0.16707954655909474,0.2243622899710738,0.19974829227861549,0.6576520678344998,0.7045575338825405,0.31381375357209,0.5786350148367952,0.6732660111613075,0.24571428571428572,0.8113207547169812,0.5352112676056338,0.37719298245614036,0.5555555555555556,0.252501490622646,0.6576520678344998,43,132,152,10
14,bayes_ei,0.8248080085374498,21,7,0.25510048393343576,0.20522705989634726,0.19603491191726063,0.5793333605737859,0.6969837895296306,0.31360066078409,0.5074183976261127,0.6463592878022855,0.22167487684729065,0.8490566037735849,0.44366197183098594,0.3515625,0.5421686746987951,0.2177443876224328,0.5793333605737859,45,158,126,8
4,initial,0.8211633879603041,19,5,0.24216197462218492,0.3211982381493983,0.12734418179004847,0.6607215750741148,0.6951900079723624,0.3135974764096887,0.42729970326409494,0.6218442731862875,0.2033898305084746,0.9056603773584906,0.3380281690140845,0.33217993079584773,0.5357142857142857,0.19364912269150533,0.6607215750741148,48,188,96,5
47,bayes_ei,0.8197341273510816,13,30,0.23826230686929029,0.4179120115927621,0.1398314976478629,0.6476965796255446,0.6916688812117991,0.3138930682606105,0.5459940652818991,0.6538998139782088,0.23118279569892472,0.8113207547169812,0.4964788732394366,0.3598326359832636,0.5402010050251256,0.22533063969295544,0.6476965796255446,43,143,141,10
36,bayes_ei,0.818703413754823,10,26,0.27549345615384846,0.1914693972275212,0.1971581701002438,0.6744555519803046,0.6934626627690672,0.3224509862127072,0.5845697329376854,0.6384201435025245,0.2331288343558282,0.7169811320754716,0.5598591549295775,0.35185185185185186,0.5066666666666667,0.20167774153095366,0.6744555519803046,38,125,159,15
1,initial,0.817946847728599,21,12,0.23792115266476965,0.20845920771027848,0.2390306330475005,0.5840155122881269,0.688612808929046,0.3111016786238698,0.5667655786350149,0.6662237576401807,0.24022346368715083,0.8113207547169812,0.5211267605633803,0.3706896551724138,0.5498721227621484,0.24252981597128573,0.5840155122881269,43,136,148,10
84,bayes_ei,0.8164009310788387,72,37,0.17049529173438152,0.12145083367328215,0.12811760106072087,0.6676859128463929,0.6935290991230401,0.3200019047281913,0.35014836795252224,0.5837430241828329,0.1856060606060606,0.9245283018867925,0.24295774647887325,0.30914826498422715,0.5147058823529411,0.14801725549732617,0.6676859128463929,49,215,69,4
3,initial,0.8163873675768973,39,4,0.2512969842910451,0.1498682156583375,0.1891631411755764,0.6714623744192344,0.6906723359022057,0.30348386560269325,0.5608308605341247,0.655029231995748,0.2346368715083799,0.7924528301886793,0.5176056338028169,0.3620689655172414,0.537084398976982,0.22619637312909482,0.6714623744192344,42,137,147,11
64,bayes_ei,0.8158614750249221,22,31,0.12860654463184745,0.39997654662283555,0.14844420558957586,0.5824278658844032,0.6950571352644167,0.3129788125384867,0.32047477744807124,0.5738107892638852,0.18115942028985507,0.9433962264150944,0.20422535211267606,0.303951367781155,0.5122950819672132,0.13958138112173452,0.5824278658844032,50,226,58,3
82,bayes_ei,0.8154251758943304,27,1,0.2652401545347959,0.17160323735361635,0.21756737903124362,0.5657893886146709,0.6934626627690672,0.2807939889779983,0.5519287833827893,0.6574209407387723,0.23369565217391305,0.8113207547169812,0.5035211267605634,0.3628691983122363,0.5429292929292929,0.23021572073468463,0.5657893886146709,43,141,143,10
24,bayes_ei,0.8147280475125711,16,27,0.36229861911562555,0.33590757342105537,0.17467681289249465,0.6587088109636979,0.6854238639383471,0.31095240249722456,0.5667655786350149,0.6662237576401807,0.24022346368715083,0.8113207547169812,0.5211267605633803,0.3706896551724138,0.5498721227621484,0.24252981597128573,0.6587088109636979,43,136,148,10
42,bayes_ei,0.8143495271272886,14,11,0.3129123210953392,0.17238938034241635,0.12350729940870851,0.6404925157146242,0.6876826999734255,0.31184274234514264,0.4599406528189911,0.6335370714855169,0.21076233183856502,0.8867924528301887,0.38028169014084506,0.34057971014492755,0.5402298850574713,0.2055058035817496,0.6404925157146242,47,176,108,6
38,bayes_ei,0.8138959853538529,15,9,0.30535667126586274,0.3981405221113489,0.13063545939965715,0.6362550279234271,0.688612808929046,0.3119041679170942,0.4807121661721068,0.6305142173797502,0.21226415094339623,0.8490566037735849,0.4119718309859155,0.33962264150943394,0.5306603773584906,0.19672610211077995,0.6362550279234271,45,167,117,8
32,bayes_ei,0.8133434061982279,2,11,0.23558079918697722,0.2985532773942873,0.24400015947303266,0.6888768065950357,0.7070156789795377,0.34208781343945754,0.8100890207715133,0.5880613871910709,0.358974358974359,0.2641509433962264,0.9119718309859155,0.30434782608695654,0.27888446215139445,0.20043436631318565,0.6888768065950357,14,25,259,39
76,bayes_ei,0.8112815020741339,96,37,0.39983610577614487,0.24584612773482478,0.2797875140138006,0.6128889834035716,0.6971166622375763,0.31697043894566057,0.6617210682492581,0.607460802551156,0.23931623931623933,0.5283018867924528,0.6866197183098591,0.32941176470588235,0.425531914893617,0.1643512111612747,0.6128889834035716,28,89,195,25
58,bayes_ei,0.8097619564747663,100,8,0.4257203309070924,0.32939540874986944,0.15369296057512402,0.6741974165273694,0.679843210204624,0.310032488794378,0.5756676557863502,0.6715054477810258,0.24431818181818182,0.8113207547169812,0.5316901408450704,0.37554585152838427,0.5541237113402062,0.24999754754492126,0.6741974165273694,43,133,151,10
22,bayes_ei,0.8063819384218704,5,5,0.42621430639934593,0.29174392834362195,0.1622487298932069,0.6177401986726176,0.6958543715120914,0.30872602799006665,0.6795252225519288,0.6026773850651077,0.24299065420560748,0.49056603773584906,0.7147887323943662,0.325,0.4075235109717868,0.16060020429174174,0.6177401986726176,26,81,203,27
41,bayes_ei,0.8058009626413369,18,13,0.3669518998864444,0.33650068344129624,0.3064667412558577,0.5910830619229919,0.6921339356896095,0.3124258939925852,0.6468842729970327,0.6063313845336168,0.23387096774193547,0.5471698113207547,0.6654929577464789,0.327683615819209,0.431547619047619,0.1605417249689718,0.5910830619229919,29,95,189,24
83,bayes_ei,0.804683063952128,8,7,0.3077622077836101,0.3838136782487519,0.2868319930800207,0.6104288572224876,0.6907387722561785,0.3193676322180957,0.6735905044510386,0.6068296571884135,0.24324324324324326,0.5094339622641509,0.704225352112676,0.32926829268292684,0.4179566563467492,0.16550199235310864,0.6104288572224876,27,84,200,26
9,initial,0.8037832653675022,26,21,0.3618504727981898,0.4450508400738355,0.195923885318779,0.598495403479399,0.6959208078660644,0.31517820491788023,0.7566765578635015,0.6024116396492161,0.2898550724637681,0.37735849056603776,0.8274647887323944,0.32786885245901637,0.35587188612099646,0.18479255811524276,0.598495403479399,20,49,235,33
27,bayes_ei,0.8033453197880223,14,5,0.3253938672438541,0.3975323072848265,0.27294967389009994,0.6362227674650982,0.6898750996545309,0.3120908875335896,0.6646884272997032,0.6092213659314376,0.2413793103448276,0.5283018867924528,0.6901408450704225,0.33136094674556216,0.42682926829268286,0.16738231595010275,0.6362227674650982,28,88,196,25
80,bayes_ei,0.8011940552357174,29,14,0.2831935393334149,0.2654796545457811,0.22790976669936805,0.6981193996882086,0.6935290991230402,0.3312591166722714,0.8011869436201781,0.5981264948179644,0.34782608695652173,0.3018867924528302,0.8943661971830986,0.32323232323232326,0.31007751937984496,0.2081076168047676,0.6981193996882086,16,30,254,37
57,bayes_ei,0.8011893588898347,48,13,0.13871036663741634,0.39724902697108594,0.23988119050340023,0.638883685507714,0.6800425192665427,0.3038249579588693,0.5252225519287834,0.6262290725484986,0.21693121693121692,0.7735849056603774,0.4788732394366197,0.33884297520661155,0.5112219451371571,0.1851930703560486,0.638883685507714,41,148,136,12
