trial,source,objective,rule_index,threshold_group,threshold_other,ROC AUC,AP,Accuracy,Balanced Acc,Precision,Recall,Specificity,F1,F2,MCC,threshold
27,bayes_ei,0.8273178241877319,0,0.3228927810673956,0.2094046412245567,0.6973159712994951,0.30150110655736406,0.5608308605341247,0.6780494286473558,0.24324324324324326,0.8490566037735849,0.5070422535211268,0.3781512605042017,0.5667506297229219,0.2605313720894361,0.3
29,bayes_ei,0.826445773843531,29,0.32035892696431856,0.45882745060727925,0.6972495349455222,0.30140874608764506,0.5519287833827893,0.6727677385065107,0.2393617021276596,0.8490566037735849,0.4964788732394366,0.3734439834024897,0.5625,0.25328979360959564,0.19
35,bayes_ei,0.8233297719107205,10,0.39962990635498563,0.2895875059478086,0.6953228806803083,0.29420596072461946,0.5370919881305638,0.6716383204889715,0.2358974358974359,0.8679245283018868,0.4753521126760563,0.3709677419354839,0.5651105651105651,0.2530928514886366,0.22
2,initial,0.8222678543487054,39,0.4469144597979524,0.37457930355466706,0.693595535477013,0.2974823249343046,0.5548961424332344,0.6745283018867925,0.24064171122994651,0.8490566037735849,0.5,0.37499999999999994,0.5639097744360902,0.2556975288244511,0.18
20,bayes_ei,0.8219703290150104,14,0.23711371947220997,0.2940379218244229,0.6933297900611214,0.29732342534528805,0.5548961424332344,0.6745283018867925,0.24064171122994651,0.8490566037735849,0.5,0.37499999999999994,0.5639097744360902,0.2556975288244511,0.3
39,bayes_ei,0.819019996109467,4,0.38209938079035677,0.4931625263706291,0.6888785543449376,0.30865007063564887,0.5637982195845698,0.6721365931437683,0.24175824175824176,0.8301886792452831,0.5140845070422535,0.37446808510638296,0.5583756345177665,0.25147728371245875,0.18
43,bayes_ei,0.8132384280566495,20,0.2855254503160047,0.3251799886369514,0.6861214456550624,0.2897056425837778,0.5548961424332344,0.6745283018867925,0.24064171122994651,0.8490566037735849,0.5,0.37499999999999994,0.5639097744360902,0.2556975288244511,0.25
53,bayes_ei,0.8120191747991459,11,0.31310974897611266,0.23353663638008107,0.6814376826999734,0.3095261596124964,0.5667655786350149,0.6738971565240499,0.2430939226519337,0.8301886792452831,0.5176056338028169,0.376068376068376,0.5597964376590332,0.2539323282153957,0.31
40,bayes_ei,0.8116593431730071,36,0.3455311892072239,0.4553481596131481,0.6817698644698379,0.3100229076535959,0.5578635014836796,0.6686154663832049,0.2391304347826087,0.8301886792452831,0.5070422535211268,0.3713080168776372,0.5555555555555556,0.24658683233788967,0.19
50,bayes_ei,0.8106168134998045,31,0.4659129560194173,0.35174155333138746,0.6856896093542386,0.28652479373119705,0.5370919881305638,0.6639649216051023,0.23316062176165803,0.8490566037735849,0.4788732394366197,0.3658536585365854,0.5555555555555556,0.2413337968754173,0.19
59,bayes_ei,0.8099118105805717,40,0.19367895763025494,0.1573626183506771,0.6825671007175127,0.29334224843192924,0.5667655786350149,0.6738971565240499,0.2430939226519337,0.8301886792452831,0.5176056338028169,0.376068376068376,0.5597964376590332,0.2539323282153957,0.52
6,initial,0.8094932516003048,0,0.2604258098683288,0.2420322386205946,0.6834307733191602,0.285764299126829,0.5341246290801187,0.6698777571086899,0.23469387755102042,0.8679245283018868,0.47183098591549294,0.3694779116465864,0.5637254901960785,0.25074138872341994,0.27
37,bayes_ei,0.8089530706619178,15,0.3319716805058215,0.18483335402539006,0.6816369917618922,0.29589892368949283,0.543026706231454,0.6674860483656657,0.2356020942408377,0.8490566037735849,0.4859154929577465,0.3688524590163934,0.5583126550868488,0.24610057306884298,0.21
26,bayes_ei,0.8074897002265192,30,0.453340586345829,0.3849415041676746,0.6812383736380548,0.2918321470800718,0.5578635014836796,0.6686154663832049,0.2391304347826087,0.8301886792452831,0.5070422535211268,0.3713080168776372,0.5555555555555556,0.24658683233788967,0.2
1,initial,0.8058806222060416,29,0.13340295634470625,0.409867191228377,0.6830985915492958,0.27695175569511365,0.516320474777448,0.6593143768269998,0.22772277227722773,0.8679245283018868,0.4507042253521127,0.3607843137254902,0.5555555555555556,0.23672247924335202,0.16
56,bayes_ei,0.8058342009851397,41,0.23332675610176762,0.21295474521519747,0.6786473558331119,0.2898884877831124,0.5727002967359051,0.6774182832846134,0.24581005586592178,0.8301886792452831,0.5246478873239436,0.3793103448275862,0.5626598465473146,0.2588632588134766,0.43
44,bayes_ei,0.8058100425908258,22,0.2897217917494741,0.17245079214580727,0.6793781557268138,0.2901858018946058,0.5459940652818991,0.6692466117459475,0.23684210526315788,0.8490566037735849,0.4894366197183099,0.3703703703703703,0.5597014925373135,0.24849154462718992,0.25
38,bayes_ei,0.8057382773649007,23,0.2773703312982524,0.1900801159239458,0.6793117193728408,0.29015915753484495,0.5459940652818991,0.6692466117459475,0.23684210526315788,0.8490566037735849,0.4894366197183099,0.3703703703703703,0.5597014925373135,0.24849154462718992,0.26
24,bayes_ei,0.8052749124588234,25,0.2909028529188923,0.2581291950091058,0.6803747010364072,0.2825274246866269,0.5459940652818991,0.6692466117459475,0.23684210526315788,0.8490566037735849,0.4894366197183099,0.3703703703703703,0.5597014925373135,0.24849154462718992,0.28
51,bayes_ei,0.8036895026599775,16,0.21848791759508082,0.1740362390765288,0.6769200106298165,0.2891366554680788,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.49
14,bayes_ei,0.803596762839408,28,0.43721415333332403,0.4276247207624404,0.6768535742758437,0.28900513813509493,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.21
42,bayes_ei,0.8035377240392239,2,0.48333724426656915,0.4839911534770125,0.6768535742758438,0.2887099441341742,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.18
15,bayes_ei,0.8032447198817092,26,0.24985233154178435,0.43904272647573084,0.6737975019930906,0.31430279722633775,0.5608308605341247,0.6627026308796173,0.23756906077348067,0.8113207547169812,0.5140845070422535,0.36752136752136755,0.5470737913486006,0.2375855861698201,0.28
16,bayes_ei,0.8032325795104556,15,0.3177404292203162,0.3507423386001673,0.6772521923996812,0.2892204647432364,0.543026706231454,0.6674860483656657,0.2356020942408377,0.8490566037735849,0.4859154929577465,0.3688524590163934,0.5583126550868488,0.24610057306884298,0.22
10,initial,0.8032246347148381,14,0.37578994704050384,0.3690497415266275,0.676720701567898,0.28780886105197434,0.56973293768546,0.6756577199043317,0.24444444444444444,0.8301886792452831,0.5211267605633803,0.37768240343347637,0.5612244897959183,0.2563942391390683,0.26
23,bayes_ei,0.8028559452750814,16,0.3197415103872235,0.23892140218885433,0.6766542652139251,0.28903476788032745,0.5459940652818991,0.6692466117459475,0.23684210526315788,0.8490566037735849,0.4894366197183099,0.3703703703703703,0.5597014925373135,0.24849154462718992,0.3
12,initial,0.8025928352024059,9,0.32048178127784976,0.290461105567565,0.6768535742758438,0.2892718187705599,0.5578635014836796,0.6686154663832049,0.2391304347826087,0.8301886792452831,0.5070422535211268,0.3713080168776372,0.5555555555555556,0.24658683233788967,0.29
34,bayes_ei,0.8024545750702536,16,0.4694277635056092,0.32723327797174584,0.6765213925059793,0.2889844420107364,0.543026706231454,0.6674860483656657,0.2356020942408377,0.8490566037735849,0.4859154929577465,0.3688524590163934,0.5583126550868488,0.24610057306884298,0.21
8,initial,0.8024172140092911,1,0.16713001896331678,0.24512044469393904,0.6787137921870848,0.28040588211439904,0.5370919881305638,0.6639649216051023,0.23316062176165803,0.8490566037735849,0.4788732394366197,0.3658536585365854,0.5555555555555556,0.2413337968754173,0.39
18,bayes_ei,0.8020807329245561,11,0.15561192501937599,0.2282258921128556,0.6782487377092745,0.2823269954187056,0.5341246290801187,0.6622043582248206,0.23195876288659795,0.8490566037735849,0.4753521126760563,0.3643724696356275,0.5541871921182266,0.23895753839435532,0.41
22,bayes_ei,0.8016561078460265,18,0.16245674580805508,0.16886673512853817,0.6765213925059792,0.2822922758168704,0.5667655786350149,0.6738971565240499,0.2430939226519337,0.8301886792452831,0.5176056338028169,0.376068376068376,0.5597964376590332,0.2539323282153957,0.5
19,bayes_ei,0.8016002690405298,9,0.4977529718752747,0.39423995477384044,0.676654265213925,0.2891615037591283,0.5667655786350149,0.6662237576401807,0.24022346368715083,0.8113207547169812,0.5211267605633803,0.3706896551724138,0.5498721227621484,0.24252981597128573,0.24
5,initial,0.8012575927914173,8,0.4030100309465368,0.4181656272819518,0.6751262290725485,0.2885996804073457,0.5637982195845698,0.6721365931437683,0.24175824175824176,0.8301886792452831,0.5140845070422535,0.37446808510638296,0.5583756345177665,0.25147728371245875,0.22
33,bayes_ei,0.8010931510767656,4,0.20777927068834232,0.20243064201741465,0.6763885197980334,0.2828416855830254,0.543026706231454,0.6674860483656657,0.2356020942408377,0.8490566037735849,0.4859154929577465,0.3688524590163934,0.5583126550868488,0.24610057306884298,0.34
47,bayes_ei,0.8002289703529731,8,0.4143718859066427,0.21623615753766434,0.6752591017804943,0.28912439819203095,0.5845697329376854,0.6691137390380016,0.24561403508771928,0.7924528301886793,0.545774647887324,0.37499999999999994,0.5483028720626631,0.24629403455612686,0.43
