comparison,feature,category,group_a_share,group_b_share,abs_share_diff,group_a_count,group_b_count
FN_vs_TP,性别,女,0.0,0.9772727272727273,0.9772727272727273,9,44
FN_vs_TP,性别,男,1.0,0.022727272727272728,0.9772727272727273,9,44
FP_vs_TN,性别,女,0.9632352941176471,0.013513513513513514,0.9497217806041336,136,148
FP_vs_TN,性别,男,0.03676470588235294,0.9864864864864865,0.9497217806041336,136,148
